t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,1.58,0.02,0.54,0.03,-0.06,4.75,0.85,0.4,1.49,0.27,111.26,0.0,0.6,25.4,36.06,1.84,0.0,2.35,0.08,118.65,2.26,0.47,0.28,0.0,-0.12,-0.04,18.66,38.22,1.89,0.0,2.07,0.62,11.17,1.05,4.01,17.97,0.74,0.81,0.35,0.0,0.0,0.0,540.7,2.31,5.48,11.67,-0.04,0.0,5.51,5.89,-0.09,0.0,0.0,0.0,0.0,3.1,2203.6,0.3,24.46,0.43,433.07,0.15,0.03,0.11,3.22,0.0,2.21,1.26,-0.14,73.85,1062.77,0.82,1.71,6.2,1.71,0.0,0.92,0.0,283.08,0.33,-0.06,1.07,-0.33,77.1,0.05,0.96,0.0,0.34,-0.13,11.95,12.49,1.04,4.66,23.86,3.39,1.67,0.11,-0.89,0.15,1.74,2190.88,0.72,2.3,0.0,91.47,0.94,21.66,2.9,1.85,-0.18,1.15,1.36,-0.32,0.25,0.64,13.9,12.24,0.0,-0.09,-0.03,-0.54,1.09,4.73,0.0,0.41,20.43,-0.03,0.95,63.34,-1.05,0.0,0.0,0.34,0.18,0.0,0.0,0.3,0.0,1.54,0.56,2.4,0.07,0.13,3.94,0.26,44.31,1.27,0.29,0.87,1.08,0.0,10.28,-0.08,0.0,3.75,0.0,0.6,0.3,0.0,0.05,1.56,1.14,0.59,-0.03,0.38,5.1,0.0,0.0,1.14,151.81,4.46,0.12,0.0,0.4,3.55,0.12,0.03,2.31,0.27,1.16,1.67,0.43,0.06,16.31,3.36,-0.04,3.71,882.8,-0.48,1.0,750.19,0.0,0.0,-0.13,0.22,0.01,0.21,-0.16,57.49,0.0,0.11,2.5,0.27,5.87,0.48,0.93,0.0,-0.24,0.03,-0.07,-1.41,0.75,0.29,0.11,0.0,0.0,0.0,0.0,5.05,538.0,2.8,0.03,0.86,0.0,-0.19,0.33,2094.39,-0.03,0.0,0.54,0.36,0.06,0.0,20.84,1.95,2.67,4.2,0.0,1.23,-0.06,4.36,2.44,-0.26,0.0,0.0,712.76,1.33,0.0,6.56,4.66,0.0,0.34,0.0,1.4
t2,20.8,-0.81,8.72,3.89,0.57,13.26,11.53,28.06,1.41,2.38,519.66,1.41,9.72,355.65,346.79,12.78,0.0,20.21,2.78,864.43,-26.14,0.64,2.67,0.08,7.42,7.17,104.93,201.04,3.32,4.66,13.42,6.18,19.72,4.89,12.36,107.35,3.11,7.93,2.11,-0.09,0.0,0.42,4404.24,3.8,7.11,117.76,0.97,-0.09,70.36,129.98,-0.32,-0.37,-0.27,0.67,0.99,30.77,11788.49,3.26,35.53,1.79,3528.3,3.66,0.26,4.15,3.88,-0.47,3.66,17.07,-0.54,561.3,4147.68,1.39,10.87,51.16,21.56,2.36,1.7,0.0,2456.8,-0.21,6.75,7.75,8.47,613.54,3.75,6.58,0.3,1.99,16.58,49.77,111.77,17.26,35.99,212.71,69.62,8.3,3.93,8.86,0.23,26.33,12506.76,15.72,22.68,0.92,877.39,4.07,125.04,76.27,24.83,1.8,47.4,13.75,5.71,0.07,17.61,217.92,67.39,0.2,3.15,2.14,3.1,0.01,52.08,0.18,4.22,290.2,3.83,1.51,495.21,15.51,0.0,0.0,5.64,0.0,-0.12,1.08,1.3,0.07,8.81,5.6,18.52,2.33,2.96,36.55,8.13,237.05,4.68,10.45,3.23,20.4,0.0,41.37,0.36,0.64,62.28,0.0,4.71,-0.32,-0.09,-0.51,14.93,15.01,10.35,-0.15,6.9,52.11,0.16,0.09,4.81,1222.78,32.22,2.18,0.0,2.71,48.32,2.44,0.0,46.5,9.22,7.98,12.58,21.38,2.0,206.63,18.35,-0.01,20.78,926.66,-0.57,19.76,1029.67,0.0,0.22,1.81,0.09,0.19,0.64,6.63,440.07,0.0,13.57,3.17,3.52,55.02,5.69,1.59,1.21,3.05,0.71,1.92,2.99,39.82,2.05,12.63,0.51,0.96,0.0,-0.2,14.68,4665.19,13.53,0.03,3.75,0.0,2.33,22.56,7728.02,5.11,5.92,5.32,0.3,0.04,1.22,102.57,10.37,37.48,65.88,6.57,23.39,24.96,24.25,-0.56,17.69,0.78,0.89,4063.91,22.51,-0.3,103.67,22.07,0.54,3.42,0.63,7.51
t3,71.74,6.15,30.73,9.2,8.75,1.55,30.75,95.67,5.58,23.72,516.04,1.58,30.06,1357.25,1394.56,40.08,0.25,25.84,20.3,2006.37,116.84,7.22,4.72,-0.4,18.52,60.6,123.7,246.05,27.61,15.42,125.42,12.0,14.79,8.15,39.66,258.56,17.68,9.27,13.54,0.21,0.36,3.83,7272.24,5.6,33.95,249.2,10.52,1.61,144.75,576.15,-0.74,-0.07,-0.06,2.37,2.72,49.47,15178.78,8.71,89.23,12.93,6232.76,8.59,0.37,23.61,2.03,4.89,18.3,28.1,0.0,1024.89,1994.52,33.04,33.03,161.45,38.63,4.1,3.88,2.21,4923.36,7.36,16.32,28.55,36.57,1545.91,10.27,11.42,0.02,4.36,40.71,66.89,353.03,77.66,121.8,580.75,103.32,9.82,19.34,13.5,6.67,83.53,20618.04,42.93,52.1,2.78,841.7,9.9,226.42,481.11,113.56,12.36,175.87,62.44,25.85,0.39,10.72,451.48,57.86,3.91,32.46,22.34,20.61,0.01,223.08,-0.06,9.49,947.09,9.3,22.1,759.51,14.38,0.41,0.0,12.48,1.08,0.0,1.28,5.64,1.31,24.69,17.39,83.83,8.08,14.35,88.65,16.57,450.68,20.0,13.17,5.03,30.98,0.0,204.88,8.38,0.82,254.23,0.0,26.32,2.87,1.27,2.99,77.08,67.74,50.95,0.82,64.5,118.99,7.75,0.13,47.91,2846.52,74.6,5.6,-0.03,3.86,145.97,11.29,0.7,173.15,8.34,1.58,57.64,82.52,6.32,754.69,49.0,2.45,73.36,124.39,-1.26,35.79,188.83,0.1,1.63,4.07,2.92,0.9,1.24,54.44,711.39,-0.03,27.33,7.23,4.92,140.15,32.45,3.19,1.66,6.74,0.79,6.0,7.63,160.85,44.16,38.63,5.91,0.05,0.0,3.3,31.11,11270.6,33.06,0.13,3.33,0.33,23.72,48.34,5289.32,37.32,21.65,52.04,0.34,15.48,9.84,192.49,59.72,176.87,238.65,2.51,53.94,93.12,153.41,4.55,79.66,5.76,8.76,3282.1,87.45,1.25,318.58,52.34,0.38,9.51,2.03,74.74
t4,172.77,31.81,95.04,14.6,16.56,0.75,117.27,139.86,21.37,30.62,151.46,10.86,58.88,1840.57,3929.2,22.64,0.92,51.09,49.12,1735.22,624.98,22.43,2.29,1.13,35.29,119.3,91.98,87.3,42.09,20.15,677.21,35.69,6.9,18.79,37.73,189.53,72.43,16.17,38.17,2.87,1.49,0.19,3298.1,3.73,72.15,335.85,17.99,5.05,123.71,713.63,-0.11,10.83,0.05,5.99,4.17,30.97,8131.75,45.06,68.98,18.53,2793.59,30.7,-0.63,45.42,1.35,12.83,24.74,117.04,1.36,550.08,520.26,125.47,120.86,159.65,49.48,5.17,8.44,0.53,2698.06,22.9,63.6,52.25,87.39,1330.99,21.23,9.86,0.13,10.32,44.12,59.58,405.48,213.31,143.79,645.99,124.64,1.03,27.01,31.3,9.13,207.72,14933.27,106.54,36.81,8.56,250.36,4.63,228.2,1919.22,105.32,57.86,176.62,93.5,52.96,7.17,1.87,341.66,38.83,5.2,46.84,23.38,80.67,0.28,610.25,2.56,52.08,890.68,37.65,30.11,401.33,35.08,0.4,0.13,28.68,4.69,-0.27,4.16,20.76,4.66,49.15,31.86,109.31,13.62,34.77,46.41,32.11,386.37,46.79,16.1,11.7,30.99,0.0,542.22,13.6,4.52,542.36,0.46,63.21,19.45,4.48,8.13,134.22,175.23,139.96,0.0,174.24,84.81,5.53,2.52,58.41,2179.59,84.16,22.99,0.06,39.02,152.31,32.06,2.03,458.36,44.4,0.63,163.01,100.21,14.66,695.81,18.8,7.18,113.54,24.58,2.17,25.09,21.53,0.78,1.85,16.16,7.41,0.5,2.23,107.16,289.43,1.98,113.13,10.14,5.9,121.47,102.86,3.06,9.69,6.1,8.27,30.78,12.88,310.35,26.7,224.89,18.92,0.81,0.0,2.4,18.85,8548.7,96.71,6.06,23.49,0.79,45.91,98.74,1603.66,49.06,64.68,122.39,0.46,57.02,68.77,168.19,120.93,321.98,146.8,8.37,79.44,400.64,147.98,16.17,179.93,9.03,71.7,909.12,162.56,5.15,289.67,58.97,0.97,31.21,19.02,59.54
t5,161.66,54.4,210.84,23.17,19.33,0.0,270.66,64.34,22.71,35.6,48.25,8.55,125.03,906.79,5723.67,7.32,0.85,37.89,93.67,731.99,202.79,14.35,0.37,11.94,27.27,45.45,34.99,14.16,68.29,24.14,1410.94,34.09,4.63,38.73,9.08,48.61,122.46,8.14,38.53,7.62,3.18,8.39,873.16,10.27,40.05,359.94,31.04,17.92,68.22,264.73,0.64,11.23,0.12,14.67,15.04,6.8,2448.48,27.3,36.0,7.39,683.62,37.09,9.97,19.09,0.28,25.9,17.76,416.45,0.58,171.05,124.64,74.87,71.84,46.87,32.46,1.97,17.36,0.5,825.9,24.37,70.43,61.2,84.78,480.72,29.99,7.54,4.26,14.11,54.73,24.92,143.52,315.74,67.77,322.76,78.51,1.88,10.9,18.78,4.32,246.21,5818.1,226.77,9.05,7.06,47.03,4.4,139.43,3590.98,82.38,136.49,103.13,82.18,43.25,26.24,0.58,114.94,21.02,1.64,19.51,31.23,86.05,1.54,775.78,16.25,111.14,291.91,66.93,42.12,121.15,89.57,2.07,0.12,32.29,2.32,0.0,9.63,97.37,8.74,66.4,23.98,39.69,21.29,13.51,9.59,36.74,114.78,59.72,1.87,19.0,18.15,-0.06,876.23,18.12,15.08,554.37,1.5,44.0,20.78,12.68,5.56,102.77,199.83,216.84,0.28,347.8,37.51,12.86,4.11,54.03,739.46,53.45,32.59,-0.02,173.13,102.38,50.16,2.52,768.28,47.77,0.07,235.17,56.55,42.82,214.7,3.04,29.31,116.7,3.68,-3.57,20.93,9.44,2.64,2.23,14.29,34.73,14.1,5.82,65.47,83.73,9.11,179.93,14.04,8.57,40.25,255.76,13.65,30.88,10.63,9.26,53.6,7.06,375.47,10.33,309.44,22.18,0.53,0.94,3.49,9.27,2815.84,228.44,6.0,51.05,1.17,135.84,178.78,397.79,46.68,103.55,156.16,8.78,82.87,139.56,56.5,229.85,127.7,42.03,19.67,60.13,1204.63,71.5,4.61,321.58,2.74,97.43,179.3,157.91,10.4,121.91,71.02,38.64,19.46,77.55,14.74
t6,105.31,36.33,278.52,42.99,19.73,0.0,149.94,14.87,31.57,56.36,12.89,3.63,106.68,267.78,4170.0,4.56,0.11,17.55,154.42,217.76,25.38,4.15,-0.33,12.44,30.12,14.23,21.5,0.41,68.66,38.25,1371.69,25.19,0.93,64.09,2.56,11.53,150.05,5.47,26.82,1.99,4.04,8.34,216.73,2.88,17.14,183.09,20.44,28.86,15.74,47.86,0.23,23.9,1.36,21.07,3.72,4.45,584.56,26.8,9.14,8.04,150.68,38.77,4.9,8.48,-0.09,34.72,10.43,494.41,4.29,24.3,21.6,28.03,10.97,15.21,19.32,4.36,5.73,0.17,205.94,14.57,41.15,40.01,22.85,179.85,15.98,7.46,0.99,25.26,31.81,6.7,32.0,314.88,18.81,197.43,30.06,1.47,6.11,5.76,1.64,144.58,1851.42,191.21,0.4,7.18,9.86,3.46,53.83,2334.12,23.38,49.58,32.27,31.11,40.09,33.08,0.0,25.48,14.15,0.42,12.78,30.13,89.77,1.39,589.91,22.64,143.29,55.06,63.66,39.25,20.98,94.57,1.98,0.0,20.15,-0.01,-0.74,4.53,84.34,8.91,38.21,23.57,25.42,13.66,22.65,0.6,16.57,49.26,22.45,1.35,22.84,6.59,0.15,508.31,5.91,6.87,322.76,2.24,22.79,22.49,22.73,6.41,55.0,73.93,115.53,0.17,436.19,34.74,3.85,14.79,13.62,204.91,37.96,31.65,1.05,146.26,40.92,39.87,11.11,870.08,27.77,-0.12,242.1,21.95,56.44,54.68,0.1,47.83,54.58,10.14,4.4,3.1,1.57,8.07,2.4,15.74,41.26,8.65,0.0,7.32,19.64,12.57,198.72,19.7,19.67,16.51,199.68,5.15,3.92,26.05,22.21,55.83,6.54,349.45,0.15,138.05,2.0,3.9,3.23,3.14,4.81,688.17,359.36,3.7,47.11,6.5,121.1,175.18,117.61,9.52,61.53,108.73,10.81,61.62,117.14,46.26,194.65,42.74,8.76,33.63,29.07,1051.02,31.55,2.04,203.58,11.99,34.5,43.49,117.92,22.87,29.08,42.93,37.76,31.71,38.35,8.03
t7,69.75,29.56,153.56,35.64,3.95,0.0,45.14,4.91,13.18,23.41,1.78,-0.84,81.81,70.19,1774.09,3.65,-0.24,4.26,135.96,51.07,6.73,7.43,-0.09,5.59,38.17,-0.1,8.15,3.22,23.77,32.2,532.63,26.24,-0.12,31.42,0.29,7.62,75.67,3.96,10.61,9.39,5.01,10.08,58.18,1.87,4.93,84.96,18.31,18.01,3.27,6.42,-0.06,6.79,6.69,8.21,2.78,3.01,159.47,11.55,0.09,3.33,21.63,26.43,1.85,3.22,0.15,37.07,8.77,368.35,1.37,7.04,7.76,4.02,7.14,7.55,5.47,7.39,2.19,0.35,70.86,6.84,9.27,7.02,8.22,60.86,3.89,14.1,1.74,11.36,6.36,0.82,3.33,206.69,1.59,63.74,19.37,0.79,0.39,-0.2,-0.13,59.35,523.17,118.08,0.75,13.62,9.62,1.74,31.33,726.8,7.12,10.75,5.46,19.41,20.37,51.44,0.0,9.1,0.72,1.64,3.57,16.68,41.73,3.68,310.71,13.71,106.5,18.33,72.23,18.05,17.29,42.89,0.22,0.0,18.01,0.45,0.29,0.87,41.64,7.71,20.14,12.37,6.39,13.33,19.2,0.95,5.3,18.46,21.65,0.35,22.77,2.13,0.0,189.01,3.63,25.16,137.03,1.4,4.45,10.48,6.06,0.48,19.57,22.01,41.34,0.99,312.59,9.43,2.83,28.92,2.64,68.25,10.82,24.78,0.0,30.63,1.13,16.64,16.48,555.69,12.46,0.0,113.44,2.02,40.54,27.82,0.13,28.04,29.99,0.88,10.96,1.82,-0.72,6.7,2.79,13.5,40.76,1.73,0.0,1.9,6.68,5.74,115.81,4.0,13.58,6.42,99.54,2.01,0.56,16.31,5.78,38.68,3.16,198.15,-0.17,48.26,3.31,1.91,-0.91,4.33,0.49,156.52,210.06,0.52,12.99,4.08,46.44,104.75,53.71,0.57,23.55,52.96,5.14,19.62,55.69,15.93,103.83,13.41,3.25,45.75,8.91,291.47,9.64,0.1,123.66,9.24,23.7,19.95,31.83,12.9,1.58,16.67,12.77,13.36,11.96,1.63
t8,34.34,6.06,60.8,12.62,2.06,0.0,13.08,0.77,2.65,3.59,0.86,1.02,21.92,10.53,710.56,0.13,0.2,1.46,118.51,16.63,2.95,7.99,-0.94,2.88,21.0,0.0,1.14,0.62,11.67,12.1,131.86,19.75,0.0,35.51,0.0,3.23,26.17,2.87,1.68,5.88,1.71,4.29,8.09,1.55,0.56,35.6,2.61,5.5,0.3,2.89,0.0,0.6,16.55,0.3,-0.03,0.0,42.16,8.23,0.0,0.55,4.58,14.03,0.0,3.24,0.0,10.31,0.51,147.37,0.6,0.29,0.1,0.0,2.67,-0.03,2.08,4.75,-0.15,0.18,20.84,2.01,4.61,6.02,-0.34,8.87,1.34,8.1,0.1,7.76,0.82,0.0,1.2,107.71,0.25,32.17,3.65,0.08,0.15,0.0,0.33,14.09,129.26,58.07,0.0,7.28,1.11,3.95,17.64,158.66,2.08,11.11,4.21,12.39,9.4,55.12,0.0,3.66,0.0,1.05,0.4,6.66,10.99,1.51,86.73,6.46,30.45,6.17,38.24,9.5,0.59,12.27,0.79,0.27,6.44,0.12,0.0,0.35,6.06,2.6,4.88,6.06,0.25,-0.43,8.51,0.17,1.11,8.75,7.26,0.0,13.18,0.62,0.0,63.28,0.66,21.3,30.67,0.0,2.13,5.28,1.62,0.0,7.52,3.71,21.91,2.81,134.15,0.62,2.15,24.17,1.06,17.05,3.83,9.76,0.0,20.45,5.15,8.49,11.98,241.94,8.25,0.0,43.76,3.16,30.73,2.35,0.0,6.23,10.63,0.0,-1.24,0.01,2.84,0.51,9.0,5.1,33.43,12.13,0.15,0.51,0.17,20.5,42.29,-0.13,3.94,1.95,37.6,0.67,1.39,18.47,8.22,11.57,0.0,101.73,-0.3,6.34,4.84,-0.26,-0.0,1.65,0.0,32.53,97.39,0.0,-0.34,1.02,12.49,52.43,19.39,0.63,5.25,20.16,1.67,10.54,33.8,9.26,67.76,2.76,0.67,23.9,1.7,66.17,3.12,0.0,50.19,10.91,8.35,9.53,19.93,15.16,1.06,6.37,0.16,1.9,-0.17,-0.56
t9,12.02,4.45,16.55,4.53,0.75,0.36,5.3,0.0,0.0,0.46,0.0,0.09,6.7,2.75,248.45,0.1,0.0,-0.09,53.18,4.12,1.82,4.22,1.06,1.5,12.17,0.54,0.23,0.0,8.63,3.17,34.81,2.69,-0.06,14.55,0.0,1.47,17.26,0.0,1.09,0.05,0.1,0.75,0.94,0.0,-0.12,8.43,4.58,3.06,0.0,1.01,0.0,0.0,6.57,-0.06,0.0,0.0,5.56,2.68,0.25,0.22,0.09,4.43,-0.06,1.98,0.0,4.58,1.44,72.63,1.07,0.0,0.0,0.0,-0.06,0.48,0.02,1.53,0.0,0.5,4.81,0.89,0.4,1.01,5.7,1.61,5.09,1.85,0.5,2.22,0.04,0.0,0.58,42.54,0.89,6.31,1.65,0.25,0.0,0.0,0.15,8.13,47.43,29.16,0.0,10.08,0.18,4.73,9.12,29.15,1.07,-0.44,0.32,0.8,6.26,40.09,0.0,0.69,1.14,-0.2,0.0,7.68,3.27,0.0,45.96,0.82,7.53,0.92,24.05,6.46,1.44,3.05,0.0,0.21,6.64,0.0,0.0,0.01,1.28,0.39,22.62,0.0,0.0,0.07,0.81,0.0,6.93,0.79,2.05,0.0,3.4,4.44,0.0,15.2,0.0,4.08,3.6,0.0,0.0,10.34,2.52,0.05,6.54,1.39,4.85,-0.8,63.67,0.37,0.74,5.31,0.72,2.47,0.03,10.3,0.0,0.64,0.47,0.13,16.23,94.17,0.3,0.0,2.01,0.0,14.82,3.39,0.0,8.18,3.41,-0.09,0.42,0.0,0.52,0.27,3.29,0.86,7.65,3.98,0.0,0.0,0.0,8.68,17.07,1.35,-0.34,0.39,13.94,0.0,1.53,7.4,0.23,0.85,0.0,36.47,0.03,0.8,0.25,0.56,0.0,0.51,-0.03,0.63,27.29,0.05,0.64,0.0,5.41,23.57,7.62,2.31,6.09,9.78,0.06,3.25,8.16,3.38,26.65,1.08,0.06,9.15,0.0,4.69,-0.13,0.0,16.97,5.75,3.46,5.49,3.8,8.84,0.0,6.86,1.1,-0.97,0.0,0.55
t10,7.68,-0.06,-0.03,6.69,0.0,0.0,3.93,0.0,0.0,-0.52,0.0,0.05,16.14,1.83,103.74,0.0,0.0,0.0,24.11,0.38,0.0,0.77,1.56,0.0,9.01,0.59,0.05,0.0,1.9,1.78,9.06,0.83,0.0,9.54,0.0,0.0,1.53,0.0,0.0,0.0,1.44,0.38,0.64,0.0,-0.42,4.91,0.23,1.4,0.0,0.45,0.0,0.43,2.61,0.0,0.0,0.0,2.24,0.25,0.0,0.0,0.14,0.57,0.0,0.0,0.0,1.91,1.28,24.29,0.0,0.0,0.0,0.54,-0.18,1.09,0.0,0.92,0.83,2.7,0.2,0.0,1.85,0.0,1.79,0.85,0.06,0.66,0.72,2.12,0.0,0.0,0.0,8.97,0.09,1.28,0.25,0.0,0.0,0.0,-0.07,7.86,7.44,10.68,0.0,0.36,0.0,0.33,0.67,7.75,0.0,0.03,0.43,-0.08,3.15,8.24,0.0,0.35,0.0,0.0,0.0,0.98,0.87,0.0,11.02,0.0,2.25,0.15,5.13,4.7,1.2,-0.07,0.0,0.06,10.79,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,2.02,0.0,0.19,0.2,7.01,0.0,3.29,0.52,0.0,2.93,0.0,-0.86,2.72,0.0,0.0,1.01,4.13,0.0,1.9,0.75,0.35,0.0,16.21,0.0,0.0,2.98,0.0,0.0,0.0,2.03,0.0,1.37,0.0,-0.24,10.32,41.87,0.0,0.0,2.96,0.0,7.61,0.66,0.0,1.1,-0.05,0.0,0.25,0.0,0.0,1.48,-0.15,0.85,8.45,3.59,0.0,0.0,0.0,-0.17,11.23,0.44,-0.12,0.0,2.51,0.0,0.0,2.87,0.03,1.25,0.0,11.03,0.32,0.0,0.0,0.0,0.0,0.0,-0.49,0.25,18.32,0.0,0.0,0.0,0.17,11.58,1.41,2.37,2.81,5.51,0.19,4.86,2.98,0.58,6.52,0.0,0.0,0.24,0.0,6.26,-0.33,0.0,2.72,-1.11,0.0,0.06,4.16,0.61,0.0,1.1,0.57,0.02,0.0,0.45
