t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,0.32,-0.03,-1.1,0.45,0.03,3.68,7.53,2.19,0.12,0.44,99.89,0.0,-0.06,31.66,27.93,2.47,0.0,0.37,0.08,99.54,-6.24,0.0,0.55,0.0,0.34,1.91,15.95,17.65,2.73,0.0,4.58,0.03,17.18,0.0,5.38,18.9,3.11,0.18,0.99,0.0,0.0,0.09,578.37,0.83,2.1,10.92,0.0,0.0,5.69,10.78,0.09,0.0,0.0,0.0,-0.03,1.97,1926.06,0.03,9.56,0.0,412.79,0.17,0.0,0.0,3.39,0.44,0.26,0.79,0.4,66.89,1132.79,1.89,0.19,3.36,1.96,0.09,2.05,0.0,287.93,0.05,0.76,0.05,0.0,50.57,1.96,1.38,0.0,0.0,1.27,14.2,9.78,0.31,4.0,7.67,2.26,1.01,1.65,0.87,0.0,3.74,2144.32,0.05,2.08,0.0,110.23,0.43,14.56,0.17,3.44,-0.06,2.63,2.56,1.91,0.24,0.15,18.95,11.44,0.0,-0.04,0.2,0.46,0.55,4.64,0.0,0.53,24.08,0.0,0.21,53.11,0.09,0.0,0.0,0.21,0.0,0.0,0.06,0.15,0.0,1.13,3.26,0.11,-0.03,1.49,1.93,-0.57,36.91,0.16,-0.36,0.05,3.24,0.0,3.17,0.86,2.89,5.2,0.0,-0.79,0.0,0.0,0.38,1.25,-0.09,0.09,0.0,3.41,7.19,0.65,0.0,0.43,160.32,5.68,0.22,0.0,-0.84,4.76,0.0,0.0,1.63,1.32,0.86,0.52,0.7,0.0,11.01,0.34,0.47,6.56,910.87,0.55,1.82,765.3,0.0,-0.27,-0.22,0.06,0.0,-0.13,0.09,49.97,0.0,4.67,0.65,0.01,6.92,-0.39,0.66,0.0,-0.18,0.0,0.0,0.87,3.92,1.17,0.24,0.25,0.03,0.0,-0.54,4.56,531.05,0.61,0.0,0.0,0.0,1.65,0.69,2002.12,1.37,0.39,1.51,0.0,1.42,0.0,11.78,-0.8,5.22,8.89,0.06,5.23,4.07,2.62,-0.46,0.26,0.0,0.74,717.13,1.55,0.0,11.99,0.38,-0.27,1.36,0.0,-2.9
t2,18.71,1.01,15.37,0.51,1.32,8.83,15.66,42.07,1.34,9.01,478.46,0.0,3.62,320.5,379.77,19.2,0.05,-0.18,4.91,776.66,-61.01,0.0,3.89,0.16,3.96,12.81,97.65,202.88,12.44,-1.94,32.51,7.42,36.53,2.08,18.41,100.72,2.88,0.76,3.5,0.0,0.15,1.72,4412.46,0.69,10.76,113.2,0.39,0.06,62.67,141.66,0.0,0.0,0.77,1.39,1.55,33.44,11461.34,2.29,67.07,3.04,3570.75,4.82,-0.12,7.74,4.81,0.87,0.72,9.17,3.32,572.14,4593.53,13.98,3.66,61.48,19.89,1.18,1.6,0.0,2332.68,3.12,10.48,6.7,3.0,597.97,-0.38,8.7,0.0,1.55,12.07,35.27,112.56,13.9,46.82,171.25,16.77,2.32,5.17,3.86,0.0,10.02,12033.77,12.35,29.16,0.1,787.19,1.79,72.58,61.59,25.51,3.49,60.97,15.75,10.55,4.02,9.67,164.96,32.34,-0.29,2.1,5.55,2.9,0.12,35.3,-0.1,12.58,270.97,-0.12,2.75,441.88,7.62,0.0,0.0,-0.11,0.1,0.0,0.45,5.29,0.23,9.08,5.8,24.88,0.55,0.16,32.17,5.49,207.41,6.18,0.61,0.5,23.89,0.0,24.66,1.15,3.87,44.33,0.0,4.81,1.01,0.15,1.29,29.42,8.8,2.89,0.21,25.11,46.1,0.17,-0.1,9.43,1361.58,27.78,1.56,-0.03,2.09,66.94,0.71,-0.31,19.91,11.73,5.28,16.5,15.1,1.54,199.09,2.04,9.07,36.03,911.41,0.29,19.57,1034.11,0.0,1.64,-0.46,0.17,0.2,1.8,9.67,402.72,0.3,11.06,1.56,1.59,55.63,14.75,1.5,0.0,-0.46,-0.09,4.87,6.4,40.79,10.07,5.81,0.09,0.0,0.38,0.12,14.87,4816.66,4.81,0.07,0.0,0.0,9.56,11.33,7600.37,4.97,6.13,3.82,1.49,5.95,1.38,93.02,18.25,43.87,112.07,1.91,20.57,24.41,22.9,0.72,-0.04,0.0,0.2,3882.15,24.36,-0.15,105.2,18.75,-0.23,1.21,0.0,42.06
t3,61.41,7.45,53.44,7.59,3.2,1.13,55.03,99.89,5.58,22.41,440.08,-0.34,29.97,1269.55,1577.2,42.2,-0.65,21.14,17.55,2081.08,91.52,0.59,6.17,4.0,3.46,55.97,150.46,222.28,17.61,6.52,141.56,19.87,20.84,6.17,24.48,236.54,21.49,2.92,2.38,-0.38,-0.03,0.26,7176.21,1.2,34.74,283.16,10.09,0.26,148.57,578.77,0.79,0.28,0.22,0.16,0.19,37.69,15414.0,9.72,135.42,31.17,6168.85,15.57,1.68,14.07,4.74,4.24,14.22,35.46,3.3,1094.15,2090.72,39.0,43.1,117.81,40.12,1.14,1.21,0.0,4885.23,16.61,44.36,29.24,8.72,1511.26,1.33,2.25,0.0,13.08,41.69,40.84,290.77,58.98,146.66,498.98,51.52,3.71,17.89,8.51,0.58,71.35,20554.53,22.44,60.2,0.18,875.53,2.55,208.19,425.84,113.14,4.13,198.09,62.73,25.51,7.08,12.32,464.46,42.89,0.0,17.37,22.34,19.63,-0.15,177.01,0.13,32.55,1033.22,6.53,6.63,776.28,33.68,0.0,0.0,6.74,-0.09,-0.15,2.23,0.89,-0.12,28.73,18.99,60.36,5.78,15.69,73.0,17.52,446.31,25.16,3.41,8.28,42.0,0.0,119.9,11.26,7.06,200.1,0.0,44.28,8.41,1.76,1.14,63.2,32.42,53.3,-0.16,76.51,89.78,2.07,1.7,45.75,2931.72,124.95,16.67,0.12,38.08,210.24,5.0,1.53,124.87,24.12,8.25,97.18,71.14,8.58,768.32,15.06,17.66,78.24,153.45,1.81,37.6,264.15,1.82,2.27,4.8,4.7,2.62,1.23,64.0,669.84,1.07,40.46,4.07,4.51,100.61,39.54,4.12,0.54,5.68,1.02,14.61,16.47,111.75,38.52,61.46,2.95,0.09,-0.18,0.71,6.74,11308.27,35.82,0.12,0.06,0.54,30.6,19.96,5331.26,35.7,22.32,18.39,1.34,37.01,11.22,217.42,68.48,224.5,204.96,2.8,58.35,111.68,89.73,-0.03,27.72,-0.14,25.34,3280.17,73.71,0.84,376.55,34.92,2.79,4.66,6.15,62.56
t4,148.78,12.42,80.33,13.74,13.42,2.85,206.72,98.96,8.15,33.75,164.56,5.47,57.81,1764.97,4094.8,23.87,1.28,35.8,49.01,1777.3,644.58,0.94,0.16,8.17,17.64,104.07,86.25,83.04,56.49,14.66,687.18,59.82,11.06,22.98,25.16,163.74,95.46,2.17,23.37,4.65,3.04,-0.34,3445.71,0.21,38.02,367.34,33.87,1.38,124.8,664.69,3.36,3.0,0.2,7.89,6.83,28.09,8536.21,37.68,59.17,22.72,2996.83,35.8,0.38,51.71,6.91,23.6,11.64,121.53,3.79,583.18,498.82,90.62,80.06,111.81,40.19,3.19,7.09,0.0,2846.55,33.75,72.18,72.04,28.16,1234.68,5.81,5.56,0.58,13.87,38.59,34.33,358.44,165.34,175.39,595.34,86.65,0.66,27.41,4.72,0.25,154.19,15345.84,90.43,34.55,0.43,256.99,7.92,265.84,1869.76,120.25,56.25,209.41,115.1,52.6,24.9,9.27,335.45,38.62,-0.07,42.46,36.37,50.66,0.34,467.65,11.84,118.42,842.59,36.9,48.24,434.3,80.52,-0.2,-0.01,14.18,0.57,1.29,7.98,18.92,0.01,92.22,49.95,109.42,14.63,42.3,36.17,46.12,372.65,74.15,5.56,16.22,29.46,0.0,356.91,24.49,10.83,538.88,-0.21,87.95,6.24,1.4,1.43,128.63,160.45,128.61,0.96,231.4,67.49,0.87,3.54,70.13,2261.96,112.15,37.33,0.0,74.09,196.94,24.2,11.48,360.34,17.75,-0.03,207.03,146.05,22.46,645.35,55.65,20.41,122.61,28.97,5.24,37.45,36.43,0.01,0.1,10.66,12.32,7.68,0.74,103.87,301.82,-0.49,108.44,4.88,13.79,118.57,127.81,18.2,0.54,17.62,1.67,46.95,9.14,336.54,40.52,229.36,3.3,0.28,0.11,0.27,10.7,8664.39,80.61,0.24,3.91,0.62,117.95,58.2,1770.83,49.5,38.63,70.03,3.61,59.52,55.72,177.11,167.24,249.74,141.82,24.33,63.58,511.02,177.54,5.86,123.82,5.29,84.99,909.57,190.22,17.74,304.52,60.77,11.4,15.9,28.97,41.73
t5,188.07,29.67,228.26,35.66,22.13,0.51,198.31,43.05,28.89,54.88,30.78,3.1,113.71,807.73,5613.66,10.51,1.62,41.76,164.63,703.59,142.25,0.31,0.78,9.61,18.86,41.72,36.74,18.21,66.42,20.0,1556.18,30.52,-0.81,49.26,21.67,63.11,182.75,16.16,35.6,20.68,0.16,6.97,894.77,0.82,39.96,287.56,43.28,8.79,72.27,254.05,6.44,1.58,4.19,23.32,2.79,0.99,2581.99,41.49,42.61,6.95,697.46,39.14,1.47,38.88,-2.72,34.28,16.32,438.73,2.75,153.43,144.82,54.28,57.43,41.68,37.43,0.99,24.92,0.0,931.78,31.5,51.92,68.57,63.09,542.13,22.56,3.07,0.44,18.41,40.95,17.16,220.52,358.49,74.14,400.6,95.88,0.45,22.81,14.74,1.48,214.15,6197.96,187.71,3.3,2.21,79.3,12.92,126.27,3553.29,81.57,88.17,119.33,78.6,38.87,46.24,3.31,124.32,21.84,0.01,29.22,33.17,107.89,4.28,667.33,20.47,114.53,282.83,73.04,48.98,114.11,118.9,4.25,0.38,17.42,1.05,5.32,4.43,68.69,0.07,106.96,55.87,57.23,22.18,33.96,10.22,46.86,103.47,52.05,7.44,32.95,9.28,0.2,778.34,22.93,6.08,657.47,2.1,28.31,18.76,9.41,0.2,102.11,210.12,203.75,0.54,401.81,32.89,3.07,14.23,49.09,790.71,20.22,49.02,0.05,149.51,67.54,40.15,18.41,727.05,31.49,-0.07,321.65,79.3,57.79,221.79,48.51,21.79,110.4,14.02,3.09,12.03,8.93,4.02,0.03,19.46,25.19,15.32,0.11,34.97,83.0,9.18,190.11,18.52,19.09,57.65,221.19,1.08,17.38,20.09,3.39,79.06,0.77,550.66,12.14,288.01,14.68,-0.03,0.79,3.13,13.05,2874.04,114.98,1.45,21.23,1.99,118.16,65.07,450.66,36.03,55.11,150.27,10.92,39.1,174.23,81.48,299.27,124.13,41.32,24.49,31.6,1338.35,100.2,9.75,182.21,14.46,112.47,260.73,178.3,48.79,101.77,73.49,42.52,21.81,50.34,19.91
t6,132.15,65.88,258.92,47.84,27.19,0.05,108.23,12.49,7.93,52.07,12.41,2.15,127.05,256.21,4016.82,7.46,-0.21,22.6,178.2,155.64,13.56,14.25,-0.03,24.67,43.61,9.99,12.3,12.41,32.24,35.75,1232.07,22.75,2.55,67.99,8.92,33.59,132.03,13.74,20.59,12.02,0.04,7.23,178.98,5.23,11.9,207.05,26.49,16.36,23.13,68.72,3.26,2.77,11.74,32.95,0.37,2.9,637.97,14.95,8.5,4.34,142.14,25.59,3.84,22.11,1.93,33.9,10.48,468.89,0.28,46.79,28.45,44.91,20.54,19.14,22.46,6.35,18.08,0.92,245.66,21.56,26.77,50.24,84.35,171.55,34.63,11.71,2.34,30.02,7.43,10.93,88.51,398.0,13.54,219.82,81.16,4.22,20.41,6.66,2.5,160.61,1905.56,259.77,0.22,4.55,18.09,10.7,67.38,2431.82,39.16,63.31,40.37,49.22,21.19,76.39,0.46,26.07,7.75,2.62,10.0,25.63,94.81,4.19,599.03,20.08,96.42,56.18,76.89,32.44,28.22,84.78,1.02,1.2,24.29,0.46,1.97,3.49,112.57,1.13,72.77,18.58,15.32,18.83,16.0,1.86,24.71,35.19,44.15,4.15,34.17,2.58,0.41,591.05,18.78,1.15,343.19,1.73,10.1,22.32,18.46,0.0,24.61,111.15,151.09,1.26,401.7,6.98,0.85,24.97,12.05,192.39,4.83,30.85,0.74,142.88,16.97,34.56,19.01,937.52,9.12,-0.08,207.49,26.9,48.53,61.71,23.99,20.88,51.43,3.65,10.55,1.0,7.05,5.38,1.68,19.23,43.67,23.95,0.0,11.9,32.61,9.39,190.88,10.29,16.43,17.26,253.1,5.02,6.95,26.13,17.94,75.57,-0.32,422.43,0.99,165.79,10.53,2.76,0.13,4.92,6.99,754.01,239.05,3.94,47.0,0.73,70.24,118.65,110.8,16.04,43.44,133.88,3.68,27.16,155.95,28.25,190.16,42.2,7.98,39.53,38.29,895.68,35.87,2.23,233.37,18.08,71.87,52.47,114.18,21.84,30.15,38.98,49.34,28.52,44.05,7.78
t7,80.49,33.21,95.64,42.51,20.1,0.21,41.33,5.37,6.3,29.44,1.91,12.53,81.9,39.03,1810.17,6.37,0.35,4.24,169.0,60.05,1.83,7.86,1.52,17.79,30.79,4.64,1.62,3.12,10.39,25.73,505.08,8.07,1.11,47.27,5.08,5.77,70.52,7.12,16.5,1.45,3.28,13.81,43.97,0.87,4.59,93.58,7.91,16.03,8.07,14.64,1.21,9.14,7.56,5.41,0.25,1.13,134.64,28.32,0.87,1.86,40.24,16.1,18.24,14.15,0.46,13.8,19.68,311.35,0.33,12.4,14.06,12.03,4.95,7.3,7.34,11.55,11.7,0.78,74.88,4.2,9.74,15.26,47.63,48.86,15.67,3.26,1.62,8.88,4.45,3.8,17.85,225.88,3.21,96.94,34.68,6.67,6.22,4.55,3.56,76.09,509.82,138.13,1.61,1.73,8.84,4.02,30.84,751.42,6.35,39.91,13.96,16.52,14.74,83.74,0.08,6.75,7.36,3.28,6.27,14.32,59.85,-0.44,352.47,6.17,53.25,11.49,62.04,15.13,8.6,40.15,-0.58,0.0,17.58,0.3,0.7,1.49,38.01,0.08,44.27,9.7,0.97,5.62,7.11,0.44,2.53,10.46,14.6,2.52,17.99,5.36,0.0,272.78,7.17,1.08,123.73,0.18,8.25,17.57,23.09,0.0,18.34,32.16,52.95,1.75,303.66,1.45,-0.49,28.47,7.6,56.21,0.09,13.39,2.14,61.57,7.21,14.64,16.18,620.67,7.7,0.0,90.27,6.53,44.88,13.68,4.77,10.41,19.14,3.68,6.92,0.3,0.6,17.95,1.58,7.11,36.26,9.86,0.0,1.66,6.65,26.63,122.65,6.69,8.98,3.19,125.0,7.41,3.6,36.26,3.16,39.65,-0.41,205.55,2.36,23.94,18.28,0.53,0.03,10.69,2.79,159.15,251.15,1.19,30.38,0.75,23.79,223.21,37.04,9.99,17.86,55.33,-1.16,10.02,94.95,13.04,85.78,8.11,3.52,18.37,15.05,246.72,7.08,5.22,223.33,24.53,10.71,13.9,40.84,3.05,7.49,27.53,14.52,9.3,13.77,1.6
t8,55.93,15.59,45.62,18.46,8.25,0.0,6.96,1.22,1.38,12.17,0.38,5.85,20.18,14.91,620.04,4.52,0.28,3.92,96.66,12.05,0.65,2.11,3.94,14.22,35.37,1.65,-0.45,2.66,2.73,27.36,127.54,3.71,0.14,24.5,1.5,10.5,33.43,0.28,5.06,0.45,2.25,9.86,21.79,0.55,3.25,28.89,6.63,14.44,2.49,10.21,-0.99,0.53,5.02,0.9,0.0,2.09,52.58,10.02,0.83,1.25,9.48,15.13,3.24,0.16,0.27,10.34,2.23,117.21,0.08,2.49,4.32,3.0,2.02,0.72,2.43,2.82,2.43,0.17,20.15,-0.21,2.06,6.44,14.95,26.24,3.95,0.91,0.65,0.74,1.85,4.07,5.58,91.97,0.44,24.96,7.79,6.54,2.6,2.77,5.06,29.94,138.04,82.37,0.4,7.43,2.32,-0.51,8.18,148.89,1.63,4.55,3.29,5.8,7.49,55.59,0.0,5.75,5.04,2.69,1.77,7.5,27.4,0.35,158.95,0.72,30.4,4.67,45.08,5.37,4.95,10.95,0.37,-0.06,4.91,0.7,0.0,1.68,8.96,-0.1,24.52,1.81,-0.25,4.82,8.84,0.1,2.79,2.91,7.15,-0.37,5.63,2.77,0.0,83.33,1.54,5.26,30.41,0.0,0.49,24.42,3.54,0.0,0.52,8.0,13.8,0.3,148.2,-0.28,-0.3,38.21,3.41,4.23,-0.06,3.0,1.0,16.53,0.92,6.29,17.63,304.66,-0.14,0.0,40.93,-0.23,14.19,3.0,-0.66,11.67,8.31,0.12,2.9,0.23,0.03,11.27,3.25,3.21,4.8,4.05,0.0,0.71,4.01,11.94,34.8,2.29,1.26,1.58,48.74,0.04,2.14,46.87,3.69,10.94,0.0,80.28,0.65,4.72,9.73,3.09,0.0,9.42,0.05,24.38,179.11,0.0,17.7,6.64,17.87,138.12,9.45,5.31,9.55,22.15,2.85,8.13,33.35,6.66,25.11,1.44,0.24,15.16,6.16,57.88,2.21,4.51,139.44,18.13,2.79,1.48,7.26,0.28,4.0,11.34,-0.2,2.88,4.08,0.27
t9,18.26,2.98,7.27,13.27,1.67,0.0,5.95,0.03,-0.18,1.93,-0.03,2.1,6.67,7.23,131.79,-0.31,-0.72,3.38,44.71,4.84,-0.15,-1.34,2.2,9.06,15.09,1.37,0.0,-0.02,0.09,13.47,38.05,1.69,0.0,16.39,-0.48,-0.33,8.28,0.06,10.24,0.0,5.77,0.68,7.02,0.0,2.1,5.37,2.19,5.29,0.0,1.09,-0.05,4.47,1.17,0.0,0.0,0.0,14.04,0.58,0.0,0.69,1.12,0.25,4.79,1.35,3.32,4.05,4.47,40.93,0.77,0.35,1.96,0.07,0.0,0.0,0.79,1.42,0.0,-0.21,3.72,0.11,0.75,5.76,0.04,2.19,-0.15,6.69,0.0,0.77,1.37,5.34,0.6,34.87,0.01,4.76,1.02,1.59,0.0,3.5,1.91,13.52,52.06,25.64,0.0,4.6,1.82,1.95,6.41,29.79,0.37,-2.85,0.3,0.39,5.85,15.89,0.0,1.37,0.7,1.77,0.0,2.85,7.7,0.25,65.82,-0.21,12.52,0.94,15.3,0.94,-0.06,6.49,0.21,0.0,4.64,-0.05,0.0,0.06,11.97,0.86,4.39,0.0,0.0,-0.62,1.88,0.34,0.47,0.77,0.81,0.08,0.37,2.92,0.0,7.44,0.1,0.42,8.91,0.0,0.0,7.41,7.66,0.0,-0.06,-0.51,6.5,2.8,43.38,0.1,0.39,14.99,1.13,6.65,0.0,4.16,0.33,1.29,0.94,4.29,10.91,119.16,2.75,0.0,15.26,1.6,3.81,0.98,0.0,7.79,4.19,0.0,5.52,0.0,-0.12,2.85,0.0,0.19,1.81,1.18,0.0,0.2,0.1,2.1,9.53,-0.24,-0.28,0.29,19.12,0.0,0.34,18.31,0.35,0.53,0.0,24.57,0.54,-0.17,4.67,7.41,0.0,1.88,0.1,3.5,64.79,-0.06,-0.17,1.78,7.19,92.29,1.6,0.06,2.39,11.93,4.42,2.73,16.53,8.76,6.01,0.26,0.34,10.26,4.98,6.36,0.75,3.22,66.07,7.83,1.16,0.01,0.49,0.28,0.38,0.64,0.0,1.36,4.17,0.09
t10,2.22,0.3,0.77,3.45,0.13,0.0,0.77,0.0,0.0,0.51,0.0,0.0,1.32,2.78,40.59,-0.12,0.16,0.51,19.52,6.99,0.0,3.85,1.52,0.0,10.35,0.68,0.0,0.0,0.0,6.18,3.45,-0.27,0.0,8.84,-0.03,0.52,4.62,0.0,1.47,0.0,7.55,0.85,1.37,0.0,0.93,2.21,0.63,1.95,0.0,0.13,0.0,0.31,0.05,0.0,0.0,0.0,9.79,0.13,0.0,0.0,2.63,-0.42,4.01,0.0,0.31,-0.02,-0.42,14.27,0.0,0.0,1.02,0.3,0.0,0.0,0.02,0.46,-0.21,0.68,1.71,0.0,0.15,0.0,0.3,0.06,0.0,4.08,0.0,0.1,0.4,4.24,0.0,7.13,0.2,1.93,-0.23,0.11,0.0,0.79,1.77,1.67,23.78,6.77,0.0,5.95,0.0,0.0,3.81,17.36,0.0,-0.58,0.16,0.33,2.06,13.24,0.0,3.21,0.0,0.85,0.35,0.12,3.92,1.3,19.43,0.0,7.3,0.0,2.31,0.0,1.15,-0.22,0.0,0.0,5.19,0.15,0.0,0.0,1.05,1.75,0.9,0.0,0.0,0.48,3.61,0.15,0.64,-1.45,0.0,0.0,-0.08,0.0,0.0,-0.98,0.0,0.0,0.67,0.0,0.0,0.54,0.39,0.0,0.57,-1.57,3.33,3.06,14.75,0.0,-0.07,7.8,0.15,0.99,0.0,0.54,0.0,0.0,0.66,0.86,1.4,34.78,0.56,0.0,1.93,0.0,1.24,1.2,0.0,1.39,0.33,0.0,0.34,0.0,0.0,1.32,0.79,-0.03,1.16,-0.27,0.0,0.18,0.0,0.83,2.65,0.2,-0.5,-0.09,2.02,0.0,0.87,4.57,0.57,0.0,0.0,4.24,0.0,0.0,1.34,0.76,0.0,0.0,0.09,2.31,31.55,0.0,2.37,0.0,2.21,27.04,2.0,0.0,3.86,13.28,0.2,2.15,6.43,0.65,0.72,0.0,0.0,4.18,3.15,5.61,-0.03,0.15,3.73,8.92,0.42,0.54,-0.05,-0.09,0.0,1.3,0.0,2.03,0.0,0.0
