t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,2.07,0.8,1.01,0.33,0.0,2.43,1.54,3.76,-0.09,-0.36,118.55,0.0,0.05,48.84,29.49,7.34,0.0,0.87,-0.12,82.5,0.47,0.0,0.24,0.0,2.11,2.73,18.29,31.42,0.36,0.78,0.51,0.0,18.64,0.25,12.47,20.99,1.42,0.9,0.0,0.0,0.0,0.32,546.22,0.6,0.94,15.32,3.81,0.0,6.56,10.22,0.0,0.0,0.0,0.08,-0.01,6.05,2191.42,0.02,21.1,0.27,366.03,1.07,-0.12,0.0,2.01,-0.03,0.09,-1.06,0.0,55.54,1014.9,0.54,0.75,2.71,0.71,0.0,-0.53,0.0,300.94,0.03,1.05,-0.27,7.59,69.16,-0.07,0.97,0.0,0.71,-0.11,18.6,11.66,-0.04,3.22,8.83,4.15,-0.13,-0.02,-0.7,0.0,2.01,2103.58,0.07,4.14,0.0,133.12,0.58,6.16,7.62,0.61,0.0,5.19,3.05,0.08,2.31,3.34,23.51,20.43,0.3,0.25,0.83,-0.03,0.11,4.51,0.0,0.31,34.91,0.85,0.3,48.99,0.69,0.0,0.0,0.18,-0.45,0.0,0.0,0.31,-0.33,-0.46,1.93,0.36,0.0,0.6,4.56,0.3,30.8,-0.17,0.0,-0.12,3.58,0.0,9.28,1.66,0.58,5.86,0.0,0.0,-0.14,0.0,0.25,2.37,2.11,0.37,0.0,1.32,5.5,-0.06,0.56,0.37,180.45,8.13,0.03,0.0,-0.6,6.14,0.15,0.0,1.83,0.08,2.45,-0.51,0.33,0.35,11.56,1.56,-0.11,5.1,960.74,0.1,3.54,788.25,0.0,0.0,0.09,-0.03,0.0,1.12,0.0,61.58,0.07,0.35,0.2,0.29,5.49,0.82,-0.03,0.0,0.11,0.0,-0.09,1.16,1.58,0.19,0.01,0.2,0.0,0.0,0.0,4.22,484.47,1.13,0.03,0.25,0.0,0.44,-0.19,1955.65,-0.05,-0.09,-0.03,0.4,0.01,0.1,19.15,0.52,2.33,1.89,0.11,0.01,-0.34,0.58,2.75,1.0,0.07,0.0,711.57,1.13,0.0,6.35,1.97,0.25,-0.21,0.0,-0.04
t2,15.48,1.61,7.86,5.82,-0.68,4.43,5.77,44.69,4.93,4.4,530.33,0.0,2.46,423.42,349.32,19.05,0.0,9.11,2.95,858.58,-58.38,0.3,7.32,0.36,8.57,13.11,100.43,249.23,5.78,0.88,35.86,2.21,30.91,1.9,29.14,108.42,7.73,3.19,1.29,2.86,0.0,0.41,4330.86,1.43,14.52,108.27,6.57,0.26,74.52,158.38,0.39,-0.03,0.0,4.74,-0.55,40.68,11524.47,1.9,78.65,2.07,3421.55,0.23,-0.75,-0.02,3.58,0.76,0.99,13.69,-0.01,552.05,4306.23,2.98,10.32,49.97,21.59,0.23,3.7,0.0,2300.63,5.76,12.2,5.92,15.01,648.71,0.0,6.78,0.0,0.4,11.58,76.56,123.81,15.76,42.41,226.48,19.78,3.27,1.01,8.42,0.55,16.1,12323.49,8.08,33.49,-0.09,717.61,0.35,68.79,71.1,25.13,1.27,41.61,42.13,6.02,6.52,9.42,173.98,74.17,0.0,4.07,3.0,4.47,1.46,45.07,-0.06,5.14,353.39,2.27,0.76,494.6,8.93,0.0,0.0,2.02,-0.48,-0.09,0.0,5.42,-0.97,9.26,9.81,15.97,0.51,4.66,36.62,7.09,201.37,8.16,1.54,2.06,27.14,0.0,52.83,6.63,0.52,35.71,0.0,4.63,2.21,-1.23,2.52,18.38,7.66,14.79,0.03,36.63,35.49,0.58,0.08,9.66,1303.5,41.91,0.94,-0.19,6.15,58.83,1.85,-0.11,28.33,0.33,14.9,13.65,18.12,1.63,183.14,7.1,1.59,33.28,935.12,1.21,16.46,1155.13,1.02,0.93,1.7,-0.15,0.2,2.32,6.57,412.03,-0.91,0.99,3.6,3.47,36.29,8.18,2.87,0.66,0.1,0.15,1.53,9.1,30.9,5.5,0.61,0.16,0.0,0.0,-0.21,20.08,4616.05,5.56,1.0,0.65,-0.12,8.71,8.66,7635.67,10.96,2.69,4.25,0.4,1.29,2.61,103.74,14.48,33.08,104.67,0.15,14.05,1.92,29.1,11.87,6.7,0.62,2.5,3813.96,24.57,0.0,129.56,13.13,3.26,0.83,0.0,7.41
t3,82.3,4.01,75.37,7.69,5.8,2.06,54.15,127.17,10.12,17.85,493.59,0.71,20.36,1330.1,1512.98,32.57,0.0,30.97,5.74,2065.18,170.78,0.88,7.26,1.33,30.27,87.05,161.11,212.22,21.81,0.47,109.7,16.32,13.77,11.75,32.6,244.22,38.69,17.48,8.75,3.56,0.09,2.11,7209.54,6.21,42.15,293.54,12.45,1.14,204.04,561.53,1.0,0.0,0.08,8.19,5.24,48.18,15617.8,10.17,81.46,13.39,6209.6,8.37,3.15,8.79,1.03,5.22,2.48,59.13,0.62,1029.44,1999.98,-4.19,50.4,129.62,33.21,0.57,13.88,0.0,4685.4,18.35,43.3,30.81,26.48,1436.45,3.85,8.65,0.33,1.71,40.61,73.21,377.83,53.16,124.18,624.66,51.69,6.45,10.32,7.3,0.22,49.22,20322.97,33.68,57.24,0.69,857.59,15.28,243.62,325.0,87.86,6.37,178.12,88.14,19.02,7.15,3.78,387.54,58.1,0.33,18.9,16.62,19.54,-0.18,224.37,0.13,7.75,945.2,10.26,10.94,766.12,46.64,0.28,0.0,2.47,1.7,-0.34,0.32,10.31,4.22,32.46,17.3,89.12,1.73,4.18,80.51,25.22,436.22,27.78,0.09,8.56,44.4,0.0,164.36,3.66,4.13,194.72,0.9,38.01,7.84,-0.09,2.29,50.31,38.74,68.82,1.7,70.35,94.36,1.7,4.36,51.19,2748.36,85.1,8.37,0.34,69.25,144.24,15.16,4.96,100.25,11.5,7.44,76.2,78.76,8.68,695.85,18.16,10.55,88.47,150.23,14.14,33.59,213.68,2.61,0.09,8.18,3.35,1.38,1.28,72.83,686.37,11.85,34.82,15.97,5.17,128.45,34.72,2.82,1.22,2.25,3.34,8.46,15.18,163.31,24.92,21.76,9.32,0.15,-0.03,1.34,29.36,11337.52,11.69,0.12,10.62,4.16,33.14,26.28,5506.4,25.84,15.25,14.48,1.2,7.95,10.87,200.01,29.18,198.87,270.35,2.07,70.56,77.81,119.11,11.37,37.1,-0.66,12.69,3264.63,96.67,0.0,340.87,56.12,2.34,4.37,0.58,39.03
t4,174.62,14.73,155.65,17.33,10.99,0.15,153.98,91.89,32.33,42.3,183.85,-0.16,59.23,1703.0,3847.04,22.32,0.59,59.51,46.19,1570.65,684.33,2.82,2.02,5.66,30.98,104.81,122.97,55.86,29.7,13.44,404.6,22.79,7.75,30.52,9.82,174.72,79.08,24.02,31.08,1.87,-0.07,2.7,3493.22,2.79,35.99,319.62,28.91,1.1,167.49,646.91,3.88,0.5,0.14,17.06,0.0,31.2,8392.46,28.37,50.99,16.24,2906.44,13.94,2.4,33.01,1.79,8.7,10.59,166.86,1.14,570.43,563.27,87.7,79.34,153.61,50.85,3.16,28.58,0.22,2678.83,26.52,50.35,47.67,68.86,1300.59,6.01,16.98,0.46,1.44,64.42,48.09,412.54,176.46,172.31,676.68,158.05,4.44,20.64,-0.11,5.48,175.21,15363.07,107.53,36.62,0.76,261.64,22.79,245.06,1493.99,105.94,44.44,194.87,147.98,42.11,25.19,4.0,290.13,42.54,-0.44,51.6,16.84,58.47,0.85,533.86,5.0,57.72,834.41,27.56,19.65,412.1,57.49,-0.42,0.09,6.48,0.0,0.15,1.76,28.18,8.13,53.06,37.39,119.28,9.52,17.95,52.75,42.68,365.85,75.17,1.19,13.45,29.45,0.25,458.1,3.34,10.81,476.5,0.2,99.66,16.32,7.54,2.51,96.65,129.09,126.74,-0.5,185.54,93.78,1.51,24.01,50.87,2181.59,105.39,36.62,0.52,137.84,163.62,27.79,11.71,314.86,6.39,2.0,185.53,91.22,33.35,689.78,28.96,17.88,106.31,30.58,30.09,32.68,47.84,-0.11,0.34,13.65,27.54,0.57,2.89,118.39,318.99,9.04,114.23,18.99,19.47,119.62,104.01,2.03,3.7,5.01,9.69,28.39,5.35,408.63,22.8,97.3,15.5,0.66,0.75,0.94,25.58,8625.41,67.75,0.26,24.79,6.44,114.34,63.13,1873.8,44.74,39.85,68.59,3.51,61.38,66.07,200.75,118.78,340.18,154.93,2.63,94.78,348.46,135.04,5.73,112.54,7.46,50.31,963.82,182.12,0.65,367.74,88.45,13.84,24.05,4.0,56.88
t5,172.47,46.71,233.5,30.29,31.9,-0.1,213.13,46.29,21.91,72.09,47.04,2.2,124.01,801.26,5525.01,9.1,4.58,41.36,93.51,575.25,108.98,0.47,2.32,15.77,52.07,40.9,46.88,22.49,52.54,39.02,1200.49,40.73,5.74,34.39,7.21,81.06,142.8,14.07,22.54,1.04,3.1,2.76,952.06,4.57,38.11,338.49,25.62,6.03,60.46,230.77,-0.05,6.81,2.89,29.14,0.2,7.29,2587.2,33.59,15.37,3.22,746.85,32.92,3.88,36.26,1.93,19.85,20.97,442.12,0.97,186.94,145.18,113.44,74.38,69.07,31.0,5.66,28.56,1.52,919.23,29.13,39.53,90.88,61.39,544.59,31.34,25.69,8.02,16.37,74.36,29.31,216.92,386.51,50.37,372.14,118.87,3.49,15.09,13.62,7.88,216.97,6111.91,189.75,14.23,7.66,59.86,10.43,109.06,3560.64,71.78,79.0,97.73,66.1,43.12,50.74,2.41,114.34,23.73,5.97,17.29,34.4,117.16,0.69,809.3,16.89,119.06,264.83,56.16,41.89,125.21,86.38,6.69,2.45,18.14,2.4,1.44,4.88,63.09,1.06,93.55,36.67,45.54,19.69,41.32,18.49,32.16,138.5,76.8,9.36,27.52,17.17,0.23,819.2,12.36,10.79,681.18,0.06,29.65,28.68,18.66,6.98,86.51,193.13,175.71,2.62,387.94,31.86,4.65,27.51,48.44,839.36,37.64,49.59,0.2,170.34,90.25,41.93,20.58,737.77,51.99,0.0,286.3,61.2,62.04,240.13,17.13,36.44,105.39,5.86,6.69,8.83,15.6,9.91,-0.01,19.52,36.56,15.99,7.33,39.04,55.49,12.43,204.3,18.63,19.73,38.14,220.68,0.91,12.62,15.15,2.76,78.97,1.94,503.27,15.3,273.58,19.62,3.99,0.1,8.2,21.77,2952.6,203.56,3.63,44.33,2.58,118.51,134.66,445.3,40.88,57.77,156.61,3.45,85.98,118.59,106.09,188.29,201.95,43.01,20.14,58.13,1216.88,84.91,3.69,226.66,23.24,103.13,229.64,182.54,8.82,100.7,68.88,50.14,38.55,55.81,31.0
t6,146.66,23.24,180.55,35.72,24.04,0.0,158.0,21.76,7.04,42.45,7.83,5.25,112.3,266.19,4149.36,3.41,4.24,26.42,152.05,156.63,21.46,5.13,0.32,12.16,36.18,14.48,19.0,6.84,36.7,32.02,1421.57,19.1,0.35,63.17,2.52,20.75,111.2,1.16,22.06,0.04,4.24,1.08,237.87,1.0,17.02,193.18,12.1,13.31,13.46,60.69,0.7,28.03,-0.09,8.81,0.75,2.79,609.42,45.47,5.85,3.81,199.81,37.27,3.67,17.86,0.24,44.55,18.32,488.31,1.97,57.4,35.87,35.4,31.84,24.28,14.75,10.7,15.18,1.11,254.55,10.57,25.21,69.4,28.1,149.71,22.49,10.42,9.29,22.08,18.05,5.33,52.29,422.78,13.27,196.35,60.59,1.34,5.67,4.45,11.94,125.56,1939.6,238.17,5.7,10.55,22.17,5.17,59.74,2690.98,30.32,75.79,46.19,20.26,36.9,61.63,0.0,30.96,7.9,5.33,5.86,50.72,107.65,-0.79,547.01,22.45,131.64,55.77,73.01,42.29,31.46,75.18,2.33,-0.01,35.7,2.7,0.46,11.12,64.93,2.6,49.69,30.22,9.57,25.87,37.71,3.46,23.0,35.58,39.67,2.47,32.77,1.55,1.06,494.79,8.3,9.07,344.2,0.75,17.38,34.74,10.67,8.65,48.2,100.41,157.08,0.85,371.9,4.33,-2.2,8.42,32.22,242.07,6.46,35.83,0.52,86.89,38.26,49.53,17.84,954.1,39.81,0.0,253.55,14.89,72.81,48.97,0.63,38.54,88.61,2.19,9.63,4.02,1.67,8.66,0.9,14.61,45.95,6.64,0.75,5.68,13.01,12.48,197.52,12.27,26.33,10.58,265.97,0.58,11.02,23.03,3.41,60.95,0.19,342.39,3.32,201.6,13.17,3.81,-0.09,11.74,13.53,730.41,276.96,0.3,25.59,1.41,94.51,191.16,111.23,13.47,33.96,157.68,14.37,82.43,173.51,28.21,169.97,65.3,7.02,36.36,23.03,1018.31,45.64,0.7,330.57,14.09,79.53,53.44,123.03,20.7,19.57,59.47,18.37,20.16,53.92,19.38
t7,75.19,18.66,102.07,40.62,18.02,0.0,56.13,1.74,3.83,20.4,5.27,3.4,63.39,75.33,1860.84,4.44,1.99,7.58,118.83,42.01,8.4,9.34,0.0,16.07,32.49,2.87,9.47,7.61,28.22,27.14,776.7,9.89,0.61,48.54,1.35,6.02,53.79,0.58,16.72,1.51,6.47,10.91,59.11,0.0,13.03,59.57,14.63,11.6,0.3,25.35,0.17,19.3,-0.52,2.84,0.68,0.32,150.98,28.93,2.05,1.94,32.55,25.42,0.36,6.34,0.0,26.62,35.73,252.8,1.63,12.16,13.95,5.35,7.16,7.09,10.77,8.49,1.17,0.07,68.73,2.2,21.7,19.42,9.69,49.38,10.49,21.08,1.02,8.71,9.58,5.03,19.74,217.64,1.33,73.74,23.34,0.05,-0.23,3.3,6.18,51.51,553.22,132.45,1.37,11.45,4.03,4.34,30.49,954.38,14.45,22.19,9.44,7.46,17.34,59.01,0.17,9.92,0.76,5.09,8.64,23.81,48.79,1.88,287.04,8.47,72.89,14.59,61.8,22.84,13.37,42.2,0.11,0.0,48.18,5.24,0.0,1.15,36.56,0.38,37.7,14.67,1.48,11.28,15.01,7.62,14.52,12.49,14.79,13.19,16.91,0.86,0.0,183.5,8.16,2.98,114.72,0.46,1.77,20.9,14.33,3.93,10.5,34.05,39.44,1.83,264.84,0.44,2.18,11.81,18.31,48.14,-0.18,7.57,0.36,15.93,20.38,23.69,12.99,634.59,23.81,0.0,95.78,2.32,25.02,7.61,0.15,26.95,30.15,1.1,4.37,3.38,4.05,5.45,2.81,7.79,21.39,4.62,0.0,1.4,0.88,14.2,94.51,11.55,17.56,9.8,149.35,1.17,7.43,30.29,3.9,52.37,0.1,213.47,2.69,49.7,8.42,1.89,-0.49,6.19,1.85,201.22,273.65,0.0,3.99,0.48,47.63,192.54,32.64,10.61,10.6,67.99,5.39,26.11,73.18,9.84,155.7,13.96,2.44,25.98,4.37,300.1,3.78,0.0,229.05,26.08,45.34,12.28,46.3,12.79,4.67,42.11,13.52,31.09,15.37,4.51
t8,32.46,13.72,45.32,25.42,7.55,0.0,17.53,0.17,2.85,11.76,0.93,3.82,40.84,13.17,788.38,1.22,1.25,1.46,100.72,6.79,-0.33,1.4,0.0,14.43,21.65,0.0,1.9,2.14,9.56,22.12,234.8,2.99,0.0,26.12,0.0,6.19,22.3,0.4,6.18,1.87,4.25,9.84,15.64,0.03,4.47,31.94,7.4,12.98,3.08,10.18,0.0,7.27,3.17,0.57,0.97,1.75,44.48,3.44,0.07,4.33,6.68,20.8,4.5,8.84,0.0,5.32,15.0,92.79,1.14,0.82,3.28,3.89,1.94,1.23,0.79,11.76,-0.24,0.46,26.58,1.84,9.25,5.79,4.86,9.2,14.73,9.29,1.25,3.81,1.14,2.07,7.41,107.9,0.54,22.1,5.61,0.0,0.0,6.11,5.21,31.56,161.35,41.36,1.25,6.98,1.29,3.8,8.8,222.15,1.04,5.58,3.35,-0.05,3.06,48.85,0.06,5.42,0.0,1.01,0.18,6.19,24.82,1.19,120.19,2.28,27.87,1.99,47.98,7.1,1.02,17.2,0.0,0.0,25.32,4.51,0.0,1.28,15.29,0.0,21.25,7.82,0.18,2.99,5.82,0.31,0.4,3.64,1.95,13.5,7.78,0.85,0.0,76.26,5.21,0.14,24.58,-1.45,-0.49,5.34,0.44,2.24,0.19,6.76,15.93,0.01,93.59,0.45,0.32,9.96,1.24,25.94,0.0,6.7,0.0,11.05,1.96,8.45,16.75,303.75,6.44,0.0,36.03,-0.76,15.21,3.35,0.0,18.7,4.69,0.15,4.15,3.83,0.77,4.71,0.52,14.63,6.3,1.0,0.0,0.0,-0.43,9.6,34.69,5.78,9.28,5.78,56.36,0.0,3.37,31.99,2.22,19.11,0.85,97.5,0.77,9.76,7.1,0.17,0.09,5.64,0.0,52.8,140.99,0.0,-0.69,-0.04,7.92,126.94,5.47,7.23,8.81,33.98,4.33,9.18,23.03,1.53,36.07,5.38,1.3,16.0,0.39,74.06,2.89,0.0,104.73,15.56,4.17,1.56,17.53,13.57,6.2,18.34,2.18,24.31,4.55,1.54
t9,21.87,9.79,12.98,7.66,1.1,0.0,2.29,0.0,0.0,3.55,0.09,2.93,6.94,4.7,202.66,0.51,0.0,0.0,73.05,1.69,0.0,0.01,0.0,5.85,15.98,0.0,0.78,-0.03,2.18,6.78,90.84,-0.16,0.0,9.12,-0.27,0.28,16.65,0.52,3.71,1.67,1.1,4.21,4.64,0.0,1.99,9.14,4.23,9.18,0.07,1.88,0.0,1.94,7.58,0.05,1.67,1.6,13.77,0.06,0.0,0.03,2.25,17.09,1.9,0.35,0.0,1.21,3.7,22.22,0.0,0.62,0.9,0.42,0.4,0.03,0.13,5.62,0.0,0.0,5.72,-0.52,5.83,8.74,0.05,-0.87,0.72,6.71,0.2,3.01,3.97,-0.13,-0.07,29.95,0.18,1.45,1.54,0.0,0.0,0.5,3.01,9.64,44.43,31.35,1.38,6.99,0.03,0.55,4.01,46.88,2.12,8.99,0.0,-0.02,3.05,37.89,0.0,-0.49,0.0,0.0,0.1,3.79,1.46,1.22,54.17,-0.06,20.63,0.55,29.57,2.67,3.29,4.99,0.0,0.0,9.16,0.0,0.0,-0.83,3.06,0.0,4.43,0.21,0.0,-0.21,4.51,0.0,1.78,2.69,2.31,-0.07,5.05,1.57,0.0,9.45,3.74,0.83,5.28,3.81,0.1,2.71,0.28,-0.15,4.35,1.48,7.57,0.11,25.07,-0.15,0.0,2.91,0.29,5.74,0.0,1.53,0.0,-0.88,0.1,2.05,12.52,116.6,1.37,0.0,17.53,1.27,9.07,0.75,0.0,4.45,0.24,0.16,7.48,1.58,0.41,1.69,2.62,3.77,3.88,0.63,0.0,0.0,0.14,6.07,12.42,2.94,1.21,0.0,30.9,0.52,0.35,18.33,3.54,8.01,0.0,25.46,0.0,4.7,8.52,0.0,1.18,0.26,0.3,13.78,77.66,0.0,0.0,0.0,3.97,51.11,5.48,3.77,4.9,3.94,-0.3,0.33,6.98,1.13,20.92,4.99,0.0,1.98,0.72,31.73,3.08,0.3,37.84,17.06,0.02,-0.02,7.51,17.56,0.83,11.79,1.97,0.38,0.0,0.0
t10,3.41,1.01,10.62,3.56,1.7,0.0,0.94,0.0,0.0,0.76,0.0,0.66,8.17,1.35,59.62,0.42,0.0,0.0,49.33,-0.89,0.1,0.0,0.0,0.09,3.62,0.0,0.41,0.0,2.37,0.65,31.77,0.0,0.0,8.43,0.0,0.06,10.9,0.0,0.07,0.35,0.15,0.55,4.92,0.0,2.55,2.24,-0.27,1.45,0.0,1.33,0.0,0.0,9.59,0.0,0.0,0.42,3.19,0.44,0.0,0.0,0.16,5.55,1.72,0.0,0.0,2.21,2.61,3.26,0.25,0.0,0.96,0.0,0.45,0.0,0.53,5.5,0.0,0.0,0.96,1.28,1.86,3.55,0.0,0.57,0.15,5.45,2.35,0.59,1.9,1.29,0.0,7.78,0.0,4.06,1.59,0.4,0.0,0.12,4.8,1.88,8.47,4.26,0.0,3.11,3.49,0.0,-0.15,13.33,0.65,1.55,0.0,0.0,0.16,15.75,0.0,-0.12,0.0,0.0,0.0,0.28,0.88,0.08,27.64,0.12,5.28,0.0,4.43,0.35,-0.06,1.77,0.0,0.0,3.29,0.0,0.0,-0.13,2.54,0.0,3.57,0.0,0.0,0.0,3.34,0.0,0.73,0.77,4.76,0.0,1.48,0.54,0.0,8.44,2.93,0.0,3.87,0.0,0.0,0.7,-0.2,0.0,7.0,-0.83,0.08,0.0,8.66,0.0,0.29,-0.27,0.62,2.17,0.0,0.71,0.0,1.62,0.03,4.67,7.72,24.64,0.0,0.0,4.77,0.44,2.08,0.0,0.0,9.98,-0.03,0.0,1.44,0.03,0.0,0.24,1.03,1.07,3.07,0.65,0.0,0.44,0.09,6.4,1.11,0.03,0.34,0.0,13.34,0.0,-0.21,2.62,1.95,12.88,0.0,14.7,0.0,0.05,6.04,0.0,2.18,0.1,0.0,1.64,23.93,0.0,0.0,0.0,0.5,9.43,2.08,0.0,0.0,1.74,-0.15,1.62,0.63,1.53,4.26,0.0,0.0,0.04,0.19,13.81,0.0,0.0,12.42,3.47,0.0,-0.24,1.58,4.87,0.18,1.57,0.0,-0.24,0.0,0.0
