t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,1.43,0.55,0.26,0.45,-1.07,9.14,-3.97,0.57,-0.09,0.41,111.86,0.0,3.51,36.06,37.09,4.67,0.0,0.41,0.93,99.43,-0.73,0.15,0.61,0.0,2.15,1.38,16.66,25.67,-0.58,0.15,0.18,0.22,16.62,-0.5,5.12,16.21,0.91,0.38,-0.45,0.0,0.0,-0.18,708.76,0.58,0.27,11.87,0.2,0.0,4.17,2.59,0.0,0.0,0.0,0.15,-0.24,1.16,2195.74,0.9,7.35,1.1,403.39,0.54,0.0,0.24,3.45,0.0,0.17,1.03,0.36,73.48,1042.74,-1.2,0.44,6.24,2.15,0.0,0.69,0.0,286.27,0.0,0.6,1.96,0.07,81.08,-0.18,-0.32,0.0,0.0,-0.33,16.99,10.25,1.64,2.12,20.55,3.97,1.35,0.15,0.07,-0.24,0.5,2033.67,-0.03,1.62,0.0,102.37,-0.3,15.5,5.95,3.73,1.37,5.9,1.42,0.42,0.0,6.31,31.94,16.54,0.0,0.25,-0.06,0.69,-0.18,2.95,0.0,-0.71,25.76,0.38,0.0,66.07,0.4,0.0,0.0,0.0,0.06,0.0,0.0,0.57,0.0,0.96,2.04,1.06,0.0,-0.11,2.03,1.89,27.62,-0.1,0.0,-0.06,4.37,0.0,4.95,-0.25,0.32,5.84,0.0,0.54,0.18,0.0,0.0,1.29,-0.4,-0.45,0.0,3.49,6.42,0.0,0.0,1.17,153.67,9.65,0.03,0.0,0.14,8.57,0.67,0.12,3.37,0.0,3.37,0.78,0.79,0.06,12.7,-0.36,0.02,3.84,984.52,0.0,6.69,804.33,0.0,0.21,0.0,0.21,0.0,0.0,0.36,50.76,0.05,1.25,0.7,0.0,2.76,0.91,1.26,0.0,0.0,0.0,0.0,-0.15,2.88,0.93,0.21,-0.09,0.0,0.0,0.32,5.34,513.81,0.99,0.0,0.0,0.0,0.47,0.87,2049.28,0.16,0.22,2.22,0.0,-0.15,-0.12,9.81,1.32,3.57,5.24,0.0,-0.5,1.81,2.92,2.23,1.61,0.0,0.0,753.61,-0.55,0.0,7.31,1.82,0.0,0.27,0.0,2.71
t2,15.93,1.5,0.3,5.9,-0.42,8.21,23.91,40.49,0.13,6.64,520.76,0.06,5.68,369.28,303.09,30.0,0.0,10.94,21.25,871.83,-24.69,0.28,-0.18,2.09,13.97,14.98,73.94,187.08,5.87,0.76,12.82,0.78,32.83,2.04,10.51,91.48,6.1,0.62,2.3,0.35,0.0,2.27,4878.53,2.45,21.75,117.97,4.98,0.28,49.25,169.58,0.38,-0.51,1.02,1.68,-0.85,7.84,11765.47,0.14,66.75,0.68,3603.58,1.8,0.42,3.72,6.77,1.74,1.3,17.55,2.35,541.36,4308.01,12.93,12.24,43.38,21.8,1.74,2.85,0.76,2372.16,-0.6,7.89,8.67,1.37,629.94,0.9,6.31,0.0,0.4,10.34,78.22,125.38,12.08,25.3,234.17,8.24,2.15,2.28,0.1,3.8,10.65,12096.5,9.18,32.49,0.06,783.89,3.48,87.24,74.7,31.1,4.76,60.14,28.79,2.83,0.2,12.16,212.43,59.07,0.05,1.79,3.21,3.84,1.63,32.59,0.0,2.55,337.21,9.33,2.69,475.65,3.5,0.0,0.0,2.75,0.02,0.05,1.34,-0.19,0.0,8.42,2.54,17.16,1.07,12.59,47.04,10.0,196.69,3.92,1.25,0.25,22.18,0.0,58.77,14.23,0.13,54.37,0.0,14.65,4.65,0.12,1.76,17.06,13.45,7.11,0.04,26.1,50.35,0.08,0.17,5.2,1226.46,37.04,0.18,0.45,-1.67,56.16,2.98,0.65,27.22,2.21,10.07,19.27,12.88,1.07,210.34,14.84,-0.21,26.54,949.81,-0.53,15.59,1068.31,0.0,1.78,0.46,1.05,8.65,0.32,5.79,396.78,0.51,21.1,1.5,1.52,57.84,19.42,1.09,0.06,-0.13,0.35,3.86,2.45,53.97,3.78,7.87,2.04,1.86,0.0,0.0,15.49,4714.47,16.97,-0.44,0.94,0.0,8.64,-0.23,7629.64,11.02,4.25,27.47,-0.06,-0.15,1.5,129.74,11.58,53.2,111.46,1.08,10.16,16.46,39.21,0.58,9.42,-0.06,0.38,3810.63,22.35,0.0,109.02,30.1,0.1,2.72,-1.01,9.74
t3,53.63,17.69,25.74,16.53,5.15,0.59,70.79,129.66,2.61,11.24,501.68,0.53,21.94,1478.88,1330.78,41.24,0.0,43.36,34.12,2128.96,-15.9,5.49,4.67,1.02,12.97,54.64,120.81,237.05,37.47,10.31,162.49,5.19,19.3,8.17,19.37,246.92,34.69,0.57,9.18,-0.11,0.08,9.22,7302.72,8.57,37.31,293.93,9.06,1.26,182.62,691.81,0.18,0.81,0.03,5.39,0.08,53.36,15610.33,3.93,63.26,26.61,6210.03,13.29,0.2,17.83,-0.79,10.35,6.65,80.92,0.24,1061.81,2022.69,30.79,31.86,135.25,54.27,3.6,9.99,0.59,4680.59,17.87,40.21,51.07,5.01,1560.03,2.19,13.84,0.0,3.22,47.73,74.75,432.29,87.71,139.11,648.5,61.19,2.44,16.7,0.45,11.88,47.64,20827.53,34.8,72.88,0.13,920.46,15.41,289.55,389.41,66.29,15.27,184.88,68.28,21.41,3.43,11.9,467.28,62.6,0.52,18.25,26.81,47.57,2.61,184.45,2.47,7.97,1068.42,27.22,5.42,667.39,32.75,0.0,0.2,10.59,-0.47,0.3,-0.53,8.62,0.09,27.91,15.97,78.35,2.14,14.35,74.32,27.07,496.66,31.48,5.68,0.55,35.98,0.0,209.14,12.2,2.56,241.19,0.0,59.02,8.96,1.01,5.87,69.1,75.16,42.57,1.02,70.43,93.86,4.82,1.6,40.28,2924.94,95.62,12.18,0.45,13.97,157.41,2.45,5.59,116.28,18.71,7.92,87.25,74.85,7.15,730.67,68.36,3.46,83.86,140.03,1.38,43.84,239.83,0.25,0.62,3.3,4.22,8.28,0.71,73.42,658.68,0.33,45.64,5.49,7.23,98.87,94.83,4.58,0.22,-1.2,4.07,18.77,9.22,185.28,23.53,76.22,9.96,1.78,0.0,0.71,31.14,11541.61,107.92,0.06,3.58,0.0,29.07,15.5,5427.15,21.01,23.18,61.58,-0.97,6.81,11.48,256.39,36.86,181.9,279.54,4.31,48.96,101.8,133.27,0.92,34.0,4.29,18.4,3255.6,58.68,1.45,388.02,72.35,0.48,8.81,7.78,33.51
t4,116.87,31.2,75.89,28.67,0.77,0.6,171.78,121.13,4.85,37.96,149.66,6.04,80.91,1903.46,3691.37,34.49,0.34,75.44,70.39,1644.41,579.87,3.27,7.06,3.46,57.24,109.38,111.82,77.41,61.54,37.92,620.91,21.72,5.48,30.78,15.67,161.91,90.28,1.42,15.66,3.75,0.74,2.43,3191.57,3.47,52.3,357.67,33.67,0.26,137.45,648.74,0.0,12.76,0.21,8.52,3.17,39.75,8268.1,19.87,47.76,24.17,2618.97,32.44,1.88,33.72,2.62,6.13,27.58,246.54,2.19,550.11,623.98,138.68,92.22,130.2,46.75,6.08,9.42,-0.02,2867.96,27.02,65.31,56.86,31.3,1243.52,11.25,11.12,-0.46,10.13,50.01,35.62,375.76,254.81,187.91,548.52,134.69,1.56,22.89,9.41,4.78,169.75,15603.75,125.26,45.59,6.97,298.04,16.95,234.06,2008.42,114.17,73.77,173.64,109.88,33.42,12.11,3.49,326.31,30.05,-0.03,29.09,54.29,86.43,3.65,494.15,8.32,47.19,865.47,68.08,27.6,380.43,38.7,1.48,0.57,17.32,-0.15,1.61,4.1,36.81,-0.27,54.86,35.65,118.42,26.52,19.09,48.97,60.58,420.44,84.7,7.31,13.64,34.07,0.0,546.46,4.44,9.71,572.6,1.08,77.97,22.88,4.31,6.46,93.1,144.65,185.5,-0.16,217.94,71.56,13.43,1.5,67.87,2198.64,96.13,21.81,0.37,38.36,170.52,19.37,6.88,328.21,30.6,1.09,211.26,99.17,35.98,609.31,29.04,13.8,135.51,24.21,5.11,28.07,29.95,0.18,0.48,4.37,6.51,6.36,5.85,101.75,329.33,2.43,118.02,17.04,8.79,97.57,168.1,9.21,-0.21,5.49,0.73,34.93,9.76,401.99,32.34,221.06,19.87,0.4,4.64,-0.2,22.16,8402.76,251.17,0.15,25.96,0.39,94.96,52.91,1764.94,39.39,30.26,111.95,4.59,47.5,67.54,181.6,179.69,287.44,157.13,5.8,101.82,606.01,203.68,1.95,74.4,17.06,88.03,939.83,155.15,16.11,334.84,67.94,0.75,12.38,23.98,43.4
t5,149.8,62.61,158.92,40.73,14.68,0.5,229.45,52.88,6.21,72.58,37.46,5.34,123.35,768.76,5610.66,9.57,-0.27,31.82,116.49,605.87,181.96,4.25,1.93,17.5,92.35,46.56,38.61,20.82,49.05,41.28,1637.49,47.71,0.74,43.18,8.49,59.55,108.3,8.15,26.72,7.33,-1.17,6.49,776.2,2.67,40.59,309.39,26.99,2.2,45.19,208.7,0.17,14.45,-0.11,22.87,0.52,11.91,2467.15,39.94,19.96,15.26,668.69,67.74,1.13,30.83,1.9,37.54,13.88,564.0,2.94,117.6,149.27,73.28,57.43,56.92,14.75,10.15,5.37,0.0,852.24,18.36,38.55,50.92,99.01,546.83,22.24,6.79,4.01,13.25,31.65,14.16,176.8,356.96,60.12,339.12,112.91,0.76,12.79,3.16,4.48,295.63,5827.2,201.02,11.58,14.6,71.95,5.11,126.28,3686.13,82.4,123.35,98.4,66.59,54.43,41.23,2.18,113.0,25.22,1.81,27.21,51.96,108.08,2.11,745.48,15.91,111.49,269.31,91.41,59.23,108.6,112.96,1.2,0.0,42.52,1.52,0.05,6.79,66.7,1.03,74.21,56.58,54.82,24.82,20.38,21.66,27.84,159.21,58.49,18.09,25.84,35.29,0.0,832.48,14.9,7.23,618.49,0.25,19.79,37.07,27.92,0.99,76.92,190.01,200.96,0.06,412.09,61.15,4.92,4.34,29.17,732.1,29.85,35.43,-0.33,108.6,78.93,46.91,11.74,737.53,41.96,-0.03,285.11,68.2,55.53,251.83,15.0,30.64,83.68,11.34,10.29,9.37,5.7,-0.44,1.74,13.15,30.55,19.0,1.29,48.43,112.81,9.78,211.51,18.18,14.5,45.23,252.7,9.12,3.4,12.51,7.43,87.12,7.55,475.97,11.23,321.28,27.72,0.0,4.21,0.4,21.26,2757.46,377.02,0.03,47.07,-0.3,137.61,70.72,492.34,40.95,67.52,122.36,13.43,70.23,159.08,63.41,230.48,167.26,48.65,24.88,52.78,1233.68,94.95,13.42,156.0,8.05,103.84,213.38,185.9,43.38,100.32,75.04,18.11,10.09,63.66,16.71
t6,130.18,62.29,261.4,29.31,32.86,0.0,138.46,8.2,4.78,49.8,13.7,5.69,95.44,175.13,4391.09,4.46,0.01,18.38,148.42,167.88,29.43,4.11,1.68,16.15,43.27,10.43,7.62,7.42,35.85,37.5,1187.16,37.0,-0.27,51.45,4.6,26.85,104.2,4.36,27.5,3.55,4.02,9.53,185.07,1.02,18.1,166.84,15.82,19.93,25.82,42.71,-0.18,15.1,0.0,8.02,-0.35,3.84,545.22,43.47,13.32,3.06,151.53,51.92,1.06,17.16,0.06,53.63,18.39,526.9,4.14,22.9,38.5,17.95,29.63,20.02,6.42,11.31,3.25,-0.05,230.08,13.57,10.12,35.98,44.3,150.47,12.33,11.29,4.53,16.96,23.15,5.55,64.96,334.97,17.73,199.47,74.68,3.6,4.42,12.81,1.13,155.78,1760.71,177.24,2.67,19.46,31.74,2.76,66.14,2377.55,18.7,73.58,33.87,33.55,55.86,102.57,0.0,15.08,8.64,3.2,12.46,23.21,83.76,0.67,656.91,14.73,141.31,71.67,74.69,53.72,20.85,91.62,0.69,-0.09,39.92,1.99,0.03,9.25,65.62,2.82,55.74,43.48,13.41,10.66,33.83,0.83,15.44,35.39,33.65,16.64,30.21,7.03,0.0,445.02,11.57,3.01,342.9,3.2,3.24,33.87,27.04,0.02,49.98,92.49,120.55,0.09,365.16,27.29,1.15,17.89,13.84,175.42,5.38,31.45,0.15,143.19,19.87,82.16,23.3,831.95,23.96,-0.21,252.67,25.32,50.14,52.73,2.68,40.74,31.91,2.33,12.24,1.56,1.54,5.19,5.01,0.73,70.07,9.81,0.0,10.39,16.15,15.29,184.57,12.57,11.41,11.35,195.8,8.05,7.23,14.45,17.39,55.83,9.02,347.87,4.77,107.9,9.66,0.51,3.75,6.01,6.75,699.96,262.05,0.15,22.69,1.37,111.62,151.87,143.52,18.66,53.64,95.47,6.65,50.58,193.56,31.13,187.91,40.34,9.61,19.07,21.2,810.15,25.26,10.52,265.88,4.26,87.54,65.13,128.33,28.8,36.43,65.66,17.45,16.43,54.84,3.2
t7,81.27,27.34,181.61,18.98,31.24,0.0,34.02,9.56,4.82,20.3,1.11,1.3,49.97,51.68,1954.32,0.75,1.42,4.69,113.56,47.4,3.06,3.41,0.0,17.92,20.18,1.14,2.53,5.72,11.13,18.45,414.49,6.41,0.41,39.74,1.87,8.91,84.84,1.77,24.78,5.68,7.5,2.05,39.47,0.0,5.92,92.8,4.72,18.67,3.06,10.41,0.0,8.92,-0.76,2.11,1.64,0.0,147.76,23.03,1.31,0.59,41.06,21.67,1.43,0.9,0.0,24.59,8.87,217.29,0.01,6.96,7.2,6.07,11.57,3.95,12.12,11.21,0.6,0.0,49.76,9.01,14.36,17.92,25.05,39.43,20.39,11.37,3.0,14.38,9.13,2.07,19.92,174.49,8.22,71.88,29.91,0.0,1.36,12.41,0.32,58.86,489.93,97.15,0.0,12.52,9.79,-0.35,17.11,666.1,1.36,29.87,7.63,15.66,26.87,92.9,0.0,5.32,11.27,2.38,9.1,20.79,54.08,5.39,383.12,26.84,81.75,7.64,27.01,36.55,5.15,37.83,2.87,0.25,41.24,0.0,0.0,5.9,34.18,9.97,17.26,11.27,1.99,6.03,15.72,0.15,10.25,6.65,6.82,2.78,11.64,1.58,0.0,161.95,5.4,0.08,110.69,1.15,0.2,13.05,12.98,0.33,18.87,18.76,34.61,0.69,268.69,3.39,4.19,38.46,5.09,52.97,-0.21,22.73,0.7,71.92,14.25,39.76,19.47,571.02,7.88,0.0,121.5,10.04,45.13,14.81,4.28,29.97,23.36,1.93,9.79,1.14,1.45,9.61,2.25,9.93,35.77,4.2,0.0,-0.02,5.33,29.58,118.8,6.52,8.69,1.4,119.78,4.6,7.16,11.39,7.21,39.86,0.93,160.76,0.69,31.48,8.64,3.71,0.0,8.27,0.82,141.31,129.55,0.05,11.56,0.58,44.4,153.73,25.46,7.58,35.76,62.29,10.91,35.65,94.22,12.44,67.12,12.94,6.81,21.02,6.41,234.06,8.1,1.68,235.35,6.09,24.4,16.04,72.65,22.73,8.32,10.83,12.54,7.9,16.91,7.63
t8,40.54,9.05,90.04,17.54,9.21,0.0,8.86,4.1,1.6,8.55,0.09,2.84,34.84,7.76,672.64,0.86,0.13,2.64,71.12,19.29,0.58,1.69,0.0,6.36,19.94,0.09,3.81,2.52,1.19,10.89,114.36,6.72,0.17,19.84,1.21,7.39,34.23,0.0,8.81,1.16,3.26,2.66,13.75,0.0,0.8,18.7,0.15,14.59,1.86,2.49,0.0,2.87,6.02,0.09,0.0,0.0,44.86,8.76,0.21,-0.26,10.01,8.94,0.53,0.11,0.0,9.94,-0.22,68.7,0.0,0.42,3.91,0.48,7.19,2.19,2.66,2.45,2.47,0.2,12.41,5.04,10.54,9.93,5.34,12.72,6.66,5.17,-0.09,2.11,-1.21,0.6,4.49,70.73,0.23,25.11,9.71,0.0,0.2,7.83,0.18,15.89,134.86,37.04,0.35,10.6,4.13,0.0,6.75,143.95,0.26,4.08,0.55,1.38,21.23,68.23,0.0,3.45,3.56,0.46,1.92,6.95,19.1,3.99,147.25,3.87,26.88,0.01,4.59,16.74,0.3,11.95,0.0,0.55,16.86,0.0,0.0,4.32,19.46,2.02,10.88,1.0,1.31,3.61,14.63,0.0,5.1,7.53,1.98,-0.03,6.71,1.06,0.0,56.69,0.52,1.94,23.56,0.13,1.49,5.5,5.59,0.35,1.62,2.82,9.9,-0.42,114.14,0.0,2.0,32.2,1.13,22.84,-0.18,11.67,2.01,18.86,3.4,5.67,16.03,245.27,2.92,0.0,35.4,-0.04,19.81,2.1,0.32,30.1,16.83,0.88,9.7,1.1,0.29,3.43,0.32,2.42,11.53,0.11,0.0,0.1,-0.0,11.29,42.88,6.12,3.69,1.77,60.12,3.86,2.24,32.33,0.58,7.27,0.0,52.33,0.0,5.62,3.33,2.21,0.2,11.5,0.46,30.84,42.91,0.0,4.99,0.12,16.45,114.82,8.14,3.39,16.71,29.34,3.14,8.15,28.68,7.03,47.62,1.01,1.26,4.47,0.68,51.14,1.78,0.59,212.82,19.58,3.35,1.91,17.94,8.72,0.96,11.17,3.43,9.33,1.42,1.06
t9,29.38,2.94,20.18,5.03,5.5,0.0,10.36,0.08,0.09,5.75,0.0,0.04,13.11,0.45,212.53,-0.63,0.06,0.09,47.13,2.69,-0.12,6.69,0.0,0.46,8.63,0.0,0.2,0.0,0.3,0.89,22.35,0.72,0.0,9.14,0.0,0.03,11.62,0.0,6.02,0.0,-0.17,1.14,3.1,0.0,0.0,3.42,0.12,3.9,1.02,0.0,0.0,0.79,2.49,0.18,0.0,0.0,14.22,7.2,0.0,0.67,2.72,1.58,0.05,0.92,0.0,0.24,1.36,24.15,-0.03,0.86,3.13,0.0,0.92,0.58,0.0,-0.27,-0.66,-0.09,6.77,0.52,4.64,-0.12,0.36,8.6,-0.42,1.11,0.0,-0.09,0.19,0.0,0.54,17.1,0.0,11.29,2.79,0.0,0.0,1.26,1.1,3.85,49.01,13.59,0.2,4.07,-0.06,0.0,5.09,32.64,0.37,2.32,5.58,1.11,4.1,26.87,0.0,4.83,0.13,-0.06,-0.06,-0.01,8.44,0.0,43.64,0.44,9.18,2.08,1.66,1.9,0.06,2.61,0.0,0.21,8.99,0.05,0.05,1.21,5.36,3.31,10.0,-0.06,0.0,0.58,3.4,0.0,2.37,2.11,0.33,0.0,0.93,1.61,0.0,28.67,0.81,2.63,8.59,0.0,1.16,0.94,1.19,0.0,0.0,2.35,4.43,-0.78,44.36,0.0,-0.12,16.73,1.38,8.51,0.0,10.18,0.0,5.57,-0.15,4.72,11.26,90.0,-0.15,0.0,11.74,-0.75,3.74,0.78,0.0,34.31,6.98,0.0,7.41,2.05,-0.12,6.92,0.89,0.9,2.82,1.03,0.0,0.0,-0.15,7.63,12.65,1.11,0.96,-0.02,8.31,2.56,5.12,11.07,0.0,3.3,0.0,24.94,-0.27,-0.53,0.63,1.19,0.0,9.4,0.12,2.32,13.87,0.0,-0.6,0.0,3.15,49.5,-0.44,1.67,10.53,7.54,1.77,1.05,8.85,12.04,16.83,0.0,0.0,2.2,0.0,9.2,0.53,0.15,82.25,18.47,0.45,1.84,4.0,2.12,0.33,2.46,2.51,3.53,-0.03,0.05
t10,11.08,0.76,6.11,0.7,1.29,0.0,0.55,0.0,0.0,3.0,0.0,-0.06,13.97,0.48,56.85,0.0,0.0,1.17,39.18,2.61,0.0,2.81,0.0,0.0,7.31,0.0,0.0,0.33,0.0,0.1,7.88,-0.8,0.0,2.58,0.0,0.22,5.36,0.0,2.63,0.0,-0.08,-0.28,0.91,0.0,0.0,0.37,0.0,0.35,-0.08,0.0,0.0,1.66,2.14,6.96,0.0,0.0,1.87,2.24,0.0,0.18,0.0,2.42,0.0,0.0,0.0,1.25,1.79,14.79,0.18,0.9,-0.27,0.0,0.0,0.0,0.0,0.26,0.0,0.38,0.45,0.0,1.24,0.0,0.0,1.23,0.0,4.04,0.0,-0.4,0.0,0.0,0.0,12.04,0.0,2.61,-0.48,0.0,0.0,0.0,1.41,2.73,27.93,8.15,0.0,0.0,0.0,0.0,0.75,7.51,-1.1,-0.15,1.18,0.3,-0.18,5.7,0.0,0.92,0.0,0.0,0.25,0.0,1.12,0.0,21.34,0.0,0.4,1.6,0.85,0.0,0.39,0.16,0.0,0.0,1.06,0.08,0.0,0.0,1.73,0.03,3.39,0.0,0.0,0.0,0.93,0.0,0.0,-0.88,-0.03,0.0,1.38,0.0,0.0,4.69,0.11,0.31,2.69,0.0,0.0,0.12,-0.12,0.0,0.0,0.0,0.63,0.11,14.89,0.0,-0.09,5.71,1.61,1.14,0.0,4.34,0.0,-0.01,0.53,0.03,3.08,31.54,0.0,0.0,4.16,0.0,0.13,0.0,0.0,9.69,1.02,0.0,0.19,0.0,-0.06,0.6,0.09,0.0,0.43,0.84,0.0,0.0,0.15,4.81,6.34,0.05,0.0,0.0,5.01,2.81,6.41,14.44,0.0,-0.2,0.0,5.01,0.09,-0.06,-0.12,0.76,0.0,3.39,0.0,2.12,-0.15,0.0,0.0,0.0,0.88,27.6,0.86,0.07,3.8,2.7,-0.27,0.05,0.92,0.0,1.47,0.0,0.0,0.89,0.0,0.95,0.0,0.0,32.34,12.73,0.0,0.98,1.28,1.38,-0.11,0.42,1.52,3.89,0.0,0.0
