t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,3.13,1.77,0.2,0.15,0.0,8.57,1.69,3.51,-0.42,0.42,94.3,0.0,-0.15,31.62,29.44,4.16,0.0,0.76,0.57,67.47,0.12,-0.18,0.12,0.64,-0.09,-0.32,18.83,24.85,0.24,0.53,0.51,0.0,15.28,0.62,9.07,10.46,0.79,0.15,-0.01,0.0,0.0,-0.13,603.53,-0.12,0.49,13.43,0.67,0.0,6.99,6.28,0.0,0.0,0.0,0.05,-0.01,1.29,2173.04,0.61,12.16,0.21,414.81,0.65,0.0,-0.06,1.65,0.0,-0.03,0.87,0.0,78.61,1033.15,0.93,0.3,3.38,2.6,0.22,-0.08,0.0,273.98,0.05,0.14,-0.02,-1.54,77.37,0.5,2.1,0.0,0.21,2.07,9.49,4.88,0.49,2.4,19.5,5.49,0.29,0.2,0.12,0.05,0.21,1921.06,1.55,4.2,0.0,108.27,-0.03,8.67,2.26,1.65,0.82,6.03,0.36,0.11,-0.13,3.15,18.61,7.28,0.0,1.88,-0.21,-0.21,2.24,5.51,0.0,0.11,28.26,0.6,-0.03,68.07,0.29,0.0,0.0,1.13,0.05,0.0,0.0,0.16,0.0,0.49,1.55,1.85,0.05,0.31,13.71,-0.02,19.99,0.15,-0.09,-0.03,5.88,0.0,6.46,0.28,0.21,4.05,0.0,-0.03,-0.02,0.0,-0.16,1.93,1.45,0.84,0.03,2.28,4.96,-0.09,-0.04,1.72,171.69,4.71,0.0,0.0,-1.09,4.37,0.1,-0.09,-0.46,0.09,-0.07,-0.31,0.8,0.0,10.44,-0.02,0.33,5.08,938.21,1.46,2.43,797.21,0.0,0.0,0.06,0.34,0.26,0.45,0.74,51.49,0.1,0.32,0.97,0.0,4.22,0.06,0.06,0.0,0.45,1.9,0.76,0.0,2.38,0.46,0.05,0.09,0.0,0.0,0.0,-0.3,515.04,1.42,0.0,0.0,0.0,0.57,-0.03,2087.01,0.23,0.29,0.26,0.0,0.14,0.0,20.35,0.05,1.85,3.58,-0.04,6.29,-1.35,2.06,2.6,1.5,0.3,0.15,723.57,0.54,0.0,13.78,1.01,-0.09,0.85,0.0,1.3
t2,14.21,5.57,7.29,0.75,1.4,8.74,8.16,54.81,8.62,1.88,474.79,0.0,7.23,402.52,385.17,23.48,0.0,11.8,5.71,737.92,-29.95,1.08,0.11,1.12,3.15,7.41,114.22,219.63,5.87,0.43,21.75,-0.14,28.6,3.48,37.24,106.02,4.55,2.0,2.56,0.0,0.55,-0.06,4463.11,0.03,12.42,133.95,3.69,0.0,47.93,122.57,-1.2,0.15,0.0,3.14,1.22,19.7,11456.39,-0.04,43.8,2.17,3544.34,3.82,0.0,0.33,1.08,0.72,3.86,10.51,0.0,559.68,4244.09,13.47,6.14,62.18,27.25,0.05,0.4,0.0,2498.56,6.73,9.34,4.69,5.94,635.16,2.49,2.54,0.0,0.08,19.76,39.23,123.14,13.91,21.57,207.62,32.68,0.25,1.82,1.1,1.16,14.01,11842.88,2.31,23.23,0.0,853.32,0.74,100.62,75.17,24.91,7.75,59.12,12.51,9.66,1.02,3.94,186.02,63.16,0.11,10.74,0.9,6.2,0.41,40.95,0.25,3.4,328.07,2.87,7.53,478.66,1.38,0.0,0.0,5.18,-0.05,0.0,0.52,3.59,0.0,5.86,8.18,36.33,1.06,5.34,54.35,5.45,202.6,12.55,0.1,1.31,29.83,-0.03,30.03,-0.06,1.19,56.77,0.0,9.0,1.97,0.51,1.51,25.75,4.62,8.84,0.35,19.47,42.48,0.12,0.48,18.42,1254.39,46.74,0.25,0.43,8.59,36.75,2.57,0.52,11.08,0.79,11.2,9.57,28.88,0.17,207.14,9.67,2.91,31.7,998.94,4.8,14.45,1051.11,0.0,0.0,2.08,2.67,2.89,0.58,9.35,464.15,0.9,8.18,2.15,5.05,51.28,9.84,2.82,0.0,0.11,-0.21,4.21,1.88,42.49,6.97,-0.7,0.53,0.16,0.09,-0.18,23.2,4629.82,3.04,0.0,1.63,0.0,7.59,0.73,7760.79,12.13,2.2,5.4,0.0,2.44,1.91,97.48,11.11,50.13,86.53,0.17,18.74,6.73,28.22,4.04,18.32,0.2,1.22,3778.21,12.13,-0.12,129.99,14.02,3.01,9.42,-0.15,6.67
t3,87.2,19.9,59.98,4.51,7.81,6.05,52.04,179.73,27.17,6.78,504.02,0.1,14.52,1351.05,1651.22,29.02,0.0,26.44,23.71,1980.77,-71.11,4.04,0.51,1.71,7.23,57.49,122.58,239.65,20.58,3.02,162.44,9.97,17.09,7.33,42.9,204.16,20.41,7.63,19.74,4.14,0.7,0.64,6901.28,-0.37,47.83,261.92,10.51,1.52,156.09,610.19,-0.71,0.28,0.07,1.27,1.29,46.64,15135.2,0.92,80.47,19.42,6113.37,7.12,2.39,14.53,1.45,9.89,16.2,62.72,-0.15,1021.31,1958.09,33.23,24.89,118.21,30.03,0.0,5.42,0.0,4763.26,14.37,25.96,10.83,36.07,1553.54,7.37,10.0,-0.13,1.24,47.47,43.43,302.28,138.34,118.44,567.62,75.13,0.5,17.15,13.6,-0.39,88.21,21018.98,57.47,70.07,0.37,821.4,0.25,258.06,515.6,100.89,13.24,179.7,83.84,19.26,8.8,18.67,449.34,58.68,0.0,23.54,10.83,31.17,3.84,197.95,1.59,3.15,992.05,11.6,24.65,755.91,40.78,0.0,0.0,13.32,0.34,3.37,1.5,4.71,0.3,15.64,21.41,90.93,2.85,20.05,48.11,16.35,449.14,36.22,0.15,8.52,31.91,-0.03,163.94,1.23,2.25,256.3,3.14,39.93,7.04,2.37,2.85,97.69,50.04,38.71,0.28,110.55,71.28,3.51,2.87,56.75,2770.56,108.93,1.88,0.31,31.13,158.71,16.32,2.36,131.72,2.27,4.55,81.62,66.75,5.42,666.28,23.25,7.19,73.19,134.8,8.38,31.87,197.23,-0.06,0.03,11.12,2.55,2.92,-0.06,56.26,628.56,1.2,56.08,6.58,11.2,133.02,25.6,3.59,0.15,-0.1,-1.77,4.6,10.71,132.14,26.88,33.47,2.17,3.68,0.0,2.43,18.44,11333.86,20.55,0.05,4.18,0.0,35.25,11.92,5431.91,18.8,11.16,43.45,-0.06,9.83,29.56,218.53,32.75,202.76,279.6,2.57,56.05,75.48,184.52,6.72,52.03,-0.03,14.17,3350.2,51.47,1.68,358.81,51.67,2.32,12.29,2.92,55.9
t4,174.99,49.0,144.32,16.72,25.3,0.3,125.31,115.71,32.63,35.03,168.91,1.77,57.56,1786.67,3817.96,18.86,0.0,49.35,48.53,1742.19,657.67,5.74,2.66,5.06,19.83,122.09,112.67,74.18,31.42,6.25,657.15,19.45,3.01,55.57,23.01,138.26,74.08,19.2,37.24,11.05,4.68,4.42,3314.99,-1.27,68.54,306.43,27.35,0.77,153.84,682.02,2.04,1.68,0.47,8.77,0.43,33.43,8318.8,6.47,69.5,19.46,2851.41,13.85,1.93,18.97,0.81,14.97,22.31,222.1,0.28,586.48,520.19,99.14,68.2,119.35,38.53,0.52,11.11,-1.11,2770.64,20.56,49.31,26.75,80.59,1323.59,11.11,9.26,2.78,1.63,61.47,24.85,391.84,285.53,169.39,619.29,121.58,-0.65,20.95,31.32,0.67,203.15,15422.58,153.23,47.65,-0.4,237.41,7.13,249.19,1963.28,121.41,48.74,212.45,131.33,35.55,41.75,3.56,395.54,38.92,2.07,27.57,29.02,76.68,2.52,490.15,2.38,29.25,820.47,31.17,26.12,392.71,94.17,-0.05,0.0,14.47,0.62,1.71,1.72,19.62,-0.19,80.78,27.8,87.66,18.37,31.31,43.79,31.43,312.51,48.71,6.68,9.9,30.65,0.7,516.49,8.84,9.14,562.8,2.61,78.16,19.96,4.78,1.93,128.0,160.25,104.19,0.0,188.74,61.74,-2.22,2.45,74.89,2173.2,107.76,29.91,1.55,82.81,152.9,45.3,1.95,408.27,16.26,2.8,222.45,131.83,22.63,608.86,25.76,12.76,135.68,37.08,8.68,37.6,52.68,-0.43,0.2,27.54,8.48,7.88,0.8,128.6,321.69,1.77,140.87,15.88,12.22,143.12,92.97,20.18,0.06,1.42,11.91,25.89,12.03,346.1,23.41,185.04,16.68,0.02,0.0,14.88,21.22,8796.56,77.67,0.85,11.13,0.67,98.22,90.69,1786.4,43.99,64.38,117.2,-0.08,35.41,95.22,186.76,107.16,321.26,175.7,24.59,96.2,445.45,176.53,6.61,205.59,-0.31,42.0,1027.28,149.43,18.28,289.3,73.49,6.78,25.68,26.89,60.98
t5,163.38,46.26,211.4,43.39,37.94,2.6,187.1,38.51,8.09,59.58,31.7,1.49,86.8,834.37,5507.41,10.43,0.83,30.33,83.24,679.73,219.93,13.18,1.18,11.23,57.39,63.25,45.71,27.7,64.9,29.13,1516.66,42.82,0.44,68.69,14.28,79.32,134.48,12.94,28.18,7.92,1.3,1.65,880.26,0.16,35.42,270.95,32.98,6.44,50.47,247.2,3.68,26.62,0.09,17.34,-0.17,14.17,2585.12,25.0,13.83,10.04,702.25,31.36,-0.94,14.34,0.83,34.0,31.04,417.22,1.47,186.92,100.2,63.21,94.41,66.74,32.71,3.37,7.19,1.74,805.86,25.85,52.73,60.38,62.31,498.75,30.81,10.38,2.19,7.01,50.3,24.18,173.07,413.93,74.3,400.4,88.24,0.9,14.62,7.63,1.01,251.78,6257.55,238.59,18.49,2.79,78.73,10.52,155.12,3710.23,80.43,94.88,118.34,79.47,49.46,56.5,2.57,108.64,8.72,6.13,9.5,50.99,91.72,0.79,681.99,18.05,109.79,262.62,83.06,29.54,102.18,92.42,1.42,0.25,23.86,0.77,0.0,0.23,95.04,2.57,61.95,26.76,50.51,23.23,30.1,15.2,26.51,174.4,42.59,6.49,25.33,6.75,0.15,843.85,16.7,-0.44,664.77,4.1,53.99,45.36,11.48,0.8,93.52,184.21,188.33,1.5,326.02,20.56,2.94,14.09,30.43,831.79,39.49,52.95,2.63,207.49,97.13,43.27,7.71,762.44,32.24,0.59,343.37,67.69,60.94,212.24,26.92,15.1,112.3,11.87,3.96,10.77,12.64,1.36,4.97,19.53,21.94,16.79,1.68,58.36,77.14,12.02,218.07,15.56,21.76,57.85,227.43,14.48,2.51,6.42,9.29,41.9,6.61,590.15,19.21,289.66,19.33,-0.3,0.0,9.28,14.2,2966.83,215.34,0.86,32.0,0.98,147.33,153.38,405.35,26.23,63.47,160.07,5.01,58.96,164.3,97.31,177.62,163.37,40.14,18.85,49.97,1189.98,66.19,6.65,295.5,-1.14,138.15,235.75,197.47,24.47,97.93,92.79,24.48,22.24,79.68,14.32
t6,123.27,26.27,151.8,57.62,21.82,0.18,141.03,13.81,6.12,40.69,11.93,5.92,93.73,252.73,4050.05,10.1,0.61,14.06,118.76,213.58,21.36,8.23,0.4,19.72,50.04,5.49,27.94,2.5,46.47,46.33,1274.67,29.01,-0.03,52.72,1.72,22.73,117.45,13.76,23.84,12.12,-0.43,5.73,209.44,0.77,10.78,167.52,14.16,20.22,22.37,49.17,0.33,23.84,0.64,16.8,0.61,1.17,635.59,37.62,5.2,2.8,161.5,47.99,0.0,14.77,0.6,49.1,26.68,441.14,0.47,45.51,21.67,14.63,58.27,22.4,16.97,3.43,10.24,0.04,251.52,12.92,39.38,49.45,30.85,150.47,21.78,6.27,2.32,26.73,26.06,5.13,53.57,331.97,16.37,224.77,33.25,3.7,4.98,1.05,1.39,174.69,1960.49,211.45,1.84,8.21,23.07,0.57,55.68,2304.93,31.94,59.43,24.36,31.7,30.08,84.36,0.28,32.06,11.75,6.38,15.64,52.7,83.37,1.9,631.94,17.35,159.09,67.11,81.5,23.66,30.79,64.82,1.05,0.04,25.25,0.1,-0.06,0.65,145.76,6.73,56.77,14.04,16.05,30.72,15.47,4.39,17.94,50.79,29.99,6.67,24.21,4.78,0.18,538.29,6.1,1.6,328.52,0.87,17.41,32.24,28.19,-0.21,53.99,110.59,142.2,1.37,375.53,15.31,3.74,8.85,15.24,243.2,2.88,28.89,0.66,86.38,33.61,35.91,20.07,863.43,31.81,0.0,271.65,17.66,65.98,52.31,18.89,30.72,43.69,2.0,5.58,3.27,1.6,-0.42,5.25,14.72,66.91,19.44,4.95,14.79,19.23,14.22,176.08,10.58,8.5,14.98,271.12,9.03,3.11,30.06,2.02,55.08,2.27,394.91,11.42,167.85,7.21,1.2,-0.17,3.45,13.56,758.73,267.06,0.0,44.98,9.16,80.73,144.18,146.0,23.55,46.94,110.21,12.34,73.36,89.89,31.91,212.13,42.15,10.96,55.88,11.71,1027.21,31.67,7.03,292.87,7.15,75.91,65.62,121.04,6.82,17.99,73.99,20.2,22.34,71.85,8.53
t7,78.63,16.53,102.31,37.86,9.7,0.03,62.69,9.18,1.21,21.27,7.96,0.87,69.32,90.06,1871.46,2.9,0.02,5.15,87.86,70.37,4.23,2.6,0.35,15.92,40.93,0.08,4.95,-0.35,32.47,34.46,520.5,10.93,0.2,37.26,0.02,5.81,44.04,4.16,9.96,1.35,1.77,8.59,49.02,0.65,6.28,74.6,4.75,21.38,1.45,8.52,0.0,12.24,1.68,4.39,0.01,1.43,171.18,43.19,2.6,2.49,24.55,17.59,0.49,2.71,0.0,24.66,8.36,329.75,1.64,8.34,7.58,1.09,14.75,6.55,7.39,10.25,3.19,0.45,55.39,6.84,20.34,27.65,11.3,51.18,8.29,2.38,2.4,12.44,5.95,2.89,14.52,134.7,7.81,85.75,15.6,4.89,0.23,0.0,0.86,75.04,557.26,73.32,1.45,7.05,9.5,-0.31,15.91,684.97,6.45,27.27,3.25,16.21,23.03,59.09,0.0,9.63,2.06,4.91,12.54,27.55,43.32,-1.36,283.52,8.31,77.21,16.42,69.33,23.0,1.49,23.8,2.16,2.87,18.23,0.03,-0.03,1.23,78.88,5.06,28.46,0.24,3.15,2.42,12.16,0.38,12.01,15.94,11.78,12.95,13.01,2.96,0.0,173.95,1.65,-1.9,100.95,0.62,4.9,7.75,8.17,0.34,9.77,41.95,66.87,-0.06,241.19,7.78,1.14,7.47,6.63,61.5,1.0,2.25,0.0,23.49,18.05,37.29,52.58,611.62,16.71,-0.09,98.21,1.16,51.68,10.53,7.13,41.78,22.29,0.63,3.32,5.51,1.38,-0.0,0.1,8.43,60.62,13.57,5.97,3.58,1.44,16.39,82.52,5.55,9.3,6.36,147.67,0.38,15.89,50.55,0.05,33.87,0.0,147.24,2.45,51.65,4.63,1.79,0.87,5.75,0.89,169.04,219.09,0.35,34.88,3.1,44.01,112.59,34.54,10.43,26.05,62.78,8.45,32.54,44.13,4.52,160.1,9.6,7.39,27.07,3.14,319.45,14.34,5.82,151.14,8.02,34.94,24.16,61.66,10.49,2.22,25.39,5.01,8.99,23.92,0.73
t8,42.54,7.65,46.72,19.72,6.89,0.0,16.42,2.6,-0.4,10.31,-0.05,0.86,39.75,9.74,644.74,6.25,0.51,-0.44,95.86,10.34,-0.64,3.05,0.27,4.88,21.33,0.1,2.0,0.32,19.81,19.27,143.19,6.38,0.0,26.65,-0.45,0.81,17.31,1.47,8.93,1.88,3.68,10.89,12.62,-0.21,0.11,27.35,1.19,3.54,0.88,0.69,0.0,3.42,2.76,3.91,6.75,0.18,45.5,12.64,-0.33,-0.46,3.04,21.31,1.56,0.17,0.0,14.07,5.17,119.17,-1.01,3.94,7.15,3.47,1.77,0.68,10.79,8.47,0.59,0.22,15.66,4.15,4.91,20.04,5.71,14.03,1.81,1.85,2.1,1.39,1.19,4.83,6.43,45.72,1.27,35.63,7.87,0.0,0.06,1.11,1.28,22.6,151.16,37.26,0.15,4.27,7.63,1.26,9.18,113.03,0.0,2.92,0.03,3.67,15.68,28.3,-0.06,-0.02,0.0,0.03,12.53,5.85,14.92,3.31,134.83,4.66,19.5,2.74,33.7,11.06,1.61,7.78,0.0,0.12,13.91,0.0,0.1,1.38,15.58,-1.44,6.98,0.27,2.34,1.79,4.27,-0.22,5.55,3.83,8.15,1.38,9.92,1.21,-0.23,46.24,-0.65,-0.36,35.1,-0.07,2.76,6.3,2.08,0.06,5.12,15.04,18.6,-0.57,96.64,3.36,0.7,28.04,3.82,11.07,3.96,3.68,0.45,11.56,2.07,14.17,44.7,232.75,1.29,0.0,32.13,1.72,34.26,3.36,0.0,27.3,10.96,0.11,1.42,-0.09,-0.07,5.49,0.16,5.16,35.08,5.83,0.0,0.66,0.0,21.19,36.97,6.48,1.75,5.01,47.69,0.0,11.4,35.69,1.04,37.97,0.0,86.58,-0.19,11.63,-0.19,1.74,0.06,2.35,0.24,38.43,119.29,3.2,6.06,6.62,10.63,87.75,10.56,7.51,10.58,20.77,7.77,12.1,24.61,2.61,81.95,1.53,1.29,8.88,4.77,98.94,2.06,0.18,41.11,1.79,5.89,2.06,17.28,9.49,-0.31,4.51,3.84,1.76,0.58,3.73
t9,10.07,-0.86,17.6,2.58,0.68,0.0,2.29,4.32,0.0,6.61,0.66,-0.06,25.16,4.02,240.84,0.26,0.08,-0.83,44.0,2.57,-0.48,0.44,-0.06,0.14,5.6,0.0,0.73,0.0,3.25,10.88,20.82,0.0,0.0,15.64,0.0,0.0,4.88,0.6,1.35,-0.09,0.94,1.82,4.91,0.03,0.03,9.7,1.87,2.65,0.0,-0.69,0.12,-0.03,1.37,2.23,4.49,0.0,13.78,4.5,0.0,0.0,0.09,7.74,0.0,0.0,0.0,0.56,2.92,28.38,-0.03,0.31,0.2,4.08,0.0,4.16,1.4,0.18,-0.29,0.0,3.47,1.5,2.21,5.16,0.93,5.45,1.08,-0.03,0.48,1.45,1.22,0.68,2.41,6.47,0.29,12.08,1.5,0.0,0.0,0.0,0.92,8.47,31.4,20.68,0.0,4.18,-0.45,0.43,3.84,36.63,1.47,0.43,1.59,2.75,3.86,9.57,0.0,0.15,0.0,2.13,0.06,1.75,4.96,1.08,32.95,-0.03,13.96,0.0,4.97,2.52,0.16,5.16,0.0,0.0,3.78,0.15,0.0,0.0,6.05,2.38,3.52,0.0,-0.12,0.34,3.97,0.0,3.38,0.92,5.68,0.95,2.92,0.0,0.06,13.85,-0.59,2.57,13.02,0.0,-0.13,2.75,1.77,0.0,-0.15,3.54,4.68,0.0,44.65,0.97,0.59,21.7,0.0,3.2,-0.26,0.8,0.0,7.03,0.53,1.94,22.81,80.48,0.0,0.0,11.18,1.6,6.63,0.01,0.0,29.13,2.37,0.0,2.03,0.0,0.0,8.73,-1.31,0.62,10.02,2.9,0.1,0.0,0.0,13.65,12.39,1.16,-1.45,0.93,26.08,0.0,4.14,9.93,-0.03,12.76,0.0,35.14,0.0,1.82,0.99,1.44,0.0,-0.14,0.0,7.14,51.84,0.0,-0.33,4.46,0.71,47.43,4.21,0.05,1.25,3.05,3.48,8.08,8.77,0.44,33.59,-0.57,0.43,1.43,0.5,14.99,1.14,0.0,26.2,0.52,-0.02,2.56,10.05,2.63,0.02,5.44,1.2,0.29,-0.04,0.15
t10,5.13,2.46,1.75,5.3,1.5,0.0,0.25,-0.03,0.0,4.22,0.0,0.1,6.69,0.05,80.94,0.0,0.0,-0.66,21.04,0.18,-0.06,0.38,0.0,0.0,6.23,0.0,1.17,0.0,0.99,0.75,2.55,0.0,0.0,2.96,0.0,0.0,2.82,0.0,-0.03,0.0,-0.84,-0.03,0.62,0.0,0.08,1.73,4.34,6.63,0.0,0.0,0.0,0.35,0.13,0.0,0.37,0.0,1.41,2.1,0.0,0.0,-0.1,1.3,0.96,0.0,0.0,1.86,0.03,6.35,0.46,0.05,0.0,-0.08,0.0,0.17,0.14,-1.44,0.0,0.0,0.01,0.2,0.71,0.63,0.0,2.62,0.0,0.0,0.28,0.33,-0.21,0.0,-0.15,-0.68,0.0,5.92,0.0,0.0,0.0,0.0,0.33,14.61,4.0,11.4,0.0,-0.18,0.06,0.36,0.72,1.62,-0.25,0.0,0.3,0.2,0.0,0.92,0.45,0.59,0.0,1.97,0.0,0.5,6.89,0.0,7.87,0.0,1.58,0.1,4.84,2.83,0.77,0.59,0.0,0.0,0.03,0.0,0.0,0.0,0.69,1.8,7.1,0.0,0.0,1.94,3.72,0.0,2.81,0.36,1.47,2.38,0.35,0.0,0.0,2.19,0.05,1.13,-0.12,0.0,0.3,3.33,0.3,0.0,0.0,0.21,1.39,0.8,20.42,0.26,-0.18,5.6,0.0,1.38,0.0,0.26,0.0,-1.74,0.0,-1.02,5.02,46.34,0.0,0.0,1.98,-0.09,-0.1,0.32,0.0,11.84,0.1,0.0,0.3,0.0,0.0,5.36,5.72,3.89,4.53,1.13,0.0,0.0,0.0,2.28,0.3,1.93,3.31,0.0,7.14,0.0,-1.1,10.83,0.0,0.11,0.0,18.13,0.0,0.0,0.04,-0.15,0.0,0.03,-0.78,1.74,25.52,0.0,0.09,0.76,-0.18,24.28,-0.34,0.0,0.38,1.44,0.39,2.61,1.92,0.13,17.74,0.0,0.43,2.75,0.0,0.67,0.0,0.0,3.03,-0.45,0.0,-0.15,6.42,0.0,0.0,6.26,0.0,0.0,0.06,-0.03
