t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,1.45,0.0,0.24,-0.12,-0.17,4.77,2.25,6.92,-0.11,1.54,93.37,0.0,1.37,42.5,26.6,-0.11,0.0,0.25,0.92,107.44,0.1,0.56,-0.21,0.0,-0.09,-0.18,21.78,40.89,3.15,0.05,0.43,0.14,12.27,3.54,10.47,6.18,0.94,0.11,0.06,-0.21,0.0,0.0,611.29,-0.03,6.02,13.21,0.05,0.0,2.59,11.92,0.0,0.0,0.0,0.0,0.0,2.81,2048.4,0.0,20.93,0.95,389.96,0.0,0.33,0.0,3.21,0.0,0.03,0.42,0.44,63.15,1099.2,0.48,2.13,5.04,2.76,0.0,0.65,0.0,285.27,0.0,1.28,0.12,3.52,68.59,0.21,1.21,0.0,0.1,2.0,13.41,4.76,1.08,3.93,17.22,3.86,-0.31,-0.28,0.28,-0.38,0.56,2043.02,0.93,1.45,0.0,106.43,0.71,19.21,3.11,2.87,0.58,3.19,1.09,-0.36,0.85,4.32,15.02,23.9,0.0,-0.38,-0.21,0.47,0.8,0.74,0.0,-0.05,20.44,0.2,1.3,56.54,0.52,0.0,0.0,1.05,-0.16,0.0,0.2,1.03,0.0,1.77,1.76,-0.01,-0.1,0.75,4.97,0.08,35.6,0.1,0.0,1.02,3.73,0.0,3.47,0.03,0.0,2.93,0.0,0.5,0.42,0.0,0.0,2.0,1.48,1.64,0.0,4.52,6.19,0.05,0.0,1.05,169.9,8.55,-0.15,0.0,1.15,2.48,0.1,0.0,1.28,0.41,1.42,1.49,1.44,0.03,16.8,1.18,1.29,2.58,896.53,-0.96,1.1,759.91,0.0,0.0,0.15,0.32,-0.27,0.0,2.74,64.95,0.0,1.13,-0.03,0.0,5.05,2.01,0.0,0.0,-0.18,0.0,-0.06,0.45,7.2,2.16,-0.01,0.0,0.0,0.0,0.0,5.47,545.19,0.51,0.0,-0.63,0.0,0.34,0.55,1945.43,0.29,0.35,0.13,0.0,0.13,0.0,11.98,3.38,7.84,15.26,-0.27,3.49,0.26,4.49,4.82,-0.43,-0.3,-0.25,733.52,3.98,0.0,11.1,1.54,0.04,-0.07,0.0,1.44
t2,18.34,1.48,8.71,-0.39,4.31,7.5,25.11,45.41,5.08,4.92,431.25,0.25,3.11,373.67,319.26,13.87,0.0,8.12,11.04,761.56,-11.7,1.66,0.86,1.27,3.42,4.24,87.2,261.0,14.35,0.24,27.59,3.02,30.52,4.99,31.97,98.01,14.95,1.77,0.65,0.58,0.0,-0.27,4412.42,-0.06,24.43,125.68,3.01,0.85,67.7,117.33,0.06,0.0,0.14,1.22,-0.37,39.41,11080.55,0.21,51.24,5.85,3446.96,2.25,0.5,2.24,7.61,1.71,0.07,5.87,2.42,508.95,4045.64,0.82,14.28,43.21,17.73,0.14,0.29,0.09,2299.18,4.87,6.52,2.6,12.41,643.25,3.82,8.81,0.0,0.01,23.25,38.88,127.64,12.18,28.8,227.29,29.34,2.23,0.08,0.55,0.26,18.09,12246.11,7.51,18.54,0.35,771.4,1.04,94.96,32.9,17.32,2.99,38.5,20.45,8.22,2.92,1.9,201.74,66.2,0.0,2.3,3.9,10.72,2.82,66.16,0.69,1.56,293.84,1.57,9.92,512.98,9.75,0.0,0.0,1.85,1.25,0.0,0.05,-0.42,0.0,17.22,15.1,22.65,0.22,4.64,35.78,9.81,191.88,3.43,0.23,1.02,16.67,0.15,39.13,6.67,-0.08,63.79,0.0,3.23,1.58,0.38,1.4,15.01,11.16,6.47,0.99,39.09,58.03,0.22,0.03,14.83,1237.81,96.19,3.6,0.09,0.47,65.55,4.08,-0.13,4.47,-0.49,11.76,16.28,14.03,3.3,213.86,18.78,13.18,29.0,946.45,-1.05,13.35,1033.08,0.0,0.05,1.59,4.12,-0.68,0.27,14.86,474.57,0.4,8.7,4.02,3.18,55.35,3.06,1.62,0.0,0.49,0.12,0.2,-1.01,49.04,5.12,25.39,1.82,0.0,0.0,0.23,20.39,4520.1,4.28,0.25,1.09,0.0,9.76,6.03,7587.99,4.02,0.85,4.79,1.1,1.03,1.94,77.06,10.58,50.9,122.0,0.57,17.62,14.81,34.11,2.21,5.13,0.75,0.42,3882.86,19.36,8.57,163.69,14.71,-0.09,3.43,1.14,8.29
t3,101.75,11.68,62.87,1.69,5.3,2.47,60.98,171.19,15.73,21.62,487.99,0.85,10.51,1255.31,1522.87,35.38,0.0,43.37,51.25,2004.59,6.62,3.54,0.56,11.26,7.62,33.87,163.9,248.43,18.78,6.1,139.78,9.28,16.45,22.74,55.02,234.54,50.16,18.25,4.71,8.94,-0.03,2.96,7117.99,1.62,39.38,326.14,21.48,1.02,154.08,581.25,1.11,1.05,0.0,8.85,0.21,56.16,15226.86,3.08,98.45,25.37,5959.07,20.52,-0.04,20.31,7.65,3.24,3.01,62.39,-0.27,1093.13,1938.09,24.67,72.09,131.06,40.06,1.68,2.87,-0.29,4707.23,11.91,40.29,16.04,24.66,1446.88,4.3,16.42,0.02,0.09,62.04,56.34,330.74,53.87,98.62,571.79,70.94,5.25,5.87,-1.27,1.48,98.46,20647.52,54.3,58.85,0.29,841.85,16.95,226.22,332.55,87.01,6.77,141.41,76.47,18.07,5.83,2.34,414.99,71.03,0.57,18.76,12.37,38.64,2.7,232.23,0.75,14.84,963.56,7.56,12.31,802.83,53.43,-0.12,0.0,5.49,0.34,0.0,0.19,6.52,-0.03,62.93,42.11,63.3,2.49,16.73,54.58,24.07,456.8,17.65,1.85,10.14,25.92,0.0,144.14,5.2,-0.29,225.31,0.12,35.31,8.5,7.63,2.52,73.92,61.92,38.92,-0.13,127.63,84.8,0.74,-0.33,51.85,2906.78,139.63,9.29,0.26,17.24,181.83,9.9,0.54,62.72,12.5,5.19,94.27,95.09,5.44,657.68,54.57,37.62,92.5,137.63,4.18,58.53,258.65,0.0,0.0,6.56,15.54,0.6,3.01,51.38,678.14,0.39,40.77,11.2,17.87,128.25,16.93,0.67,1.3,1.54,1.2,9.9,10.74,173.19,28.27,98.71,4.94,-0.24,0.0,-0.03,16.97,11282.55,29.95,0.0,3.79,0.26,43.57,31.32,5255.74,24.0,21.95,13.81,4.95,10.17,3.1,187.17,19.92,200.02,230.92,10.55,49.18,79.47,164.71,8.36,33.1,2.51,13.94,3268.27,74.82,5.65,339.26,63.41,2.32,11.09,2.15,40.28
t4,177.08,31.47,141.62,8.62,23.18,-0.07,165.0,112.84,16.81,43.19,173.9,0.7,89.25,1763.86,3591.21,22.02,0.09,62.24,85.89,1841.19,768.47,3.98,5.64,11.5,29.76,123.38,94.26,67.62,45.18,19.03,598.33,52.61,4.83,45.6,20.97,170.49,115.15,11.35,18.87,16.02,0.99,7.01,3442.73,6.24,65.02,394.88,21.79,0.41,153.54,716.91,1.45,6.8,0.0,5.65,0.3,25.88,8588.68,12.36,40.93,20.47,2934.33,22.09,3.41,36.97,1.33,7.61,15.45,248.6,0.15,679.95,552.71,86.14,87.09,122.41,45.9,8.72,17.17,1.85,2831.22,18.85,56.41,63.42,89.62,1236.19,7.95,12.43,0.0,3.54,58.28,63.22,390.68,221.89,170.46,656.56,160.9,4.78,41.37,10.8,3.31,184.38,15432.04,158.71,44.85,1.3,234.17,13.38,215.04,1641.92,147.72,56.1,174.28,99.67,41.5,14.27,1.9,278.05,33.88,0.05,42.97,27.41,106.81,1.54,522.84,1.34,51.01,849.45,35.63,53.24,431.82,79.56,0.94,-0.12,18.94,-0.01,-0.16,1.33,41.18,0.05,110.77,44.42,101.45,22.38,44.49,50.8,32.28,355.37,51.49,5.0,19.05,17.14,0.0,459.14,11.05,4.07,661.19,3.26,95.12,21.51,6.89,3.11,135.66,166.28,97.33,0.28,223.19,67.9,1.33,3.16,88.07,2190.76,54.65,25.54,3.12,46.42,183.74,41.33,6.86,240.84,24.05,2.65,207.73,114.84,26.55,647.27,36.22,28.12,130.74,25.5,2.2,35.87,38.7,2.79,2.52,18.27,29.66,1.1,2.53,89.39,317.7,-0.96,116.8,7.73,15.72,99.26,74.87,4.14,0.75,3.71,0.67,26.51,7.83,367.25,47.75,228.51,15.68,2.88,0.18,1.8,14.98,8627.29,152.58,0.05,12.81,0.03,116.09,63.97,1719.03,53.88,59.81,65.64,2.27,31.78,35.63,181.98,131.03,262.77,162.82,5.99,102.13,622.01,157.62,2.89,122.31,1.41,71.76,989.96,152.41,9.76,267.41,72.14,-0.3,22.63,12.36,37.56
t5,188.11,73.04,230.32,31.22,14.79,0.59,192.13,42.84,9.31,55.85,38.05,3.12,134.89,910.52,5561.61,15.09,0.2,52.75,179.92,650.66,275.12,6.57,6.88,26.17,25.33,62.76,46.22,14.98,32.11,34.0,1449.27,41.65,2.8,71.84,4.71,77.73,162.18,3.11,35.55,16.93,7.65,2.77,904.02,2.81,41.27,292.09,23.88,4.02,49.06,251.75,3.43,11.57,0.24,9.52,0.06,8.36,2653.13,23.92,10.47,7.89,776.83,25.7,2.83,22.71,-0.01,34.06,42.92,523.26,0.92,165.42,132.56,93.05,50.05,67.36,25.2,8.1,29.31,0.11,914.56,21.64,48.37,95.67,85.89,572.11,9.15,14.63,0.36,28.49,48.2,42.52,190.08,389.99,91.11,349.12,112.56,2.07,21.13,8.31,1.08,211.88,6094.43,214.34,9.86,7.43,78.75,5.55,158.07,3563.5,85.75,116.25,105.2,62.99,34.39,29.44,0.0,103.65,15.62,0.41,28.23,42.54,137.04,5.59,750.78,21.98,108.9,308.13,74.78,81.82,159.8,72.15,5.45,1.26,17.43,0.16,0.97,0.23,111.32,0.61,86.17,39.72,58.98,8.36,37.81,13.24,36.65,148.31,55.69,2.22,32.13,12.72,0.0,778.41,6.34,4.13,639.02,0.99,59.6,45.75,5.66,6.16,80.56,163.77,167.61,3.84,486.43,24.61,6.3,6.4,40.89,804.72,9.31,60.87,2.12,138.29,75.08,52.38,20.42,665.44,28.77,0.36,302.38,94.32,50.95,271.06,15.76,21.91,111.9,1.6,9.36,14.13,9.35,1.28,0.23,29.01,59.56,3.11,3.19,42.58,80.25,8.08,203.52,10.85,11.97,55.63,210.03,6.99,3.67,1.32,4.41,51.55,5.22,564.75,11.57,237.68,19.66,2.62,0.05,9.68,20.1,2783.92,268.86,0.0,31.94,-1.72,184.01,157.55,403.62,42.23,66.42,126.09,11.32,56.47,103.96,127.41,190.62,133.88,45.94,19.47,52.92,1415.86,111.31,1.69,187.83,6.13,132.59,174.36,208.33,17.82,101.75,86.99,27.4,14.68,60.98,19.98
t6,136.68,52.77,203.01,47.16,16.92,0.0,115.93,7.96,2.93,50.55,10.83,-0.19,147.08,284.89,4269.59,4.35,2.36,19.47,160.8,224.6,19.5,6.8,2.31,15.41,34.98,7.59,22.62,2.18,45.01,51.8,1251.69,37.73,1.24,62.31,1.05,31.75,102.41,1.83,29.9,4.78,14.13,12.85,226.79,0.1,12.42,164.36,13.32,20.04,15.76,59.89,0.21,11.58,0.69,16.09,0.17,3.98,585.03,18.45,3.54,2.26,159.28,23.19,1.38,7.7,-0.14,54.83,30.24,490.99,-0.32,33.92,38.12,30.49,17.5,13.84,9.15,5.94,10.85,0.25,245.28,14.23,51.88,37.32,30.54,139.96,11.69,6.51,2.25,14.79,19.05,14.78,59.14,284.09,25.71,176.73,43.11,0.02,4.58,2.35,1.84,167.3,1890.95,174.32,1.98,14.17,18.77,4.26,53.92,2463.81,29.22,63.86,31.01,43.01,27.48,41.53,0.0,37.25,3.05,2.42,8.86,40.55,80.49,3.86,565.2,30.63,136.26,68.56,85.65,35.64,27.44,65.32,6.78,-0.08,35.21,-0.04,0.06,6.77,108.01,3.16,51.29,19.94,16.23,27.87,17.79,2.1,26.28,39.39,56.24,11.56,30.64,13.1,0.42,638.64,10.59,0.76,339.5,1.5,16.23,24.65,11.12,1.97,51.87,82.3,111.62,1.36,468.09,8.52,13.02,29.71,22.49,212.55,5.57,35.8,0.21,144.82,12.85,47.85,31.3,882.85,10.79,0.33,196.1,29.77,54.93,49.9,3.6,20.76,58.33,2.38,6.32,8.64,9.42,13.38,4.36,15.35,31.63,10.41,0.66,7.82,14.58,16.56,172.36,10.57,19.12,20.35,237.31,6.93,8.8,10.32,7.93,52.8,0.0,430.55,5.58,113.33,15.47,1.76,2.42,3.97,11.22,631.72,346.89,0.0,31.73,1.64,88.91,241.62,106.68,8.0,38.03,121.8,2.62,64.48,136.22,34.96,225.33,45.9,13.04,23.89,31.74,841.86,28.42,0.0,232.78,8.88,70.43,44.64,113.09,17.14,24.51,49.51,16.37,31.97,33.25,4.48
t7,62.23,18.52,94.14,30.78,22.59,0.0,64.46,2.02,1.44,21.23,10.27,1.24,58.4,65.37,2065.22,1.45,3.9,13.03,112.98,54.89,2.81,8.95,0.0,0.8,22.56,-0.24,7.43,3.61,11.56,53.54,541.93,13.43,0.06,39.2,-0.51,10.92,57.13,1.05,17.45,0.03,2.79,10.46,43.24,0.0,7.93,93.59,7.43,17.83,4.39,19.19,0.0,13.93,5.16,14.04,0.7,0.04,142.5,35.73,-0.54,-0.18,43.95,31.25,6.48,8.04,0.0,28.57,16.99,272.74,0.05,6.63,6.48,6.81,4.76,6.96,3.05,6.97,3.1,-0.14,69.43,9.32,21.03,17.29,4.56,28.47,3.75,1.4,2.68,8.12,6.85,3.7,33.56,176.13,3.94,89.35,16.63,0.87,0.43,0.35,0.95,69.52,492.77,86.64,0.51,15.07,10.36,3.95,23.29,740.3,15.52,25.17,4.9,16.48,7.7,66.51,0.0,8.66,3.0,1.98,2.54,26.84,52.24,0.55,274.36,1.92,95.81,16.76,65.9,26.06,9.07,36.84,0.43,0.36,20.22,-0.41,0.05,4.23,50.46,4.07,16.51,5.61,31.04,9.36,11.66,1.78,12.58,16.7,33.17,0.47,22.6,7.65,0.06,253.43,7.28,2.64,94.65,0.0,1.39,22.1,13.75,1.5,14.03,29.99,64.57,3.28,182.94,3.04,-0.88,40.08,2.48,50.34,3.27,19.0,0.0,40.22,8.03,24.23,17.44,669.03,5.71,0.0,98.98,7.72,42.23,10.71,4.4,12.15,14.91,0.03,21.24,1.86,1.02,5.44,1.65,9.09,14.91,10.77,0.55,5.5,5.12,25.62,83.22,17.09,4.97,3.06,174.24,3.71,8.18,38.64,11.66,40.89,0.0,176.16,4.19,21.94,5.07,0.09,2.81,8.81,0.89,134.65,227.73,0.3,30.21,2.51,11.66,193.24,54.02,10.35,16.99,44.83,9.47,33.49,94.0,12.91,139.72,6.71,4.35,27.9,7.96,228.73,6.13,0.0,198.63,4.5,15.52,24.78,50.19,8.91,6.73,37.01,14.74,15.93,7.14,1.51
t8,23.29,5.96,40.17,16.01,3.98,0.0,15.84,-0.36,-0.19,11.32,0.46,0.36,30.09,20.95,780.27,1.61,0.51,9.73,66.41,9.97,-0.08,17.09,0.0,2.02,25.77,0.06,2.35,0.66,7.91,36.63,142.5,0.97,0.0,17.18,-0.57,2.81,20.27,0.0,5.37,-0.89,3.86,8.16,9.68,0.0,0.64,35.63,1.18,4.06,4.02,4.35,0.0,0.28,7.26,3.35,0.0,-0.15,52.65,12.05,0.07,0.04,13.78,12.86,3.34,0.49,0.0,11.62,11.07,94.59,0.39,0.22,2.88,4.53,3.92,2.55,1.45,1.78,0.53,-0.09,17.21,3.19,3.79,7.77,3.59,7.12,0.04,0.57,2.65,0.71,5.03,1.44,8.01,69.28,0.32,34.11,9.95,0.36,-0.85,3.07,0.2,38.26,143.24,50.77,2.02,6.24,7.64,0.0,13.78,191.49,2.9,6.21,4.01,9.34,13.15,56.7,0.0,0.72,3.32,0.9,8.48,6.33,29.9,0.21,115.94,0.55,30.48,0.37,34.93,9.67,0.83,12.82,0.0,0.12,10.35,0.62,0.0,8.61,15.56,5.03,11.26,3.21,5.64,2.47,3.13,-0.41,2.06,2.99,2.38,-0.87,6.17,2.28,0.0,43.31,2.7,1.31,25.91,0.24,1.85,3.78,11.39,0.99,3.19,15.83,26.84,0.41,99.71,2.47,0.0,31.55,2.32,13.08,0.0,7.06,0.0,9.55,1.53,11.54,18.98,361.53,4.83,0.0,31.48,6.14,16.51,2.85,0.06,10.15,3.01,0.65,7.68,0.0,0.0,1.43,1.19,6.28,1.48,4.09,0.0,2.51,0.65,8.13,29.86,5.11,1.46,-0.15,51.04,0.01,7.08,56.62,16.53,18.83,0.0,70.16,1.23,5.42,6.5,0.0,1.66,6.08,0.16,42.01,100.48,2.29,10.46,-0.07,1.58,46.1,12.65,3.8,8.97,30.65,4.58,23.38,64.67,7.76,83.99,1.52,0.57,12.06,1.46,49.43,4.07,0.0,133.32,1.44,0.16,6.7,12.96,4.74,0.21,10.56,5.87,14.42,1.08,0.8
t9,8.47,8.62,14.43,19.38,-0.03,0.0,6.31,-0.21,0.0,9.03,0.41,0.31,9.38,2.59,245.7,0.15,-0.12,0.09,40.01,3.52,0.9,7.6,0.0,0.65,16.98,0.15,0.5,0.33,7.2,4.75,34.37,0.21,0.0,15.28,0.17,1.18,6.61,0.0,0.64,0.0,0.83,7.14,3.58,0.0,0.32,12.55,0.86,0.22,6.66,2.16,0.0,-0.46,3.63,2.17,-0.36,0.0,9.49,3.4,0.0,0.0,0.11,9.81,-0.27,-0.19,0.0,3.06,1.6,15.49,0.46,0.59,1.01,0.21,0.67,-0.23,0.1,5.72,1.8,-0.21,8.88,0.03,1.68,4.66,0.37,3.4,1.02,0.36,0.36,5.43,0.08,0.0,2.32,26.03,0.18,13.65,0.04,-0.09,-0.05,0.3,1.22,9.59,47.69,14.79,0.0,2.27,2.88,0.0,6.28,25.2,0.85,0.03,-0.03,2.19,4.18,34.13,0.0,0.94,2.04,1.32,1.38,2.08,3.25,-0.3,43.39,0.0,4.79,0.96,6.83,4.19,0.05,4.18,0.0,0.89,0.94,0.37,0.0,2.01,7.28,-1.17,4.52,0.58,1.07,0.96,5.62,0.0,-0.03,0.83,1.38,0.0,6.52,1.01,0.0,16.59,5.92,0.06,6.47,0.0,-0.33,1.4,-0.36,0.3,1.26,2.0,4.21,0.0,28.23,0.37,0.79,13.43,1.53,4.02,0.0,0.25,0.0,2.59,2.0,1.2,12.75,147.6,0.05,0.0,23.8,4.36,1.01,0.88,0.0,7.93,1.06,0.0,3.1,0.5,0.0,0.1,0.94,2.27,0.43,2.22,0.0,-0.01,-0.09,11.45,2.37,0.09,0.0,0.0,20.02,0.0,8.03,54.13,7.66,8.79,0.0,26.71,0.01,4.42,6.6,0.0,0.29,6.11,0.0,7.68,47.47,0.0,3.5,0.11,4.24,30.57,0.88,0.42,7.23,7.9,0.25,3.4,29.28,0.02,25.69,0.31,0.0,2.84,1.39,10.85,-0.24,0.0,69.28,2.88,-0.24,0.28,2.01,1.71,-0.42,10.41,3.65,5.67,-0.18,0.81
t10,6.85,5.87,7.55,2.72,0.19,0.0,0.63,0.0,0.0,4.67,0.09,0.05,3.6,0.15,83.43,0.0,0.25,0.0,15.83,0.47,0.0,5.32,0.0,0.0,8.28,0.0,0.0,0.0,1.15,1.2,5.12,0.15,0.0,7.17,0.0,0.56,4.38,0.0,2.98,0.0,0.2,2.74,2.86,0.0,0.91,3.84,2.39,0.37,-0.03,0.0,0.0,0.09,8.46,0.18,0.1,0.0,0.4,0.29,0.0,0.0,0.9,6.15,2.94,0.06,0.0,-0.11,1.05,4.42,0.0,0.0,-0.06,0.18,0.0,0.06,0.4,0.52,1.68,0.0,0.35,0.0,-0.02,-0.05,0.1,3.62,0.95,0.0,-0.53,-0.26,0.0,0.0,0.43,6.84,0.0,0.22,0.05,0.0,-0.25,4.59,13.69,3.45,3.19,4.56,0.0,1.1,0.38,0.0,1.97,6.8,0.03,0.0,0.0,0.37,7.22,14.94,0.0,0.14,-0.84,9.11,0.0,0.85,0.71,0.18,18.32,0.0,4.2,0.0,3.95,0.22,0.0,0.41,0.0,0.18,0.75,0.04,0.0,1.95,0.68,0.22,0.86,0.0,0.0,0.0,-0.14,0.0,0.06,0.31,0.0,0.0,3.77,0.0,0.0,0.55,0.06,0.0,9.72,0.0,0.0,0.53,1.34,0.0,0.14,0.48,1.26,0.0,9.96,0.0,0.18,5.62,0.0,0.2,0.0,-0.18,0.0,-0.04,0.81,1.05,2.38,53.58,0.0,0.0,5.23,1.69,0.97,0.0,0.0,0.15,0.18,0.0,5.23,0.0,0.0,0.05,0.0,0.05,0.3,0.0,0.0,0.0,0.2,2.54,2.26,-0.03,0.0,0.0,10.15,0.0,0.39,16.34,0.38,10.63,0.0,7.39,0.06,-0.03,1.09,0.0,0.3,15.9,0.0,3.03,12.75,0.0,6.33,0.0,-0.12,13.48,2.19,0.0,0.35,0.56,0.0,0.4,15.18,0.1,10.64,0.0,0.0,0.09,0.96,6.56,0.0,0.0,25.43,-0.43,0.14,0.0,1.2,0.05,1.95,6.56,0.0,3.51,1.86,5.25
