t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,1.84,-0.0,1.43,-0.03,0.0,14.1,1.59,4.52,-0.23,0.33,121.43,0.0,-0.2,39.65,34.73,3.35,0.0,-0.01,-0.09,73.76,3.38,0.37,0.0,-0.09,-0.03,0.67,17.03,34.75,0.22,0.0,2.24,0.46,21.86,0.15,7.27,9.17,1.12,4.0,-0.09,0.0,0.0,0.0,599.18,-0.81,5.03,14.9,2.04,0.0,4.19,8.28,0.09,0.0,0.0,0.09,0.25,3.88,1994.77,1.14,16.22,0.4,390.72,2.42,0.0,0.2,2.11,0.62,0.2,1.09,0.0,53.75,1045.89,1.16,0.14,4.4,1.33,0.0,1.23,0.0,283.71,-0.03,1.35,0.5,1.5,68.66,0.36,0.19,0.0,0.0,2.91,13.53,5.13,0.34,1.4,19.35,8.14,1.06,0.24,0.45,0.0,2.01,1985.55,0.54,3.59,0.0,144.07,0.48,13.24,0.7,1.25,0.22,7.11,1.2,1.06,0.37,2.85,25.54,15.27,0.0,2.85,0.27,2.48,0.46,2.66,0.0,-0.32,22.28,-0.49,0.34,57.14,-0.42,0.0,0.0,-0.26,0.0,0.0,0.0,-0.76,0.0,-0.32,-0.06,2.75,0.03,-0.05,6.46,-0.32,30.22,0.49,0.0,-0.13,3.62,0.0,2.38,-0.41,0.05,2.57,0.0,0.28,0.78,0.0,0.2,0.07,0.25,0.03,-0.06,1.35,2.88,0.05,0.0,1.47,186.26,4.41,0.37,0.0,0.14,4.39,0.0,0.0,2.18,0.39,4.07,0.65,1.68,0.46,11.79,0.47,1.18,2.5,907.46,-0.03,4.06,782.96,0.0,0.0,0.44,0.15,-1.55,1.32,0.8,53.53,0.0,0.82,0.0,1.38,8.4,-1.03,0.27,0.0,0.0,0.05,-0.05,0.45,2.44,0.29,0.5,0.0,0.0,0.0,0.0,3.5,499.56,3.04,0.1,0.05,0.0,0.0,0.36,2030.38,0.71,0.77,0.73,0.0,0.02,0.55,17.95,1.27,4.07,7.68,0.25,0.29,0.2,0.92,0.44,1.99,0.06,0.03,728.94,0.94,0.0,9.65,6.93,0.0,0.15,0.05,-0.38
t2,15.49,2.29,8.93,2.01,0.67,12.29,11.42,43.39,4.17,3.57,551.65,0.0,17.68,386.61,404.93,14.02,0.0,12.76,3.19,770.07,-8.04,2.04,0.47,1.85,4.26,10.74,86.84,213.3,1.49,5.8,25.55,1.88,35.92,3.41,28.09,93.93,4.97,0.08,3.16,0.0,0.0,-0.12,4522.72,-0.6,13.38,131.24,7.45,0.0,38.44,141.28,1.07,-0.03,0.5,0.43,2.73,17.23,11406.4,-0.3,67.68,11.35,3443.57,4.1,0.0,3.82,8.75,0.1,0.34,19.6,0.1,572.46,4222.95,4.17,5.77,46.65,18.97,-0.2,9.72,0.0,2233.16,0.6,5.33,1.21,5.57,598.94,8.3,6.34,0.0,1.04,18.67,54.28,84.14,18.12,27.7,240.42,29.35,0.67,7.73,5.07,4.85,21.94,11733.94,11.5,13.45,0.0,814.39,1.16,98.16,63.59,19.97,0.35,69.75,22.72,9.02,3.0,8.13,201.01,58.89,0.0,11.46,4.12,7.35,-0.42,49.49,0.0,2.77,368.26,3.77,5.01,455.06,4.25,0.0,0.0,1.54,0.0,0.0,0.05,4.15,0.25,15.74,5.09,25.0,0.0,6.4,43.38,4.05,226.46,11.63,0.67,1.53,23.02,0.0,28.98,2.65,0.3,45.63,0.0,5.04,1.05,0.0,1.03,11.04,6.31,4.06,0.0,2.98,29.07,0.48,0.19,14.58,1326.1,25.87,7.91,0.75,10.62,54.7,1.07,-0.21,28.84,3.1,2.59,19.39,25.65,0.74,235.33,9.38,11.54,24.58,858.19,1.0,21.09,1026.79,0.0,0.0,-0.23,2.2,5.04,3.87,7.21,426.06,-0.06,13.49,0.55,0.4,61.1,11.9,1.59,0.0,0.12,0.44,2.15,0.91,34.73,6.01,11.09,0.42,0.26,0.0,0.47,24.32,4654.35,29.55,0.0,1.75,0.0,2.78,3.32,7909.65,7.39,8.32,8.15,0.3,1.49,6.37,104.29,14.5,40.14,78.8,1.96,16.24,8.32,39.49,2.22,4.92,0.4,-0.4,3993.9,18.13,0.56,116.71,19.11,-0.54,3.19,0.07,-0.34
t3,61.82,18.59,44.73,4.17,14.45,8.7,80.27,120.27,4.73,12.41,444.82,-0.21,48.41,1428.05,1743.99,29.27,0.2,40.29,17.05,1905.11,-102.18,2.89,0.08,1.9,17.15,63.51,173.95,268.62,7.25,13.82,204.37,3.42,24.76,18.09,19.69,219.38,38.75,0.19,5.7,0.39,0.1,2.96,7057.92,0.76,34.24,318.03,11.55,0.19,157.62,641.35,0.32,0.8,1.94,1.3,1.26,26.7,15840.03,8.95,109.65,17.82,6314.04,13.18,1.27,9.12,6.3,1.17,16.73,109.11,-0.03,1075.64,1900.16,34.34,35.33,132.32,53.91,0.62,10.47,0.11,4767.13,18.92,25.4,16.37,21.28,1565.51,7.77,8.36,0.0,3.52,45.02,63.69,336.2,80.18,116.67,682.01,130.72,1.5,11.95,7.53,9.05,64.16,20457.5,45.69,32.77,0.53,836.6,6.6,237.11,613.6,92.52,22.52,164.13,93.69,18.53,18.17,4.88,449.68,66.39,0.18,40.09,14.2,19.95,3.22,241.56,0.17,7.98,999.29,12.02,24.15,747.5,31.18,-0.09,0.06,4.23,0.1,0.0,0.1,5.92,0.16,37.12,13.7,95.4,2.97,13.43,84.12,13.04,445.63,40.25,3.81,2.25,41.05,0.7,186.04,9.03,3.96,194.63,0.0,28.51,9.2,0.27,1.88,90.04,21.07,44.01,0.0,93.08,67.53,1.36,3.79,36.0,2954.81,78.75,16.39,1.06,33.71,187.17,11.43,2.06,112.84,37.45,2.96,79.61,75.43,4.3,673.05,18.89,29.82,98.84,135.72,2.53,60.75,197.47,0.0,0.41,9.3,5.01,5.47,2.97,59.55,666.73,0.12,48.03,5.37,4.02,120.07,31.27,18.11,0.15,-0.36,1.21,6.62,4.55,149.55,44.85,76.88,1.99,0.19,0.0,0.11,15.68,11400.29,77.19,0.21,4.56,0.05,21.42,18.35,5413.14,30.64,24.46,33.59,0.59,14.26,20.33,214.74,25.53,209.55,189.44,6.98,48.13,47.09,122.25,3.62,29.51,0.5,13.69,3245.26,78.64,5.33,334.28,86.71,7.65,14.03,3.45,64.74
t4,106.62,38.89,104.31,18.55,23.94,-0.18,202.19,100.16,38.69,43.28,147.39,0.52,84.84,1922.41,4213.49,41.51,-0.09,47.9,58.1,1700.52,568.76,4.68,1.1,8.11,22.67,125.8,110.52,68.51,41.77,44.59,677.02,18.53,14.49,19.67,14.79,193.69,60.52,2.91,9.55,2.36,2.01,5.37,3425.58,0.01,66.03,374.89,21.22,2.16,145.21,608.4,5.66,1.36,0.05,10.23,3.44,42.44,8555.56,35.74,53.41,15.56,2889.49,24.94,0.27,24.05,1.61,14.3,16.84,272.31,-0.95,567.9,550.77,96.53,98.42,121.18,34.27,1.54,22.45,0.13,2942.4,31.32,62.2,63.83,67.35,1373.19,29.65,10.44,0.0,12.71,54.54,58.11,377.65,200.1,186.11,761.37,134.13,-0.7,24.12,5.73,2.78,172.36,15643.37,108.12,35.02,6.44,243.56,1.61,234.5,2165.24,123.15,49.81,195.58,123.12,35.22,27.51,5.05,345.59,33.17,0.15,35.91,42.66,76.53,0.79,591.17,5.12,53.73,716.01,48.52,47.19,394.63,80.7,-0.84,0.35,16.19,1.1,0.13,2.57,57.56,0.09,60.73,57.8,87.96,9.91,24.66,57.53,42.1,364.98,54.94,5.7,10.91,48.21,1.08,529.9,16.82,6.31,530.54,-0.57,60.53,15.44,5.57,0.22,123.75,121.87,123.76,-0.55,283.38,61.09,7.88,14.26,73.41,2146.95,87.41,21.88,-0.1,96.53,170.89,40.38,23.91,275.75,48.05,2.25,244.81,110.81,11.49,628.02,29.48,49.12,147.08,25.74,8.74,26.17,25.84,1.71,1.86,13.61,14.2,4.73,1.81,137.59,307.96,1.52,114.88,9.87,9.28,100.47,108.39,9.84,1.18,9.36,5.39,25.81,10.26,345.25,44.79,252.95,6.94,0.2,-0.35,-0.11,13.3,8698.79,139.11,-0.1,20.23,0.59,84.9,37.01,1690.85,37.87,46.66,78.54,9.65,32.03,88.74,195.21,102.4,310.24,140.16,19.93,37.84,254.75,206.94,5.57,61.13,15.88,83.66,1024.69,170.68,4.6,290.93,106.06,28.17,33.82,8.32,64.62
t5,165.72,68.7,241.97,22.81,32.12,0.0,202.31,36.04,18.23,74.97,35.41,0.5,111.59,792.59,5723.97,10.61,1.07,30.2,67.65,729.18,249.02,18.61,0.1,18.84,33.69,70.29,58.73,15.52,43.93,48.43,1529.58,46.1,0.62,27.2,17.86,65.32,133.67,0.5,17.32,4.49,0.45,2.46,925.34,1.63,36.15,296.46,40.01,21.75,34.57,229.69,1.84,12.82,1.5,4.99,-0.82,15.45,2612.3,68.41,11.57,3.31,714.28,64.57,2.45,32.49,2.11,58.79,29.55,534.42,3.06,154.15,118.93,98.53,45.13,51.94,30.07,3.93,19.06,1.68,910.55,29.16,61.24,115.83,132.92,504.51,28.93,7.69,0.98,20.4,28.06,21.57,200.67,356.8,74.69,338.02,85.4,4.24,25.7,13.78,1.54,256.87,6642.82,220.97,21.45,9.66,71.75,14.05,101.65,3666.89,98.94,93.99,98.69,69.17,49.11,64.87,0.48,84.56,12.93,0.64,15.31,50.76,96.83,2.25,832.79,14.85,147.13,262.77,86.14,54.39,105.69,101.02,0.44,0.0,28.04,5.31,-0.28,9.17,96.34,3.34,57.19,79.78,52.4,22.78,38.66,34.82,39.34,126.26,49.35,8.75,34.04,19.98,0.2,779.15,11.55,4.2,548.26,0.77,56.42,21.27,27.76,0.03,95.96,218.41,240.64,0.05,504.39,63.09,15.38,20.35,22.41,788.59,45.55,34.33,0.22,174.88,82.07,56.2,23.7,606.19,32.65,-0.24,328.22,61.87,47.02,227.61,10.37,49.4,96.01,15.14,14.62,14.88,8.45,-0.16,7.16,18.65,34.69,12.49,2.22,54.79,76.78,5.83,186.28,15.74,15.63,46.08,154.36,5.47,3.47,25.74,1.84,60.52,7.04,433.82,17.88,198.36,26.6,3.41,0.35,0.61,10.53,2825.2,265.13,0.67,57.76,1.38,138.85,108.76,396.06,27.42,58.9,164.65,7.8,44.98,123.6,70.44,212.72,125.63,44.77,25.74,44.73,901.43,93.79,10.56,174.85,25.15,110.83,199.78,183.82,47.57,94.32,82.72,19.41,33.94,25.12,32.51
t6,169.32,39.62,201.15,31.29,16.42,0.0,102.5,12.75,9.73,56.86,6.32,3.54,56.22,195.82,3883.55,7.24,0.64,17.46,164.94,185.77,42.96,19.63,0.0,30.71,56.13,7.09,14.85,6.82,37.62,27.95,1255.3,32.39,-0.75,65.69,8.0,31.4,132.63,0.09,37.29,4.14,6.74,14.75,200.71,1.51,32.62,146.25,18.62,17.18,10.95,52.13,1.51,12.53,0.59,23.96,2.93,9.44,594.55,37.62,1.62,4.61,133.83,36.12,4.98,34.93,2.28,55.65,28.0,443.09,7.27,38.26,26.53,37.04,35.04,16.9,28.91,5.89,1.55,2.03,294.57,53.65,29.31,62.63,52.61,170.98,8.18,12.69,3.04,9.95,16.28,2.93,64.23,346.88,19.7,188.47,24.86,2.75,13.6,11.57,4.04,128.41,2045.52,168.0,5.34,6.24,15.17,2.76,60.8,2019.89,57.23,53.07,16.66,39.85,37.8,53.88,0.5,20.79,7.97,2.45,6.32,22.98,106.45,3.09,631.75,17.51,127.56,69.09,74.7,44.23,32.68,69.71,1.97,0.69,9.36,3.89,0.45,6.65,62.95,1.97,39.8,26.43,9.72,28.43,27.3,7.93,21.98,33.06,65.53,7.7,18.83,5.7,0.0,448.76,9.06,9.8,367.58,0.78,19.3,23.35,26.81,1.62,52.19,144.54,103.81,1.29,475.75,20.7,3.86,19.83,9.54,229.28,17.11,30.8,0.18,72.09,24.64,57.89,31.92,802.12,7.45,0.0,212.39,17.58,54.29,60.07,14.14,33.73,58.86,6.03,5.35,22.0,2.5,17.92,2.6,26.29,45.54,11.23,3.07,13.37,7.33,16.0,171.79,19.05,15.05,23.71,157.5,6.2,4.87,29.65,5.29,54.98,1.75,363.16,5.05,105.28,13.67,2.72,0.03,0.41,3.02,721.58,318.6,1.16,35.58,3.1,77.59,170.68,112.81,15.73,64.91,119.01,10.1,56.65,92.17,28.65,197.72,29.58,13.9,23.6,29.96,1214.98,28.75,6.34,307.52,26.66,67.97,64.38,134.41,30.49,30.07,42.11,39.18,31.47,70.19,13.28
t7,73.37,17.15,136.95,22.04,24.94,-0.06,46.79,4.57,1.92,16.62,1.58,8.79,22.23,52.42,1638.19,6.92,0.85,6.05,125.38,65.12,2.46,11.23,0.0,18.17,47.91,2.8,4.53,5.51,17.3,24.68,512.49,17.38,-0.2,74.11,2.66,3.85,69.81,1.23,29.89,0.93,7.89,10.5,41.63,13.85,6.44,67.21,12.1,4.8,2.46,16.64,0.0,5.13,0.34,9.51,0.78,0.48,109.42,24.49,5.95,8.96,22.44,26.57,9.07,7.81,1.86,20.66,16.47,169.25,0.93,6.21,3.87,7.69,18.05,5.1,6.21,5.0,2.25,0.07,100.64,19.9,19.61,16.14,12.9,66.94,1.2,10.53,4.23,7.45,7.63,3.5,28.12,182.42,2.41,68.23,3.82,0.9,2.96,5.9,-0.84,53.68,615.58,90.35,5.16,8.58,8.59,3.95,41.92,530.55,9.18,17.59,14.47,17.3,9.52,63.78,0.0,5.39,4.73,0.21,-0.04,11.93,32.27,0.2,267.36,27.4,78.81,13.48,37.68,18.83,6.23,33.8,1.81,1.97,11.48,2.57,0.31,-1.05,45.1,6.11,42.63,14.85,4.24,8.31,29.81,1.9,16.67,13.48,26.23,2.74,6.29,0.63,0.0,177.49,4.47,5.31,145.55,1.17,-0.07,20.1,7.8,0.15,13.92,34.2,41.34,-0.64,200.72,3.11,1.8,20.43,2.42,86.2,3.82,19.6,2.48,14.15,3.11,15.01,18.38,544.01,2.02,0.0,108.23,5.71,30.69,15.73,3.69,13.79,20.53,0.06,1.56,2.91,1.28,8.4,3.04,17.42,20.43,8.08,0.0,0.85,2.48,4.07,75.27,8.73,13.75,11.94,129.16,1.93,29.1,26.32,3.24,39.81,0.44,184.0,0.76,23.64,1.93,1.63,0.93,0.41,3.8,161.09,180.1,0.05,14.92,1.26,45.71,173.21,36.73,8.23,17.88,48.16,3.8,32.86,39.46,11.18,122.32,7.19,0.79,15.31,9.02,458.92,1.65,-1.6,244.27,6.9,29.68,12.94,41.5,8.05,4.85,24.01,19.79,24.84,34.06,10.43
t8,36.92,11.86,49.73,22.2,9.74,0.0,14.34,6.16,0.0,7.92,0.26,3.03,22.74,20.04,561.18,0.62,0.05,3.09,103.83,21.52,1.79,9.7,0.0,7.65,20.36,0.29,0.15,1.18,10.82,13.87,142.85,5.2,0.15,42.62,0.0,1.92,27.21,4.52,23.31,0.45,4.66,3.45,12.09,16.52,0.65,37.59,3.72,2.05,0.63,1.08,0.0,4.23,1.47,3.69,0.0,-0.94,26.97,16.38,3.77,0.66,1.91,17.72,3.27,1.15,0.0,4.27,3.25,38.75,0.36,2.16,-1.65,2.86,5.01,0.14,11.92,1.89,4.84,0.84,24.87,20.51,12.64,9.71,2.29,13.82,2.34,-2.9,7.95,0.81,-0.93,1.18,11.38,76.94,0.44,26.66,-0.95,-0.25,-0.93,2.33,-0.39,11.87,138.79,35.22,4.07,8.19,1.54,1.26,18.61,121.75,2.48,3.94,0.45,0.5,4.72,41.78,-0.12,-0.3,2.97,1.56,0.0,4.8,16.47,0.12,73.18,5.86,35.26,1.17,24.01,3.09,2.74,15.53,0.45,3.04,20.75,2.66,0.0,0.5,13.83,1.42,23.62,5.36,2.22,3.23,8.85,0.33,3.03,6.99,8.18,4.9,10.01,-0.13,0.0,46.64,0.74,0.24,48.03,0.79,-0.06,4.38,4.47,0.88,1.48,2.77,17.69,0.8,97.53,0.0,1.54,20.91,2.62,8.34,0.55,4.73,0.11,15.81,0.63,4.88,11.13,319.05,5.61,0.0,33.66,1.44,13.72,5.98,-0.15,2.05,3.17,0.25,1.03,0.32,-0.01,5.81,1.43,11.78,11.23,4.64,0.0,0.0,1.24,6.02,35.3,8.58,2.99,3.92,68.91,0.27,11.16,11.08,7.16,26.36,-0.39,109.34,0.03,4.86,2.49,0.24,0.49,1.52,0.31,47.7,69.05,0.0,6.8,-0.01,16.94,168.98,6.28,2.49,15.52,27.34,1.62,14.1,22.04,7.54,70.13,-0.33,0.6,4.63,1.65,119.83,0.7,1.02,130.43,9.9,3.95,3.72,9.61,5.59,0.41,10.36,2.6,7.03,13.92,2.1
t9,6.05,6.45,8.24,7.82,2.54,0.0,1.66,0.53,0.0,2.34,-0.18,-0.3,4.35,11.0,189.36,0.96,0.13,0.51,62.54,7.36,0.27,1.07,0.0,1.12,8.44,0.0,0.0,-0.01,0.88,16.68,48.45,1.28,0.0,7.81,0.0,0.85,8.47,11.56,4.62,0.95,1.85,6.11,1.51,4.93,0.71,17.59,-0.03,1.77,0.27,0.0,0.02,0.01,3.47,2.05,0.0,0.0,7.03,2.68,0.7,0.0,-0.56,10.15,1.06,0.09,0.0,1.13,0.29,16.67,0.78,2.34,0.59,-0.74,0.45,1.03,2.12,1.96,0.38,-0.27,4.92,-1.46,3.44,1.94,3.2,5.37,-0.24,0.46,0.63,1.23,0.43,0.18,-0.4,17.43,0.0,9.17,4.88,0.06,0.0,0.41,0.16,0.81,45.45,9.68,0.72,5.12,1.28,5.15,1.76,8.46,0.05,4.86,0.32,0.0,2.65,14.25,-0.09,0.02,0.09,-0.1,0.0,1.19,3.73,0.12,31.89,0.25,14.42,0.8,8.98,1.07,1.05,2.07,0.0,1.18,3.51,0.0,0.0,0.0,10.79,7.43,12.52,-0.27,0.0,-0.57,2.17,0.09,3.07,0.16,1.32,0.05,0.94,-0.18,0.0,13.39,0.46,2.48,19.79,0.0,0.0,7.52,0.01,0.81,-0.06,0.33,7.25,0.08,16.89,0.41,2.44,23.98,1.08,1.61,2.73,3.6,0.0,0.49,-0.68,1.35,11.11,155.25,0.74,0.0,7.37,0.0,4.01,0.37,0.05,0.1,-0.33,0.0,0.1,-0.24,0.68,0.32,0.3,2.43,3.25,5.27,0.0,-0.27,0.4,4.17,21.35,7.54,0.38,0.25,20.77,0.0,9.86,15.0,2.76,11.71,0.0,27.72,0.0,-0.17,4.91,0.0,1.67,2.09,-0.03,15.75,31.68,0.0,0.58,0.0,3.71,88.62,3.83,0.26,4.39,5.51,0.05,3.71,11.25,2.69,12.36,0.06,0.75,0.51,3.63,21.37,0.43,5.35,55.3,3.41,0.65,1.38,5.94,0.63,0.02,7.35,-0.57,4.51,1.35,0.03
t10,5.37,0.0,2.92,5.61,0.91,0.0,2.11,0.57,1.37,1.93,-0.49,1.1,8.7,8.52,58.94,0.0,0.0,2.4,37.41,0.65,0.3,1.16,0.0,1.21,10.45,0.0,0.0,0.0,2.31,-0.24,8.55,0.19,0.0,2.73,0.0,0.26,4.62,6.48,4.05,0.1,0.74,2.57,1.59,-0.67,1.23,0.31,-0.14,4.79,0.0,0.01,0.0,0.25,2.06,0.0,0.0,0.0,0.47,-0.09,-0.03,-0.06,0.76,5.65,-0.33,0.1,0.0,3.96,0.92,4.0,0.05,0.65,-0.43,0.0,0.31,0.27,0.71,0.15,0.0,0.91,0.16,0.75,1.24,0.25,0.54,-0.07,0.24,1.18,0.0,0.27,1.01,0.36,0.0,4.8,0.0,1.43,3.6,0.0,0.0,0.0,1.78,3.51,10.71,0.78,0.0,2.88,0.39,-0.04,0.09,5.41,-0.03,4.24,0.0,1.81,0.36,11.09,0.0,0.02,0.0,-0.47,0.0,0.6,-0.03,0.0,10.47,0.12,5.13,0.0,2.01,1.17,1.32,1.21,0.0,1.03,12.73,0.0,0.0,0.0,1.79,6.87,3.49,0.19,0.0,0.0,2.21,0.0,1.61,0.6,0.0,0.0,0.37,-0.11,0.0,6.86,0.0,1.83,6.87,0.0,0.0,0.38,0.35,0.94,0.2,1.55,5.16,0.0,1.59,0.27,1.99,7.57,0.0,0.33,0.0,0.0,0.0,0.3,-0.03,0.07,3.19,66.95,1.69,0.0,7.07,0.0,0.4,0.37,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.27,2.52,8.67,0.0,0.0,0.0,0.51,4.58,1.61,0.0,0.0,4.09,0.03,0.07,18.77,-0.12,-1.31,0.0,11.5,0.0,0.0,3.85,0.0,-0.59,-0.11,0.0,2.3,6.97,0.0,0.0,0.0,-0.22,38.7,0.03,0.0,-0.25,6.04,0.0,0.05,2.99,0.48,9.97,0.0,0.06,0.3,0.56,-0.54,3.36,4.43,30.51,3.15,-0.02,1.55,2.92,0.0,0.0,1.58,0.0,3.56,0.0,0.0
