t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,5.4,0.0,-0.07,0.18,0.0,11.64,-0.42,5.64,0.0,0.87,110.61,0.06,1.49,31.45,26.6,4.52,0.0,2.13,0.15,90.51,4.27,0.05,-1.12,0.1,0.23,3.5,12.46,56.07,-0.06,0.54,-2.44,0.72,17.99,-0.56,4.38,10.27,1.06,0.85,-0.11,-0.19,0.0,1.02,534.23,0.69,2.37,11.77,0.84,0.0,1.22,7.16,0.45,0.0,0.0,0.2,0.0,3.35,2125.44,0.46,21.51,-0.01,425.27,0.8,0.0,0.21,1.17,0.0,-0.33,1.57,0.0,68.51,1005.93,1.0,0.75,4.52,4.76,2.28,1.44,0.0,282.68,0.75,2.56,0.39,0.0,85.3,0.1,-0.9,0.0,0.16,1.93,14.3,11.54,0.23,2.17,15.5,4.56,0.7,0.34,0.03,0.0,0.15,2000.28,3.15,0.41,0.08,136.59,0.13,11.54,9.04,2.11,-0.15,0.86,2.2,0.45,0.35,0.44,26.17,13.74,-0.09,0.8,0.15,0.33,0.0,3.93,0.0,-0.15,19.23,0.1,0.06,59.8,0.26,0.0,0.0,-0.19,0.12,0.0,0.03,0.98,0.0,1.03,-0.93,3.03,0.14,-0.28,4.28,0.0,27.65,0.55,1.41,0.0,6.4,0.0,4.24,0.72,0.0,1.17,0.0,0.08,0.03,0.0,0.0,3.68,3.73,2.95,0.0,3.73,4.09,-0.03,0.0,-0.2,198.71,5.21,0.18,0.0,0.72,4.44,1.22,0.35,0.68,1.19,2.71,1.44,2.54,0.03,14.06,1.4,2.98,4.04,964.15,0.49,3.08,781.47,0.0,0.12,1.71,1.06,0.0,0.45,0.01,49.55,0.0,0.59,-0.52,0.44,3.58,0.12,-0.5,0.0,0.03,0.0,0.36,1.36,4.14,0.05,0.54,0.0,0.0,0.0,-0.08,5.57,524.71,0.63,0.0,0.0,0.0,0.0,0.85,2000.02,2.17,-0.07,0.45,0.12,-0.12,0.0,8.52,1.64,2.91,5.22,-0.11,1.7,1.62,5.56,-0.07,0.96,0.0,-0.44,729.65,0.5,0.0,5.27,1.48,0.0,0.18,0.0,0.78
t2,14.87,0.38,5.67,3.61,0.2,3.37,18.35,33.23,-0.47,3.03,481.67,1.22,4.18,376.37,432.82,16.93,0.0,3.56,5.4,814.33,-15.94,1.25,3.83,1.28,1.37,18.04,113.85,195.84,3.57,0.71,21.15,0.71,53.32,1.03,28.56,110.5,5.82,2.95,0.65,7.35,0.19,3.08,4344.91,6.36,13.73,141.03,3.63,0.0,50.99,131.43,0.23,2.06,0.14,2.54,0.36,17.87,11319.22,3.09,82.53,4.02,3529.34,3.07,0.0,0.13,11.3,0.55,0.88,13.01,0.0,546.96,4349.16,3.05,9.05,38.21,16.39,-0.23,8.42,0.0,2381.31,6.83,8.83,4.8,1.83,628.49,0.2,9.57,-0.66,-0.25,10.08,46.28,112.42,15.16,27.14,205.55,14.44,0.16,4.44,0.85,0.79,19.22,12465.83,6.58,23.28,-0.92,770.2,1.2,86.46,91.04,36.18,1.17,48.81,18.28,5.94,0.01,9.25,176.97,60.73,1.88,2.08,3.43,11.42,1.3,40.45,0.0,5.97,302.66,6.41,7.88,481.44,7.2,0.0,0.05,8.31,0.42,0.0,-0.09,9.85,0.0,8.81,-1.55,30.7,1.31,0.63,26.36,9.3,210.91,9.86,10.11,1.3,22.42,0.0,26.55,0.74,0.64,49.36,0.07,16.15,0.47,0.05,0.32,23.6,6.33,13.6,0.0,11.23,41.04,-0.4,1.34,13.16,1336.28,36.07,4.87,0.0,17.39,63.54,6.31,1.69,21.53,3.24,8.42,13.47,12.69,0.23,192.45,8.61,5.88,35.15,885.24,2.17,16.41,1079.14,0.0,0.88,2.12,15.85,0.03,-0.37,6.29,383.2,0.12,10.51,2.0,2.1,53.26,2.77,3.93,0.9,0.53,0.1,1.32,12.78,22.28,3.6,8.54,0.09,0.0,0.22,0.55,15.23,4474.87,15.85,0.0,-0.42,0.0,3.47,4.38,7771.07,10.42,2.58,3.08,2.92,-0.95,2.42,58.33,5.73,79.69,115.38,5.65,5.19,10.03,22.19,4.02,4.3,0.07,12.73,3799.55,8.23,1.78,107.48,15.54,0.0,4.67,0.05,15.73
t3,60.32,4.08,42.97,8.27,1.51,1.74,55.86,122.81,1.72,18.22,429.44,0.07,29.53,1528.73,1664.2,39.05,0.55,29.36,15.36,2092.22,-14.86,3.31,4.31,4.14,4.58,82.02,152.95,241.68,11.65,7.87,204.29,9.12,8.12,13.3,42.84,262.07,52.26,6.15,17.89,1.26,0.51,5.42,7207.43,0.02,32.98,333.32,5.61,2.13,180.26,666.14,1.02,0.68,1.17,5.45,4.98,31.32,15241.33,9.16,103.7,11.69,6041.94,9.85,0.18,7.44,8.73,13.29,8.79,43.96,0.22,1011.01,2024.64,23.15,31.56,108.3,51.48,4.78,15.71,0.0,4748.14,11.04,45.14,13.88,0.39,1513.75,0.19,10.15,-0.55,3.69,47.49,73.9,340.2,84.12,123.15,598.1,75.04,2.57,14.95,11.0,1.93,103.52,21573.58,19.93,35.31,6.95,743.05,2.56,219.89,548.38,97.57,12.75,140.04,89.17,25.65,3.56,9.95,395.26,52.45,0.21,25.2,16.57,25.36,5.26,172.03,0.09,15.73,966.46,37.42,27.15,801.69,27.1,-0.22,0.0,13.81,0.32,0.0,5.09,15.25,-0.09,33.48,19.19,65.05,1.67,8.87,66.89,30.09,474.73,35.62,12.26,4.86,34.91,1.0,101.57,2.26,0.22,255.43,0.39,58.88,5.23,5.54,6.59,82.66,26.42,74.01,0.26,44.61,92.08,-0.34,1.76,61.48,2824.93,99.74,11.96,0.3,39.29,188.68,22.95,9.1,96.11,13.39,5.15,90.2,73.87,1.08,669.77,33.04,6.29,84.26,135.18,11.46,47.91,219.67,0.2,2.5,8.81,33.21,-0.07,2.74,74.93,643.14,0.18,40.37,7.06,7.21,133.57,22.97,8.53,0.0,1.92,0.87,13.47,13.24,139.67,36.04,27.05,4.84,1.02,6.79,0.37,26.24,11526.11,90.96,0.03,0.99,0.21,21.9,9.56,5380.08,30.46,21.5,40.48,4.32,43.52,17.2,182.5,27.67,227.01,234.3,19.85,27.36,76.37,117.82,5.54,25.36,-0.65,40.19,3234.53,78.35,2.04,326.36,40.78,-0.57,18.89,2.45,47.15
t4,144.86,10.91,108.91,21.01,11.23,0.0,120.3,117.21,9.25,37.92,172.76,2.07,67.59,1776.17,4149.33,21.9,0.34,38.94,52.92,1670.23,635.02,4.58,1.37,8.08,25.95,101.26,98.5,72.58,19.75,18.27,866.8,21.87,4.35,48.89,16.62,174.3,97.02,13.66,24.54,4.3,1.12,4.51,3330.71,4.37,67.52,386.79,11.32,0.05,133.37,637.12,0.08,2.58,0.9,10.24,4.51,51.04,8329.97,11.32,45.75,21.82,2915.08,24.31,0.42,56.14,-0.5,15.43,27.65,182.93,0.9,581.06,492.85,80.79,61.04,137.2,59.16,10.3,10.22,0.44,2871.47,25.6,62.12,37.93,11.43,1231.91,1.65,7.46,2.84,5.02,52.21,49.78,345.57,200.04,163.02,618.23,120.47,0.63,25.48,29.1,7.65,239.37,15463.81,85.39,38.2,10.38,249.7,0.86,226.72,2225.33,118.22,40.27,213.54,102.14,56.9,20.37,7.33,326.65,32.61,-0.3,49.48,28.81,86.86,9.64,493.01,1.35,55.56,834.1,66.03,58.26,375.83,55.69,0.32,0.06,34.13,0.5,0.0,0.91,63.3,1.66,71.93,17.2,96.53,27.53,28.85,65.53,50.99,364.6,74.09,6.04,15.78,30.65,0.1,518.37,5.66,3.46,564.94,0.1,74.85,7.54,11.06,4.18,123.32,147.61,192.86,0.06,133.67,80.82,11.59,15.41,56.94,2158.05,100.58,26.02,0.53,66.08,179.94,37.64,26.81,259.16,27.66,0.16,233.09,104.79,39.03,632.16,43.36,10.28,121.34,27.67,22.5,27.49,36.31,0.39,0.27,17.4,39.74,11.4,0.83,133.94,289.93,3.47,110.71,11.76,14.43,123.2,68.25,12.95,1.06,18.96,0.2,35.48,5.33,348.73,29.46,197.71,15.31,9.23,1.4,4.03,11.57,8780.71,189.97,-0.04,8.03,4.23,59.77,27.33,1714.53,60.73,51.79,79.71,8.07,87.11,48.47,173.55,93.57,311.83,122.38,26.68,81.03,424.05,205.47,5.2,110.68,2.2,77.18,930.79,199.85,7.12,241.97,66.96,8.71,28.51,1.48,58.28
t5,165.72,30.52,209.43,32.82,20.34,0.0,161.0,55.76,45.62,52.6,40.22,2.24,104.39,777.11,5469.38,6.41,2.13,40.41,93.61,606.05,174.81,3.54,0.17,30.94,20.15,45.64,46.49,12.2,30.22,50.35,1683.47,33.25,0.38,42.8,4.72,55.8,126.01,14.23,46.48,17.15,0.15,17.56,932.57,0.1,34.66,336.3,23.32,0.31,55.6,217.88,0.0,6.94,0.1,6.47,2.15,12.03,2566.14,18.42,10.97,2.96,773.86,44.15,2.66,49.76,0.17,28.83,23.35,400.96,6.01,174.65,130.35,107.57,57.86,58.26,24.96,10.74,15.58,0.02,911.18,18.5,49.66,98.38,64.2,491.36,14.73,5.73,4.29,6.37,14.35,21.65,196.56,388.88,69.81,368.21,100.4,-1.89,14.99,14.64,4.98,218.24,6008.37,255.77,15.04,2.55,56.96,3.9,132.76,3608.97,71.23,90.82,115.48,69.45,49.01,49.93,-0.21,98.14,34.34,-0.41,27.2,31.63,138.36,1.09,695.31,5.88,156.79,296.07,87.05,50.25,130.49,113.68,2.32,0.02,31.37,0.74,0.0,0.79,108.81,8.79,108.29,33.88,47.83,23.74,30.15,26.21,36.07,168.71,72.8,0.99,30.51,17.61,-0.36,837.84,21.96,2.38,626.14,0.34,37.67,31.3,37.52,6.01,100.44,178.15,166.21,0.0,351.45,18.65,17.69,27.68,33.26,753.21,38.25,41.46,0.23,173.49,92.42,24.07,31.77,549.55,43.13,1.29,338.82,60.12,48.88,233.19,25.44,20.58,99.88,6.91,6.4,15.34,13.62,0.93,3.22,24.01,39.59,7.88,-0.35,30.13,73.75,0.89,213.13,16.38,17.81,42.5,197.73,7.68,0.82,20.78,1.88,51.48,3.16,465.44,16.45,294.6,17.09,3.22,-0.28,2.39,5.44,2908.55,290.59,-0.35,30.79,1.49,125.08,49.81,438.98,35.59,71.34,137.51,9.62,58.34,87.87,94.19,188.97,153.58,44.63,31.1,64.12,1278.63,105.46,3.12,205.0,2.89,100.07,192.23,228.63,10.11,98.99,59.01,28.16,31.22,61.46,18.74
t6,111.21,55.7,248.01,52.78,36.68,0.0,142.83,18.55,24.49,45.83,5.79,4.79,92.39,223.01,3922.24,4.76,0.39,13.68,100.0,135.14,36.64,2.54,1.2,17.15,27.13,14.4,13.34,2.95,48.55,21.97,1185.49,42.57,0.18,65.42,-0.6,22.27,138.43,16.08,32.31,5.67,0.01,2.27,219.64,0.02,7.3,183.34,37.09,9.03,15.64,62.9,0.3,22.41,-0.09,7.25,1.91,6.86,600.62,25.89,1.15,1.06,152.09,33.3,0.78,24.16,0.95,48.54,10.42,592.63,1.15,37.93,20.82,42.52,28.5,19.87,19.0,8.35,11.31,-1.14,206.14,30.83,32.93,36.35,104.79,170.12,26.96,8.44,4.73,19.64,13.01,14.15,59.6,358.95,9.75,204.85,66.47,-2.35,5.42,9.86,1.7,113.22,1821.49,228.83,2.68,11.36,17.97,16.11,76.64,2019.0,31.88,66.45,36.09,44.89,33.94,73.36,0.4,28.51,13.66,1.88,11.49,24.83,97.99,0.82,630.58,17.17,133.29,53.48,65.44,45.21,32.87,86.99,-0.04,0.45,33.2,1.47,0.1,4.25,98.34,0.97,89.28,29.19,16.6,7.82,27.5,2.49,9.06,55.97,22.59,1.99,17.86,3.78,0.0,565.51,22.6,1.96,287.42,1.88,6.94,25.25,24.69,2.98,35.71,88.88,103.68,0.92,445.98,5.8,8.93,40.31,12.54,199.4,14.96,57.2,-0.42,141.82,13.54,27.45,33.82,706.31,19.48,0.0,264.05,27.71,79.34,44.72,-0.45,17.1,57.1,4.55,10.78,5.11,3.91,-0.67,-0.29,15.22,42.88,19.7,1.6,6.85,13.6,2.6,167.0,8.58,17.87,10.19,202.73,5.64,-0.29,38.19,12.91,84.69,5.65,361.64,4.48,129.1,10.85,0.51,0.05,5.36,4.04,675.9,271.05,0.01,46.65,2.23,127.32,97.32,133.29,16.69,36.34,109.58,4.05,48.3,122.82,36.07,181.92,43.65,17.01,16.7,26.04,977.09,27.03,1.69,276.52,22.38,47.3,42.47,124.86,20.59,13.27,42.17,41.77,10.57,69.36,11.03
t7,55.61,35.15,151.24,38.62,15.73,0.0,68.5,2.27,5.04,18.57,2.18,1.42,71.83,52.23,1765.48,6.95,0.08,8.16,135.19,42.5,5.73,3.63,-0.03,9.67,28.19,0.84,2.37,3.34,29.17,26.28,412.15,23.13,-0.04,49.56,-0.22,4.21,83.37,7.88,13.24,0.35,1.18,4.37,52.04,0.13,3.19,68.29,12.72,16.18,6.06,7.75,-0.07,13.6,3.38,7.21,2.67,0.36,119.75,47.47,1.21,1.21,39.1,25.57,0.98,9.05,2.29,27.34,3.87,339.68,1.72,7.44,9.55,32.54,4.8,3.18,10.61,2.18,5.92,0.57,45.9,12.68,14.21,9.89,43.43,35.88,26.31,2.72,1.26,15.67,8.76,7.67,13.53,193.33,4.77,83.2,19.22,1.58,0.69,-0.18,0.46,49.43,539.75,98.66,2.44,2.26,9.39,7.99,25.4,561.31,4.77,20.71,11.06,15.76,24.78,71.09,0.0,11.52,0.75,2.75,1.75,24.86,59.0,-0.17,307.46,14.23,76.89,20.12,34.81,18.62,6.54,40.95,-0.26,0.06,33.0,1.66,0.03,7.77,30.42,0.35,43.57,11.07,0.15,5.01,14.17,1.76,3.82,7.22,9.54,1.18,21.43,0.82,0.0,201.9,3.14,0.55,89.43,1.57,-0.32,14.59,1.05,2.25,11.32,24.87,35.38,1.73,348.13,1.59,3.04,27.31,6.97,73.92,-0.67,25.81,-0.08,45.9,4.16,16.6,32.23,706.6,6.34,0.0,117.03,13.39,26.65,11.12,1.25,22.62,36.92,2.82,5.89,2.11,-0.28,20.86,0.13,10.33,11.62,17.26,0.32,0.16,2.32,5.94,93.84,4.78,13.15,0.98,179.17,2.67,4.61,41.78,4.87,39.22,1.35,272.11,4.09,50.58,15.07,-1.21,0.0,18.3,1.46,161.94,115.06,-0.86,48.65,3.82,54.45,126.58,43.89,4.46,14.03,56.63,5.79,7.95,79.23,16.77,178.11,15.1,2.38,8.8,10.82,339.41,8.59,0.01,223.23,15.52,12.7,6.81,31.77,12.93,3.99,23.99,20.82,4.41,24.76,2.15
t8,34.42,13.19,52.4,15.46,8.85,0.0,12.84,2.97,0.93,8.76,0.11,0.22,35.94,11.42,548.08,5.61,0.0,4.73,85.53,13.71,1.87,5.23,0.15,0.63,19.04,0.91,0.55,1.47,13.0,5.95,99.38,15.96,0.0,22.95,-0.24,4.85,16.83,4.67,11.29,0.12,2.37,6.85,5.82,0.0,1.87,29.25,-0.28,14.16,-0.15,0.47,0.05,6.34,4.21,3.91,1.52,0.06,47.25,24.83,0.4,0.19,6.72,26.81,-0.15,2.24,0.05,5.77,2.67,107.78,0.68,2.31,1.85,4.4,3.71,1.93,6.66,1.77,0.47,0.13,9.36,1.75,9.63,8.1,2.37,12.27,6.24,3.8,0.29,8.97,7.72,2.59,2.47,67.71,2.0,23.24,3.3,0.42,0.0,-0.19,0.88,20.08,158.09,57.35,0.03,0.02,1.69,3.38,12.85,150.81,2.67,3.84,-0.36,0.16,12.61,40.64,0.0,3.57,1.0,-0.07,0.24,11.56,11.5,-0.12,141.23,11.81,31.3,1.4,11.63,7.21,1.87,18.78,0.0,0.0,14.77,0.0,0.0,1.36,10.48,-0.06,23.5,5.28,0.0,3.94,5.8,0.0,0.64,4.92,8.21,0.41,10.35,-0.21,0.0,44.22,5.46,1.18,35.12,0.09,-0.18,4.92,3.81,0.24,3.01,11.27,11.83,0.9,177.6,4.85,1.75,23.05,0.4,18.65,0.0,13.34,0.0,16.13,1.14,2.75,7.64,393.4,4.02,0.0,48.52,0.15,11.22,2.1,-0.43,9.93,3.82,0.38,0.58,1.17,0.91,15.26,0.01,7.48,2.48,10.19,0.62,0.14,0.82,7.28,24.62,1.12,5.03,0.55,73.79,1.09,12.28,12.85,3.04,24.45,0.0,100.7,1.2,5.56,3.55,1.01,-0.03,1.47,1.36,46.82,56.02,2.78,11.98,-0.3,21.83,203.01,9.68,5.58,5.24,29.49,0.84,4.72,59.44,9.81,72.18,0.56,0.1,7.11,3.25,104.33,1.29,0.0,126.85,10.44,2.9,5.62,15.7,-1.25,2.25,12.77,5.51,-0.12,11.56,0.86
t9,20.4,5.05,20.24,13.49,2.43,0.0,2.28,1.69,0.0,2.33,-0.26,0.0,12.1,11.48,230.58,3.66,0.0,0.0,73.1,0.82,-0.45,1.33,0.0,2.02,7.54,0.5,0.0,0.79,2.83,3.56,7.85,2.67,0.0,7.24,0.0,0.73,7.84,0.19,3.63,0.0,5.32,1.42,7.55,0.0,1.61,12.0,1.64,6.89,0.0,0.2,0.18,1.12,3.46,7.56,2.39,0.06,15.71,2.8,0.03,0.0,1.52,10.75,0.0,0.0,0.0,-0.76,0.29,37.93,0.0,0.36,0.0,3.8,-0.21,3.76,5.9,1.05,0.0,-0.06,5.93,2.19,3.75,4.29,1.43,3.76,1.31,2.17,0.53,1.57,-0.22,0.78,0.27,25.04,0.0,6.04,2.14,0.0,0.3,2.05,0.36,4.47,64.81,22.28,0.0,0.0,0.81,5.49,2.86,20.22,0.0,0.39,0.21,3.79,5.67,13.9,0.0,0.0,0.55,0.95,0.0,1.35,6.53,0.0,63.97,3.63,14.28,0.94,5.69,3.3,0.91,5.17,0.0,0.0,11.85,0.0,0.0,1.13,1.31,0.0,14.14,3.7,0.0,0.18,2.18,0.0,2.32,1.49,3.63,0.0,10.15,-0.16,0.0,16.89,1.5,0.1,7.53,-0.02,0.0,2.28,0.71,0.0,0.21,0.82,1.48,0.0,43.59,4.44,0.0,9.33,-0.5,3.25,0.0,1.57,0.0,5.22,1.59,0.59,3.55,161.57,7.15,0.0,13.76,0.0,8.16,1.72,0.0,4.19,0.96,0.0,0.0,0.5,-0.27,17.13,0.43,6.41,0.3,4.07,0.0,0.0,0.0,8.44,10.31,1.2,3.45,1.44,34.28,0.34,0.58,2.2,6.76,6.35,0.0,38.97,0.0,2.22,0.57,-0.45,0.0,0.0,0.0,17.6,26.74,0.98,3.39,2.26,7.54,125.8,7.45,1.31,9.83,10.43,0.02,4.6,38.1,0.79,33.35,1.82,0.09,4.0,0.52,15.86,0.1,0.85,59.76,6.02,-0.24,5.03,2.13,3.64,-0.64,3.15,-0.28,2.8,6.82,0.0
t10,8.78,5.01,5.39,12.68,2.42,0.01,1.46,0.0,0.0,0.85,0.0,0.0,6.42,1.55,85.62,1.9,-0.03,0.0,44.49,1.09,-0.66,7.37,0.0,1.52,10.37,0.73,0.0,0.0,3.86,2.44,1.3,0.0,0.0,8.8,0.0,0.14,2.62,0.0,0.28,0.0,2.69,0.24,-0.11,0.0,0.05,8.08,-0.03,12.59,0.0,0.0,0.0,0.42,-0.36,0.48,1.73,0.0,9.36,1.9,0.0,0.0,3.31,4.22,0.0,0.0,0.0,0.15,2.34,16.05,0.0,0.0,0.0,0.25,0.05,0.0,-0.15,0.1,0.0,0.03,3.63,-0.23,0.08,-0.03,0.0,0.15,0.0,0.31,0.47,0.06,-0.27,1.51,-0.06,4.84,0.15,6.4,0.13,0.0,0.0,0.11,0.2,0.98,16.38,6.89,0.0,0.0,0.2,2.34,0.53,2.38,0.52,-0.27,0.0,0.0,4.61,6.96,0.0,0.78,0.0,0.29,0.0,2.13,1.28,0.09,24.71,0.38,7.41,-0.45,-0.08,1.94,0.0,6.2,0.0,0.0,9.34,0.0,0.0,-0.05,0.0,0.0,11.28,0.23,0.0,0.0,0.12,-0.07,0.22,0.33,0.08,-0.12,3.31,0.0,0.0,3.38,0.23,2.24,2.72,0.27,0.0,0.28,0.0,0.0,0.0,0.04,0.39,0.2,9.08,1.38,0.05,6.41,-0.3,0.26,0.0,0.27,0.0,1.43,-0.87,0.14,3.32,92.26,2.02,0.0,4.47,0.1,1.93,0.24,0.0,5.92,0.05,0.0,1.53,0.0,0.0,3.67,0.0,5.05,-0.05,0.61,0.0,0.0,0.15,3.34,2.22,0.0,-0.1,0.0,11.62,0.0,1.3,1.62,0.26,0.72,0.0,6.43,-0.15,-1.04,0.62,1.36,0.0,0.17,0.0,9.37,22.64,0.21,0.75,0.56,0.0,76.99,2.53,0.33,2.49,5.86,-0.44,1.45,25.61,0.19,17.22,0.0,0.0,3.91,0.22,0.41,0.0,1.62,19.57,1.88,0.0,7.15,5.28,6.69,0.0,0.09,0.0,3.04,-1.13,0.03
