t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,1.76,0.22,0.55,0.11,-0.36,1.78,4.9,4.01,0.14,0.32,91.19,0.0,0.62,31.38,26.97,1.43,0.0,2.43,-0.59,89.57,-0.71,0.56,2.17,0.13,-0.11,0.53,25.87,21.27,1.57,0.51,1.68,0.0,20.08,0.66,4.61,20.57,-0.08,1.34,0.05,0.0,0.0,0.0,608.31,0.21,0.65,11.15,0.59,0.0,3.52,10.42,0.0,0.0,0.25,0.0,0.0,0.91,2080.32,0.0,13.26,-0.09,418.56,0.0,0.0,0.72,2.63,0.22,0.39,-0.92,0.0,47.42,1002.53,2.27,2.6,4.51,0.97,-0.09,-0.19,0.0,285.06,0.0,-0.01,-0.07,-0.61,77.61,0.0,2.72,0.0,0.0,-0.6,16.87,7.12,-0.17,5.33,14.08,5.73,-0.22,0.0,0.23,0.51,0.94,2087.91,3.18,1.64,0.15,126.97,0.77,11.63,4.31,2.88,0.4,2.14,-0.42,0.18,0.17,0.28,27.08,19.28,0.0,0.42,-0.06,0.21,0.1,6.67,0.0,0.68,21.04,0.0,1.88,56.58,0.62,0.0,0.0,0.22,0.16,0.0,0.09,3.23,0.0,0.39,0.24,-0.06,-0.12,1.3,2.96,1.36,32.99,0.99,0.06,0.0,3.81,0.0,7.23,0.0,0.0,6.58,0.0,0.51,0.11,0.0,0.71,2.13,-1.92,0.17,0.0,3.16,9.37,0.0,0.0,0.46,168.43,4.45,0.05,0.0,0.37,3.38,0.15,0.0,5.44,1.0,4.34,2.0,1.03,0.0,8.28,1.06,0.23,3.43,904.75,1.64,-0.26,757.42,0.0,0.0,0.02,-0.29,0.0,0.26,0.56,57.53,0.0,1.58,-0.3,0.42,0.92,1.46,0.25,0.0,0.0,0.47,0.0,0.32,4.02,-0.55,-0.07,1.5,0.0,0.0,0.01,5.55,529.11,-1.01,0.0,0.0,0.2,2.09,0.73,2230.54,0.02,-0.13,0.06,0.0,0.25,0.85,8.06,1.5,4.86,4.46,-0.06,-0.27,1.1,0.73,-0.27,-0.05,0.45,0.0,766.4,-0.14,0.0,7.07,1.7,-0.12,0.05,0.0,-0.34
t2,11.54,0.72,12.31,2.01,0.18,7.32,10.97,45.33,4.8,6.98,498.9,-0.03,4.63,356.44,332.06,15.92,0.0,18.3,3.2,802.79,-34.04,2.24,1.15,-0.1,7.92,6.23,99.3,263.01,8.48,6.73,39.49,3.95,32.43,-0.04,34.88,126.0,12.69,3.52,-0.01,-0.27,0.0,1.42,4463.5,0.11,12.87,120.82,2.75,0.0,60.86,93.54,1.01,0.0,0.0,3.09,4.62,17.67,11534.44,-0.42,71.76,2.83,3469.74,6.42,0.0,0.69,3.06,0.45,1.75,10.11,0.0,582.07,4232.07,10.13,17.15,51.89,17.86,1.45,1.34,0.0,2358.1,0.79,5.35,2.3,9.02,628.14,0.32,4.31,0.0,2.54,40.91,40.48,110.54,16.94,23.7,207.43,41.08,3.65,2.96,1.59,-0.15,10.4,12396.98,11.77,16.63,0.1,855.47,0.82,103.09,81.21,39.04,5.88,36.21,22.53,5.95,11.69,8.64,204.46,86.72,0.0,3.13,1.27,9.2,2.46,68.91,0.0,3.48,316.62,0.35,6.14,454.27,4.56,0.0,0.0,2.49,1.37,0.02,0.03,4.65,-0.03,14.02,1.74,23.71,0.51,4.43,42.13,6.97,235.22,5.13,0.19,0.18,18.84,0.0,34.62,3.16,0.43,44.75,0.0,4.89,1.81,-0.04,0.08,44.42,1.92,2.43,0.0,21.1,52.43,1.5,0.81,9.02,1261.61,29.73,10.71,0.27,0.54,66.9,3.58,0.33,55.27,1.45,9.52,9.71,29.45,4.49,213.46,10.78,3.15,31.49,933.97,2.67,16.02,1129.86,0.0,0.27,2.27,5.58,0.18,0.99,4.36,424.48,0.17,13.37,3.66,0.5,47.38,4.43,2.6,0.05,-0.17,-0.2,-0.4,1.54,33.75,12.65,1.63,0.42,0.0,0.24,0.0,23.0,4594.43,7.62,0.21,-0.13,0.0,3.03,1.5,7904.44,4.34,6.12,5.95,0.0,1.73,3.9,85.7,18.3,50.85,80.1,0.0,7.1,12.26,16.68,2.42,9.16,-0.09,1.66,4065.74,19.74,0.0,117.42,28.92,0.16,0.39,0.0,14.52
t3,51.13,3.22,32.4,2.73,3.1,6.54,39.2,131.07,11.71,9.75,523.59,-0.03,35.15,1299.72,1395.81,19.95,-0.42,31.5,13.25,2035.28,-99.28,0.02,1.16,0.56,28.44,43.06,170.05,204.93,31.46,5.42,152.8,6.87,30.56,4.06,51.5,229.5,53.45,11.28,0.96,1.54,0.0,2.93,7117.96,1.47,42.1,346.2,11.69,0.82,112.95,502.07,1.59,-1.16,-0.18,10.33,5.02,36.24,15156.69,4.32,78.57,23.81,5858.87,13.57,1.48,4.37,5.2,6.8,2.4,39.62,-0.03,1042.76,2020.11,27.66,49.05,135.47,51.34,4.65,18.86,0.0,4651.61,5.26,16.07,13.92,30.48,1551.51,6.07,10.73,0.0,4.56,76.64,50.07,332.05,68.64,120.8,553.67,111.03,6.08,13.38,4.75,0.15,46.77,20869.0,27.8,40.36,1.66,892.53,2.21,232.06,480.15,91.89,12.07,144.52,77.24,34.85,15.49,18.74,407.73,39.1,-0.18,20.93,11.01,28.98,0.4,196.85,1.28,9.04,1111.88,3.1,15.03,768.54,21.38,0.0,0.0,6.73,0.01,3.84,0.73,20.92,-0.16,50.55,14.28,87.15,0.11,9.48,67.57,15.0,473.53,23.21,7.16,3.57,30.93,0.0,241.2,5.72,0.08,238.84,-0.3,32.04,12.81,-0.26,0.35,101.81,45.32,37.81,0.0,40.46,77.75,2.27,-0.01,48.82,2874.89,88.51,16.4,0.0,3.47,190.65,8.67,1.4,136.28,10.2,-0.43,44.42,100.58,6.94,668.85,22.4,7.43,116.35,117.51,2.25,42.07,217.47,-0.12,0.12,6.67,15.94,1.17,5.03,34.81,687.68,0.88,54.13,4.19,1.87,124.02,29.44,2.88,0.8,5.11,1.34,18.21,18.2,142.55,26.66,37.09,2.54,0.0,0.11,0.0,30.36,11198.88,34.12,1.67,3.25,-0.06,26.74,15.9,5485.87,28.45,16.92,35.45,1.08,15.81,8.87,212.56,72.13,218.67,248.42,1.93,32.29,115.69,86.78,11.71,38.87,0.37,20.07,3171.86,68.74,0.2,354.33,56.84,2.01,6.47,2.29,65.41
t4,125.75,12.31,102.37,13.03,5.17,-0.24,104.25,94.15,25.25,38.88,165.27,0.54,63.67,1859.48,3960.3,17.69,0.27,45.23,43.53,1807.57,653.89,6.29,1.77,12.39,23.26,81.94,92.3,88.82,78.35,11.97,594.57,32.62,3.39,30.85,15.45,130.25,92.1,17.38,12.49,2.31,0.77,12.48,3479.08,0.54,73.99,382.49,19.69,3.56,115.33,727.85,4.28,5.18,0.3,37.45,4.48,40.06,8325.95,32.47,54.15,33.88,2942.91,13.72,2.52,33.65,4.52,25.04,7.04,143.35,-0.09,575.86,488.06,81.15,67.74,110.2,42.17,12.74,23.77,0.0,2848.37,23.85,58.01,34.34,75.63,1322.86,16.78,9.0,0.15,12.8,71.86,31.19,390.18,251.53,199.67,603.56,112.97,16.76,23.53,3.5,1.15,136.37,15359.4,123.72,47.36,7.14,208.05,1.9,224.98,2174.29,176.27,43.87,167.31,132.57,52.9,22.78,10.05,310.62,26.81,0.77,39.9,29.64,61.01,-0.02,435.91,8.68,77.46,837.62,15.57,38.18,428.39,68.73,1.17,0.24,16.6,-0.18,1.84,1.3,72.09,0.09,115.72,45.57,114.33,13.94,28.38,46.77,48.82,358.11,66.13,12.05,7.64,29.31,0.0,639.0,5.64,6.5,566.98,0.37,78.36,20.39,-0.46,2.48,85.77,110.75,107.8,0.92,154.36,50.47,4.56,3.3,54.46,2312.82,80.25,17.89,1.94,77.6,173.69,32.39,4.47,322.27,30.76,0.23,142.92,133.71,30.69,649.64,27.78,24.91,112.01,20.14,11.5,38.9,38.27,4.01,3.91,16.5,25.35,5.65,2.74,70.74,275.81,9.38,128.95,14.62,14.29,108.76,113.57,11.64,6.53,6.38,1.08,74.54,17.59,316.61,31.25,168.6,15.6,0.09,0.03,0.15,12.51,8504.73,99.07,1.68,10.4,0.91,77.26,48.61,1726.37,43.15,41.08,93.0,3.17,37.84,44.98,168.3,157.51,297.57,159.25,3.4,89.38,656.86,156.55,11.71,67.43,2.11,73.56,988.79,192.65,6.88,309.92,66.15,11.64,7.77,13.62,44.31
t5,216.13,50.26,189.06,29.59,23.66,0.42,193.45,54.99,15.72,63.51,31.7,-0.15,130.69,890.9,5821.89,11.35,3.0,39.3,83.45,702.24,323.88,10.56,1.64,24.69,41.15,54.63,43.61,8.2,68.12,29.78,1321.56,57.53,0.94,31.73,7.04,43.4,123.81,16.17,30.01,3.97,1.75,4.45,868.08,10.04,57.58,288.71,19.31,4.92,48.03,274.62,1.28,6.98,0.27,33.12,6.63,29.75,2507.42,40.84,5.14,9.96,743.55,30.1,1.0,28.23,0.64,49.34,11.93,391.82,0.03,162.82,67.73,79.66,54.74,44.41,37.98,7.24,5.9,0.84,863.07,58.51,71.64,58.26,54.73,520.53,41.91,9.23,0.66,20.72,35.6,17.01,223.91,362.12,89.41,374.73,67.9,8.14,3.78,12.03,0.61,249.02,6004.39,219.73,19.42,15.36,53.97,9.54,133.61,3894.96,102.94,106.37,86.36,90.58,64.8,43.44,3.88,91.39,16.76,-0.66,23.9,62.62,119.85,0.9,575.76,12.2,143.66,242.81,43.19,55.85,126.2,102.12,3.08,0.03,27.07,-0.51,0.17,2.64,149.51,0.87,88.58,22.11,45.39,26.86,38.9,23.94,34.84,117.42,77.02,3.32,19.12,29.68,0.0,808.43,13.66,10.73,559.53,0.85,56.91,23.37,2.22,-1.34,103.77,234.74,197.98,6.72,289.85,16.72,2.39,7.42,32.69,885.71,30.67,49.07,-0.15,134.69,61.85,34.43,27.06,637.14,44.58,2.01,263.62,58.63,67.38,235.32,8.88,38.48,103.06,12.26,20.18,13.8,9.02,8.09,6.57,9.91,53.07,12.7,1.76,56.7,91.22,7.78,183.57,13.09,16.47,58.88,214.29,10.76,5.47,12.65,10.01,60.76,9.63,493.84,27.94,362.53,11.63,1.38,0.29,1.52,6.87,2963.07,172.32,1.84,49.26,1.39,125.99,73.87,415.2,47.29,52.57,186.67,1.49,50.24,118.07,86.57,244.76,188.01,55.67,3.61,77.11,1363.52,90.5,1.0,233.45,2.01,81.61,201.48,207.55,14.14,108.56,82.99,20.31,15.05,60.85,28.28
t6,168.45,48.54,191.64,26.26,16.11,-0.66,169.79,16.63,2.37,56.5,3.84,3.32,101.41,283.58,4201.48,3.4,1.12,19.1,149.19,206.37,33.96,8.9,-0.42,10.83,55.48,13.86,9.81,3.93,42.43,34.47,1393.18,63.08,0.14,54.55,0.99,13.57,114.68,5.77,37.88,5.21,6.05,8.51,178.38,7.19,24.68,145.61,10.98,6.25,21.49,69.22,0.2,9.82,8.17,7.39,1.08,4.3,636.2,44.68,2.42,9.32,172.32,38.08,-0.15,31.69,-0.06,44.75,31.28,537.43,0.06,46.84,14.54,30.37,33.6,18.14,24.48,4.59,4.58,-0.2,224.81,41.57,32.79,53.86,44.07,129.14,16.6,2.94,3.79,19.46,10.59,4.11,82.12,296.34,22.56,163.33,43.86,0.15,1.49,7.13,0.78,202.05,1839.13,206.63,5.11,7.86,21.02,4.37,62.56,2147.12,27.28,64.38,30.37,34.7,19.7,46.01,2.29,42.25,10.97,2.41,9.41,38.49,81.2,1.73,607.55,25.43,125.07,84.55,86.36,37.46,54.95,90.22,-0.15,0.55,29.64,0.0,0.21,4.55,94.81,0.94,47.56,16.44,13.55,16.93,19.56,3.6,22.6,29.66,45.26,4.91,40.75,6.4,0.0,457.42,14.32,7.78,259.29,1.05,19.92,33.65,13.37,4.82,39.38,125.22,143.41,0.96,392.13,16.75,1.1,23.9,15.24,250.96,0.01,45.19,1.11,125.45,26.51,50.36,41.88,902.58,14.83,0.0,237.04,18.15,84.72,58.52,17.47,57.03,58.81,4.83,10.31,2.87,3.23,6.34,8.03,6.25,47.75,14.93,0.37,16.79,19.62,18.95,203.57,16.89,17.93,14.92,231.58,9.68,7.0,27.37,14.2,56.19,4.09,378.4,7.67,155.61,31.21,7.26,1.3,1.67,-0.12,750.61,324.2,0.07,40.35,2.38,95.84,163.75,97.23,16.99,70.74,140.26,3.58,74.64,127.43,36.93,195.18,52.08,7.02,38.51,36.69,859.98,56.86,6.96,276.96,4.19,62.75,45.0,114.81,24.79,27.68,63.24,20.2,32.55,67.99,5.17
t7,123.65,40.98,144.76,25.65,19.05,0.0,60.14,3.01,1.03,29.2,-0.54,10.11,62.48,61.03,1992.08,0.68,1.85,5.64,112.39,49.92,15.04,7.47,-0.08,8.13,33.85,3.22,1.71,3.96,19.08,28.64,598.37,19.83,-0.03,42.23,0.04,4.51,78.45,-0.35,23.46,4.14,4.49,3.75,50.65,0.5,8.68,73.16,6.04,5.44,2.33,18.08,0.27,11.29,5.04,3.04,0.0,1.21,145.23,31.07,0.53,2.4,44.24,21.82,0.0,10.36,0.0,13.25,10.41,321.62,0.0,18.0,9.08,15.9,5.51,6.1,15.15,5.13,0.06,-0.06,60.87,17.73,10.53,14.12,21.73,38.6,1.73,3.32,2.97,9.17,4.22,-0.21,26.51,123.68,4.42,93.49,10.09,0.0,0.02,5.86,6.67,72.1,495.05,83.15,2.51,8.34,5.25,1.27,29.73,692.43,15.3,17.39,8.46,21.72,15.41,49.86,-0.06,8.37,-0.38,2.14,2.28,14.62,57.75,0.29,386.78,11.76,60.05,18.98,74.49,19.42,3.04,37.48,-0.18,-0.13,12.25,0.09,0.0,1.28,20.25,1.63,17.5,19.85,11.11,6.47,21.7,0.82,7.75,6.75,21.55,0.14,28.28,1.39,0.0,170.94,6.92,4.91,103.12,0.04,7.48,11.31,14.13,1.88,14.58,29.15,48.61,1.68,312.75,3.81,0.39,25.02,12.48,52.49,0.8,12.41,0.53,46.19,11.67,25.25,22.08,657.62,11.84,0.0,147.47,10.39,58.01,15.57,13.21,19.63,28.57,1.53,3.92,0.97,1.91,15.01,2.55,5.88,34.49,10.42,0.21,4.89,6.01,33.37,92.58,5.75,11.75,7.69,139.3,9.19,13.4,62.26,7.42,30.49,2.21,202.38,1.26,55.29,10.7,2.2,3.02,3.43,0.0,170.37,287.28,0.65,23.53,0.74,55.44,163.28,24.93,4.69,36.65,55.25,3.85,31.21,58.65,24.45,81.9,9.65,0.26,32.89,19.35,208.92,29.91,0.37,197.57,16.08,33.26,8.83,51.89,19.21,0.51,42.26,15.86,14.39,34.29,5.28
t8,39.54,12.48,62.03,20.16,8.36,0.0,13.72,0.47,0.22,6.76,1.21,0.32,28.74,17.86,728.51,0.0,1.96,0.28,74.42,5.71,1.07,3.68,1.61,-0.34,26.72,0.0,2.16,0.39,7.45,20.43,142.41,2.62,0.3,26.08,0.03,5.59,34.98,4.16,17.56,7.5,5.5,6.35,5.7,0.0,0.3,29.95,7.29,5.08,1.02,5.25,0.0,6.14,1.24,3.07,0.0,0.0,30.55,13.53,0.0,0.48,10.82,9.98,0.65,3.55,0.0,4.9,17.13,116.81,0.0,0.93,1.06,5.44,3.57,0.9,2.46,1.99,0.0,-0.23,14.58,9.23,0.83,15.49,8.26,15.58,5.82,-0.57,6.54,1.49,1.93,0.15,14.89,61.33,2.97,45.12,0.72,0.0,0.93,14.82,10.3,32.9,137.79,24.32,1.19,5.22,2.38,2.13,11.11,175.43,0.03,13.17,1.04,6.34,17.68,65.84,0.0,7.21,0.0,1.49,0.93,9.54,25.03,2.53,168.76,15.93,33.53,7.13,31.93,6.62,1.77,11.52,0.0,-0.14,2.53,0.0,0.0,2.31,4.29,1.16,9.98,12.64,3.56,-1.32,9.65,0.0,2.29,0.59,9.47,-0.54,18.59,0.03,0.0,67.83,2.28,0.9,34.73,-0.31,0.31,5.19,4.92,1.84,6.69,13.28,18.92,1.71,157.64,0.2,0.0,14.21,2.0,16.3,0.0,6.16,0.0,6.18,1.59,9.93,14.03,352.71,-0.72,0.0,53.68,4.43,22.14,6.43,4.61,12.08,11.74,0.27,4.38,2.51,0.12,0.89,2.71,2.6,5.23,13.41,0.0,0.21,2.67,17.26,21.16,4.09,3.71,2.01,79.83,3.71,8.04,48.05,7.59,4.47,-0.03,100.93,0.0,9.06,1.59,2.85,1.8,19.79,0.0,38.76,127.85,0.0,12.9,1.57,18.63,123.33,16.9,7.58,13.84,23.19,5.34,15.47,29.27,6.99,33.24,4.5,0.85,13.42,1.84,82.97,4.89,0.0,103.67,6.61,1.97,9.46,14.09,10.96,3.11,15.48,8.7,5.74,16.71,2.18
t9,12.73,0.81,15.19,7.21,5.26,0.0,-0.97,0.81,1.31,4.6,0.16,0.72,8.86,6.19,208.27,0.0,0.23,0.95,37.11,2.64,0.3,1.16,0.01,3.43,7.65,0.0,2.95,0.0,4.73,4.4,30.66,-0.18,0.0,10.06,0.0,0.58,15.54,0.0,5.28,0.51,2.35,0.75,0.86,0.0,0.0,13.44,7.08,3.71,0.84,13.94,0.0,5.01,2.37,0.0,0.0,0.0,5.26,15.06,0.0,0.0,1.12,5.18,0.0,0.11,0.0,2.42,2.11,30.0,0.05,0.24,0.09,1.42,-0.36,0.9,0.1,0.87,0.0,-0.11,2.56,0.28,4.23,10.35,8.78,2.45,0.76,1.53,2.2,3.85,0.61,0.0,6.66,10.84,1.83,10.75,2.08,0.0,1.22,5.64,2.21,15.82,25.8,6.68,0.1,7.69,0.47,0.18,0.93,37.65,-0.06,7.71,1.56,5.51,2.31,24.26,0.0,3.23,0.0,0.35,1.51,8.11,4.76,1.96,99.78,1.81,10.75,7.24,13.09,1.52,0.18,3.02,0.0,0.0,1.78,0.0,0.0,2.03,1.54,-0.27,2.06,-0.48,1.26,0.8,3.88,0.05,10.22,2.0,0.37,0.09,3.57,0.09,0.0,9.84,0.85,1.55,5.04,-0.03,0.54,6.44,3.57,1.19,1.98,1.63,5.79,0.59,49.9,0.0,0.0,4.59,1.61,8.16,0.0,1.87,0.0,-0.16,0.41,5.67,16.29,133.59,-0.15,0.0,14.83,0.1,4.04,1.49,0.14,0.82,3.32,0.0,2.21,4.01,0.0,2.38,0.0,0.95,7.36,2.04,0.0,-0.36,0.07,2.58,14.46,0.53,-0.37,0.18,16.01,0.46,0.16,20.66,-0.09,-1.14,0.0,37.38,0.0,1.7,2.16,1.54,2.71,9.15,0.0,13.76,66.71,0.0,7.86,0.0,1.87,92.09,6.32,1.76,1.2,4.72,4.4,4.79,11.15,5.3,14.78,-0.24,0.0,2.76,1.75,19.41,0.92,0.0,47.19,7.11,0.08,2.63,3.15,2.57,0.11,9.55,2.18,11.58,1.71,0.25
t10,1.22,0.64,7.64,0.25,0.45,0.0,0.68,0.0,0.15,-0.87,0.0,0.0,3.3,4.54,68.29,-0.03,0.0,0.0,20.6,-0.09,0.25,-0.03,0.0,0.0,7.65,0.25,0.0,0.1,5.83,1.17,9.6,1.0,0.0,3.82,0.0,-0.72,8.68,0.0,1.74,0.0,0.58,-0.41,0.45,0.0,0.0,3.5,0.65,4.98,-0.03,1.25,0.0,0.0,0.19,0.12,0.0,0.0,7.19,10.92,0.0,0.0,1.53,2.48,0.0,0.5,0.0,1.85,2.84,4.91,0.0,0.22,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.18,0.77,0.0,1.39,6.33,2.3,1.86,0.0,-0.09,1.23,4.31,0.01,0.0,-0.69,8.73,0.0,2.74,0.12,0.0,0.0,1.34,0.22,12.57,7.89,0.93,0.0,6.84,0.29,0.0,8.92,14.69,0.0,0.0,0.0,0.27,1.23,9.14,0.0,0.18,0.0,0.42,0.35,0.4,1.31,0.0,32.31,0.0,8.05,0.54,5.07,0.7,0.0,1.19,0.0,0.0,1.59,0.0,0.0,-0.21,-0.78,0.0,4.17,0.51,0.0,-0.21,0.02,0.0,2.04,1.19,0.16,0.0,0.68,0.31,0.0,6.58,0.61,-0.15,1.59,0.0,0.05,3.58,5.44,0.0,-1.23,0.28,1.7,2.8,13.18,0.0,0.0,-0.06,0.76,0.52,0.0,1.8,0.0,-0.78,0.0,0.29,4.31,63.44,0.0,0.0,1.92,0.0,1.65,0.4,0.0,0.05,0.11,0.0,0.27,-0.12,0.0,2.51,0.0,1.24,0.96,0.24,0.0,-0.06,0.0,1.55,5.06,0.0,-0.24,0.0,17.82,0.0,0.0,3.89,0.0,6.0,0.0,13.3,0.0,0.67,1.54,0.36,1.05,4.72,0.0,4.32,22.5,0.0,0.9,0.0,0.0,33.8,0.6,0.5,0.8,0.94,3.75,0.03,2.36,0.87,6.33,0.92,0.0,0.33,2.29,0.36,-0.02,0.0,16.47,8.35,0.0,0.0,1.56,1.99,0.0,-0.53,4.11,4.52,-0.12,0.0
