t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,3.1,0.0,5.9,0.25,0.0,3.65,1.68,2.98,-0.09,-0.09,110.06,0.0,0.45,36.2,38.0,0.23,0.0,1.71,0.64,92.19,-2.54,0.78,0.05,0.0,0.28,2.09,14.5,54.72,2.02,0.0,-0.73,0.2,20.35,0.15,6.71,3.81,0.09,0.26,0.08,0.0,0.0,0.21,570.11,-0.36,0.76,14.03,0.3,0.0,2.93,9.95,0.0,0.0,0.0,0.12,0.15,0.98,2150.7,0.97,17.02,0.12,404.31,-0.82,0.0,0.47,7.87,0.0,1.57,-0.07,0.0,56.43,1062.38,-0.29,0.85,9.09,4.11,0.0,-0.86,0.0,267.26,1.37,0.56,1.09,-0.13,73.48,0.86,1.31,0.0,0.0,2.0,15.43,14.22,0.01,2.98,16.48,0.22,1.81,0.14,0.06,0.6,1.29,2003.19,2.57,1.23,0.0,95.53,0.2,13.9,1.98,3.7,0.39,4.19,2.94,0.55,0.73,0.5,13.07,21.9,0.0,-0.16,0.25,0.37,0.53,2.6,0.0,0.0,16.67,2.04,-0.04,61.79,-0.17,0.0,0.0,0.35,0.25,0.0,0.25,2.85,0.0,2.41,0.25,0.68,0.0,0.22,8.67,0.77,21.66,0.03,0.0,0.0,4.45,0.0,1.36,1.13,-0.29,1.28,0.0,0.73,0.07,0.0,-0.1,5.42,0.0,1.47,-0.36,0.34,3.03,0.86,0.0,2.59,158.25,12.05,0.0,0.0,3.23,1.5,0.0,0.1,5.28,2.06,5.58,3.36,0.41,0.2,10.94,2.15,0.03,5.37,889.29,0.03,3.94,760.06,0.0,0.0,0.45,-0.21,0.0,0.03,0.15,63.49,-0.02,2.27,0.84,0.43,4.66,3.5,0.12,0.0,0.0,0.0,-0.37,1.93,4.71,0.59,0.06,0.0,0.0,0.0,0.04,2.1,531.92,0.63,0.0,0.0,0.0,-0.47,0.72,2047.05,0.06,0.05,-0.2,0.0,-0.15,0.04,9.94,0.03,5.15,10.59,0.0,2.89,1.84,3.76,1.83,1.48,0.0,0.37,749.81,1.56,0.0,7.59,1.16,0.15,-0.22,0.35,-0.62
t2,30.22,0.0,18.66,0.4,0.76,5.02,12.12,38.94,-0.71,0.89,542.49,0.96,17.03,358.91,378.35,20.18,0.0,5.7,8.49,737.79,-36.0,2.07,0.45,2.63,-0.68,14.51,92.93,234.77,2.78,0.18,15.79,1.33,22.74,0.36,31.3,125.45,5.2,7.81,1.38,0.1,0.0,-0.09,4532.03,4.63,6.62,134.42,1.44,0.0,42.91,153.46,0.6,0.0,0.0,5.12,1.43,8.47,11257.82,1.38,82.19,0.62,3597.42,3.57,-0.47,6.82,11.66,1.54,9.9,6.08,0.0,520.64,4176.68,1.85,6.09,43.67,14.13,1.15,1.22,0.0,2225.41,5.64,11.03,6.14,3.69,638.96,2.02,3.62,0.0,0.37,15.73,54.87,145.16,8.47,38.82,202.23,16.62,7.18,0.9,-0.12,0.57,15.69,11985.7,4.6,16.22,0.0,749.94,-0.31,119.87,41.38,22.32,6.78,50.47,10.98,9.31,0.88,11.13,159.19,67.18,0.17,5.99,1.54,6.9,0.78,34.53,0.17,4.48,320.37,6.26,2.8,518.08,10.24,0.0,0.24,7.14,0.86,0.0,1.12,7.15,0.01,15.85,0.12,16.68,0.08,3.21,32.67,6.91,215.58,5.86,-0.06,0.44,23.57,0.0,32.31,7.86,1.9,42.93,0.01,5.13,3.0,0.54,1.34,35.71,7.19,18.52,-0.72,3.94,50.05,1.12,0.0,9.32,1256.6,30.02,0.93,-0.55,8.25,53.45,5.01,0.71,32.99,2.31,13.18,17.7,12.51,4.68,201.5,17.71,0.77,27.8,915.01,5.84,11.15,1120.99,0.0,0.0,4.77,2.5,3.0,-0.29,6.09,403.08,0.0,14.15,0.86,0.47,44.61,6.31,0.09,0.0,0.48,0.25,3.97,4.67,37.12,7.58,6.39,1.66,0.0,0.1,0.0,15.92,4546.78,3.95,0.0,1.55,0.0,4.48,6.13,7597.79,6.89,0.38,6.73,0.0,0.46,2.67,81.24,6.82,60.28,98.28,0.14,16.36,15.37,22.23,1.6,12.16,0.0,1.42,3919.27,19.46,0.06,118.29,23.89,-0.62,2.11,2.89,9.95
t3,85.0,1.34,89.88,5.16,3.68,4.54,38.45,95.78,4.27,16.29,419.92,0.24,18.49,1211.61,1582.26,32.99,0.24,36.72,16.01,1804.18,49.32,3.5,0.81,4.82,15.54,63.22,152.52,220.27,18.92,1.75,100.56,7.87,24.92,10.5,34.28,235.72,42.09,5.32,18.7,0.32,0.0,4.19,7170.74,2.95,45.31,321.57,7.91,0.27,168.18,653.83,0.2,-0.03,0.35,38.1,6.6,34.84,15322.34,4.71,46.76,20.37,6119.65,10.93,2.81,11.67,1.57,5.93,13.67,48.6,-0.41,965.54,1882.73,39.78,22.2,149.12,28.63,1.52,9.52,-0.03,4613.35,18.7,33.23,46.51,2.26,1440.52,6.47,10.41,0.0,4.39,55.73,51.88,385.62,43.54,133.17,593.86,64.87,1.22,12.41,0.26,0.0,66.51,19937.4,42.84,42.32,2.49,878.24,1.06,246.62,213.94,67.45,34.59,162.19,33.96,21.06,4.65,8.09,459.16,58.04,0.0,29.78,13.47,31.01,1.08,166.33,2.73,11.73,1065.08,15.61,7.89,809.34,29.84,-0.21,0.0,9.34,0.2,0.35,0.24,32.21,0.01,37.49,1.65,80.17,1.46,7.02,56.45,21.44,489.37,21.81,0.44,8.68,50.15,0.0,225.6,8.09,3.61,271.16,1.77,46.42,5.79,-0.19,3.85,91.22,23.88,80.73,0.4,31.27,107.29,2.2,0.5,29.8,2878.68,85.63,5.87,2.71,31.51,149.27,14.91,0.95,134.52,4.97,1.86,72.66,66.7,13.44,758.18,38.26,2.97,113.86,147.28,9.69,36.01,229.27,-0.03,0.0,-0.24,3.3,0.64,1.36,44.48,727.52,-0.1,43.47,1.32,4.82,145.78,52.39,9.31,-0.02,0.32,2.24,19.54,8.99,189.16,27.33,24.68,9.5,0.0,1.79,0.52,16.18,11126.07,38.43,0.0,1.93,-0.32,24.31,6.18,5402.93,21.35,28.22,33.7,0.0,10.78,17.7,255.03,29.51,203.2,211.56,-0.65,34.04,77.9,107.89,8.64,36.39,0.66,13.89,3198.37,69.56,1.48,414.42,43.71,4.98,6.89,10.39,38.96
t4,180.45,5.83,145.05,17.82,6.98,0.06,151.62,105.25,13.98,35.64,156.63,3.64,58.28,1706.99,3914.81,28.7,0.11,65.22,73.82,1947.19,656.71,2.31,0.75,6.45,26.88,94.71,97.49,65.65,28.32,18.16,451.46,32.62,5.44,29.38,16.78,135.87,74.7,4.54,32.84,2.64,-0.03,13.55,3408.44,7.26,62.78,412.15,27.49,2.96,171.38,648.69,0.27,0.0,2.6,34.33,2.34,53.96,8428.2,16.25,50.91,18.8,2866.81,15.26,8.35,40.58,4.16,15.25,15.96,108.47,3.22,550.86,552.87,83.61,93.53,187.78,35.94,6.05,12.4,0.0,3018.79,13.72,56.38,76.45,52.95,1358.91,27.7,16.46,0.0,11.7,80.33,25.48,359.29,168.35,168.39,556.71,152.2,4.97,20.56,1.5,1.62,208.77,15531.08,118.51,62.84,5.51,239.76,10.53,254.39,1108.77,122.84,61.75,191.0,131.29,45.46,21.76,9.85,315.65,38.38,0.1,35.3,17.48,82.74,1.0,463.34,14.48,49.02,858.93,49.13,28.62,386.55,93.15,-0.66,0.05,24.34,0.81,0.0,2.47,93.14,-0.07,76.97,25.16,116.08,8.46,15.31,35.21,53.44,391.7,55.84,1.35,17.83,27.27,0.0,592.93,14.95,3.62,564.31,0.39,83.84,16.32,4.58,0.75,98.79,180.74,145.15,0.05,69.14,81.08,3.7,1.38,55.3,2174.05,75.54,24.54,1.68,86.52,187.54,47.68,0.21,409.44,23.94,0.1,225.54,114.18,29.35,686.77,25.84,11.45,102.96,23.01,15.57,35.39,27.97,0.5,0.4,12.55,14.68,3.3,0.71,104.78,341.17,10.33,112.53,15.19,7.32,108.43,142.89,2.57,1.81,0.12,0.64,32.39,7.96,335.47,34.54,159.69,22.43,0.96,0.51,-0.03,23.66,8674.8,84.17,0.02,20.57,0.37,67.39,33.33,1761.83,42.86,55.67,82.56,1.62,23.15,108.67,180.85,118.36,304.81,180.8,10.79,52.88,430.49,152.78,7.01,67.28,0.71,49.31,959.16,158.97,5.27,322.62,66.57,23.7,8.07,42.78,48.53
t5,160.45,27.05,231.24,33.45,29.94,0.21,208.18,40.0,29.56,72.41,34.36,0.11,111.75,802.72,5786.0,19.89,0.0,49.45,65.89,684.47,141.95,10.8,0.74,7.01,8.68,53.01,50.21,11.08,41.61,33.28,1180.47,50.93,5.5,49.86,7.05,43.43,93.53,0.63,10.99,2.04,-0.54,4.19,855.99,-0.35,30.35,290.4,28.97,21.43,38.92,231.07,0.04,2.37,1.04,20.93,1.15,13.67,2478.32,40.57,18.47,12.13,679.43,29.23,6.07,26.51,3.08,30.73,38.17,271.78,0.77,154.93,132.79,122.08,79.81,69.94,16.36,7.67,18.23,0.45,945.82,28.58,48.77,75.92,115.58,590.53,36.99,15.74,1.38,21.78,64.5,13.3,190.27,343.98,69.04,357.72,141.3,1.94,14.7,2.12,2.05,229.13,6654.22,207.69,18.23,2.18,71.95,3.38,133.75,3123.3,70.21,80.79,99.17,101.8,48.04,34.52,0.8,94.33,13.62,2.12,24.23,40.44,133.68,0.32,731.42,26.09,151.25,262.03,73.57,34.38,106.06,125.93,2.01,0.0,50.04,0.63,0.19,3.29,69.73,0.73,73.44,43.33,59.89,18.13,34.82,10.86,42.98,127.07,77.36,2.65,21.2,7.51,0.0,683.86,14.31,13.1,644.0,0.45,31.94,28.82,17.69,2.71,73.09,262.99,198.15,3.38,180.79,35.9,10.66,5.04,37.24,779.83,31.16,41.91,11.67,145.95,82.8,61.59,5.73,760.4,39.03,-0.79,275.85,61.92,57.42,213.41,15.0,22.19,69.47,5.93,19.9,15.76,8.85,0.95,1.55,19.55,46.13,8.32,7.4,35.4,76.46,9.93,181.55,11.5,15.38,58.66,215.91,6.43,2.15,7.26,10.92,58.39,4.04,448.14,22.19,317.43,12.68,0.0,0.2,4.81,13.45,2982.52,168.61,1.74,41.09,2.02,179.17,108.95,456.19,45.77,52.38,166.22,4.01,74.95,153.63,79.47,209.22,173.06,33.61,21.09,43.03,1178.64,108.65,1.71,185.99,1.98,89.62,198.94,182.92,7.17,111.41,82.09,38.35,19.85,68.51,30.23
t6,105.89,45.07,182.35,46.09,45.89,0.0,116.13,13.19,21.82,37.9,11.19,0.08,140.22,224.57,3980.56,10.99,-0.09,17.63,67.91,154.95,17.93,14.33,2.19,10.66,44.2,7.38,21.66,4.34,34.28,45.49,1423.31,59.2,2.39,66.18,4.0,15.97,95.74,1.2,25.33,8.95,3.05,2.9,169.31,0.99,12.96,152.55,10.28,22.72,14.77,49.88,0.25,8.55,-0.32,5.3,4.37,9.12,613.88,32.22,4.61,3.94,151.12,37.95,2.49,20.36,0.0,42.98,24.37,538.66,0.16,44.35,25.75,28.47,31.04,17.59,6.83,12.58,12.78,0.5,257.59,38.84,16.98,35.4,36.48,176.14,5.18,14.81,10.7,30.09,10.45,5.29,59.25,340.97,17.87,172.62,36.79,1.33,5.6,5.15,0.51,135.97,2063.37,219.58,6.1,7.24,19.09,0.87,66.09,3069.11,30.42,48.63,21.65,34.18,49.68,33.77,-0.04,42.97,11.35,4.14,7.38,33.77,114.05,0.1,625.38,5.77,108.19,68.63,80.48,39.34,17.28,82.03,0.7,0.0,48.15,-1.01,0.0,2.25,51.86,0.9,45.02,30.26,21.5,29.9,17.99,6.88,21.51,38.44,36.29,3.62,20.02,13.51,0.0,422.23,9.11,5.82,329.91,0.16,14.63,27.14,9.89,3.0,50.92,142.08,104.98,0.97,369.01,7.38,1.76,9.46,22.26,222.13,19.39,35.46,3.66,79.89,31.01,66.72,12.85,861.0,41.25,-0.73,228.65,18.79,88.71,63.13,9.0,30.43,58.95,1.66,18.1,7.1,4.45,6.37,4.62,13.93,45.56,11.6,5.71,3.28,14.2,20.98,173.62,16.25,8.2,14.62,222.47,7.18,18.57,13.67,15.73,49.91,0.17,435.74,4.18,192.66,9.26,0.0,0.0,4.68,4.18,718.56,303.51,0.65,49.45,4.0,122.44,145.69,90.43,15.51,50.54,117.59,21.81,68.38,99.01,29.36,180.89,43.61,15.01,27.11,18.08,950.51,51.01,1.79,220.82,4.19,88.94,63.12,113.88,21.34,18.11,50.64,27.98,30.45,15.32,5.8
t7,77.2,68.2,86.14,49.8,11.26,0.0,52.78,4.36,17.02,34.27,4.35,1.87,49.89,56.51,1714.05,3.64,2.2,15.62,112.78,55.08,2.82,11.08,0.0,5.84,26.92,3.89,12.96,2.17,27.91,35.36,725.66,17.1,0.3,56.78,1.92,2.59,62.24,0.0,25.07,3.45,11.73,13.79,52.41,0.32,16.45,68.64,10.53,7.16,1.08,25.9,0.55,20.62,1.81,1.19,0.0,0.0,176.45,30.06,0.85,-0.13,37.18,32.61,-0.12,9.07,0.0,15.17,9.12,435.73,0.22,21.83,4.09,13.78,7.43,3.99,6.57,3.34,5.43,-0.06,57.36,10.95,14.77,20.65,8.59,65.42,5.67,6.97,6.69,10.11,6.13,5.88,16.98,226.82,3.79,66.48,21.62,-0.12,3.99,10.41,-0.97,76.77,632.23,102.39,0.13,5.63,3.06,6.38,16.4,1097.45,15.94,12.17,12.76,10.8,17.31,56.06,0.0,8.57,3.14,1.5,2.12,25.12,46.62,0.21,321.41,8.63,62.27,10.87,52.49,34.98,5.06,43.81,0.0,-0.15,32.4,0.65,0.0,3.52,22.9,-0.15,44.68,12.26,4.7,14.93,12.9,3.06,8.64,21.01,22.39,10.49,14.44,2.75,0.0,184.86,10.11,3.31,91.99,6.18,-0.42,20.19,4.01,0.21,13.23,32.1,51.68,2.65,365.29,2.86,1.86,30.0,4.09,91.87,3.98,16.54,-0.48,38.76,14.94,30.57,31.38,658.82,18.61,-0.12,134.19,2.24,75.6,8.38,2.66,49.8,20.62,0.18,1.34,1.41,0.21,6.53,2.08,19.26,23.85,7.04,0.91,0.71,1.56,10.8,99.92,8.03,10.75,8.67,144.97,2.35,7.28,31.55,10.94,23.34,0.06,184.35,2.31,47.28,15.63,0.12,0.25,2.03,3.89,165.3,239.12,0.61,19.1,-1.42,42.81,160.17,37.11,6.34,23.2,70.96,9.78,32.46,41.82,15.29,107.48,4.45,5.38,41.16,17.83,314.1,5.42,0.43,208.46,11.01,38.07,8.98,58.35,12.88,8.77,29.74,7.29,9.56,4.44,1.71
t8,37.09,44.82,19.3,24.2,19.09,0.0,20.05,0.33,5.59,5.9,1.42,4.3,28.37,17.47,648.36,5.74,1.78,2.39,83.82,12.99,5.49,7.14,0.0,1.25,14.8,-0.24,0.24,1.72,10.62,25.94,228.21,7.33,0.0,27.56,0.31,1.47,25.91,0.32,11.61,1.85,6.26,13.47,8.8,0.6,1.42,26.53,5.01,9.5,2.84,7.68,-0.06,26.32,3.57,0.83,0.0,-0.06,35.41,23.76,0.0,0.34,6.96,24.2,0.0,-0.15,0.0,4.31,7.18,267.64,0.0,5.53,6.02,6.41,0.99,0.86,3.48,1.53,1.6,0.04,26.38,3.7,5.51,3.0,2.84,25.6,0.17,8.07,1.9,8.02,3.93,4.78,4.17,99.98,2.96,35.11,0.68,0.0,0.3,14.31,0.87,23.33,177.86,36.31,0.0,0.98,1.25,0.89,9.43,340.05,1.57,5.92,9.27,6.38,6.64,63.4,0.0,3.69,2.05,0.34,0.26,5.97,15.53,0.82,116.3,-0.16,33.32,0.37,25.83,23.17,2.96,10.29,0.0,0.0,6.75,2.04,0.0,0.72,4.83,1.15,12.71,1.62,2.14,3.55,7.07,3.38,3.25,4.89,4.57,2.76,16.05,-0.24,0.0,61.75,0.85,2.74,26.59,2.54,0.47,5.63,6.8,0.0,6.72,16.32,6.1,-0.25,202.68,-0.01,5.26,36.27,0.92,15.78,0.39,8.24,0.0,2.95,5.55,5.5,39.06,253.97,11.05,0.0,58.53,0.56,16.21,-1.09,2.95,36.5,20.8,0.15,-0.05,0.25,1.18,12.49,0.11,3.01,12.19,6.6,0.33,1.2,1.14,7.52,39.14,5.67,2.9,4.55,53.09,3.86,6.65,21.08,2.5,11.43,0.03,68.41,-0.04,16.68,8.48,-0.24,0.06,-0.03,4.21,28.24,118.41,0.37,10.83,0.52,5.48,110.4,13.23,0.81,5.17,22.3,9.53,10.85,8.66,11.25,95.17,0.9,0.08,18.03,4.68,45.82,10.58,1.91,114.01,13.91,6.78,3.57,18.75,4.42,1.98,10.05,1.79,6.73,0.56,1.18
t9,14.99,10.24,7.73,8.41,4.49,0.0,3.83,0.0,6.92,1.14,0.0,2.41,8.01,3.17,182.91,-0.21,5.48,0.75,79.58,1.37,-0.03,4.49,0.0,0.1,30.74,0.0,0.21,0.5,13.51,6.43,62.02,0.66,0.1,8.66,0.36,2.42,18.95,2.23,1.85,5.79,8.95,10.16,3.01,0.21,0.03,7.02,5.11,2.16,0.23,1.22,0.0,5.15,4.36,0.0,0.0,0.0,4.39,7.5,0.0,0.0,2.24,10.21,0.04,-0.03,0.0,1.05,11.66,67.17,0.0,0.0,0.9,0.86,2.55,0.25,-0.23,1.36,-0.27,0.0,6.16,0.0,3.88,0.0,2.46,3.4,0.22,5.39,0.09,1.53,1.39,-0.24,-0.01,32.53,0.86,9.64,-0.13,0.0,0.23,7.83,-1.12,9.73,48.88,10.38,0.0,5.88,0.42,-0.02,5.23,63.81,0.0,3.18,2.82,3.37,1.7,43.7,0.0,-1.11,1.74,1.53,0.0,1.45,5.09,0.45,53.52,0.25,19.48,0.01,18.77,2.05,-0.25,-0.67,0.51,0.0,7.04,1.05,0.0,0.1,1.91,-0.15,2.61,0.08,0.28,0.0,4.67,0.09,2.04,0.26,0.12,2.29,8.0,0.2,0.0,9.14,-0.15,-0.67,5.3,0.59,0.0,-0.14,0.75,0.0,3.6,3.36,7.63,0.42,91.85,0.75,3.43,22.86,-0.09,5.91,0.0,1.6,0.0,-0.4,-0.5,4.64,25.45,82.8,6.65,0.0,11.33,0.02,2.63,0.2,-0.29,15.03,2.55,0.0,0.03,0.0,1.31,2.14,2.52,2.95,10.25,1.81,0.0,1.19,0.54,4.54,14.15,0.09,3.76,3.34,21.19,2.22,-0.38,25.37,3.37,0.01,0.0,16.71,0.0,1.26,0.05,1.69,0.0,0.0,1.25,5.63,76.01,0.0,11.69,0.0,5.27,51.17,6.19,1.97,1.14,10.15,0.06,5.68,3.46,3.77,19.01,0.76,0.21,7.15,0.74,16.23,0.87,0.35,35.27,12.89,1.26,1.38,11.3,10.1,0.0,2.55,-0.55,6.74,0.04,0.03
t10,10.07,1.09,2.45,8.12,0.86,0.0,2.49,0.0,2.78,0.66,0.0,0.4,1.15,0.0,54.79,-0.09,1.04,0.53,61.59,2.59,1.26,2.26,0.0,0.0,14.78,0.0,0.0,0.0,12.68,5.08,16.58,-0.48,0.0,2.01,0.0,0.35,13.37,0.89,4.12,0.0,-0.41,1.15,0.45,0.0,0.36,0.45,3.19,1.82,0.0,0.0,0.0,0.26,6.13,0.0,0.0,0.0,0.7,0.05,0.0,0.0,-0.36,1.35,0.0,-0.33,0.0,0.45,1.78,14.59,0.0,0.0,0.0,5.3,1.31,1.44,0.0,2.03,0.0,1.02,2.82,0.15,0.03,0.0,1.34,1.32,0.55,0.03,0.0,3.38,-0.04,0.0,0.0,5.67,0.0,-1.04,0.59,0.0,0.16,2.11,5.45,1.23,11.42,3.69,0.0,0.91,-0.15,0.15,-0.13,5.47,0.0,0.0,0.25,0.0,0.09,16.81,0.0,2.22,0.26,0.35,0.0,2.01,1.7,1.9,14.73,0.5,4.55,0.05,3.07,1.05,0.49,1.13,0.0,0.0,-0.6,0.0,0.0,0.2,1.75,0.0,1.05,0.48,0.0,0.0,4.26,0.0,0.35,0.4,-0.33,1.97,3.55,0.3,0.15,1.73,0.3,0.0,3.69,0.0,0.0,0.32,0.7,0.0,-0.39,0.63,2.83,0.0,29.64,0.0,0.0,8.3,0.1,2.32,0.0,1.44,0.0,0.46,0.0,2.53,6.9,38.69,3.29,0.0,1.64,0.0,3.64,0.0,0.15,13.98,-0.07,0.0,0.0,0.0,0.15,1.59,0.0,1.06,1.94,1.7,0.0,0.0,0.75,6.4,4.75,0.0,0.4,0.0,3.5,0.99,0.27,17.47,0.39,2.95,0.0,4.5,0.0,0.0,-0.27,7.37,0.0,-0.2,1.71,3.51,24.19,0.0,2.79,0.0,0.24,18.38,1.56,0.18,0.1,2.41,1.72,1.15,0.0,0.33,12.38,0.0,0.5,8.39,0.0,4.39,0.19,1.63,6.5,8.66,0.86,0.3,2.83,5.26,-0.01,1.45,0.24,1.34,0.0,0.0
