t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,4.04,-0.33,0.36,0.62,0.2,12.38,2.38,6.1,0.58,0.19,87.55,0.0,0.12,20.46,22.52,0.54,0.0,0.51,2.12,79.67,0.31,0.35,0.59,0.0,-0.15,2.81,11.97,37.13,0.3,0.14,1.17,0.05,14.05,-0.2,5.42,15.73,0.07,0.4,0.24,0.0,0.0,0.0,570.03,0.55,-0.48,12.34,1.55,0.0,2.27,11.38,0.0,0.0,0.0,0.0,0.58,-0.51,2022.14,-0.09,3.44,-0.27,374.1,0.19,0.0,0.22,3.12,-0.53,0.22,4.19,0.0,56.86,1018.25,0.08,-0.16,4.84,3.92,1.27,0.3,0.0,284.48,0.14,0.76,0.05,0.07,85.44,0.05,3.78,0.0,0.0,3.57,16.55,9.84,0.07,4.38,5.1,0.94,0.45,0.84,1.68,0.05,3.11,1964.09,0.79,4.77,0.25,115.03,-0.01,9.65,-1.21,1.16,-0.14,1.21,1.35,0.63,1.56,3.7,17.28,19.08,0.0,-0.09,0.12,0.27,0.19,3.48,0.0,0.55,22.98,0.13,0.13,64.78,0.73,0.0,0.0,0.66,0.1,0.0,0.0,0.21,0.0,-0.29,0.18,0.75,-0.9,0.25,6.76,2.1,37.51,0.0,-0.04,0.0,2.71,0.0,3.51,2.04,0.0,4.05,0.0,-0.21,0.13,0.0,0.0,7.69,1.09,0.66,0.94,-0.19,7.02,0.0,0.0,0.84,171.12,10.05,0.45,0.39,-0.06,5.11,0.56,0.0,0.16,1.88,0.62,1.15,2.32,0.32,13.59,2.92,-0.23,1.76,926.18,0.25,0.44,776.89,0.0,0.0,0.0,-0.21,-0.01,-0.12,0.75,50.22,0.0,0.39,0.13,0.18,-0.2,1.47,-0.9,-0.39,-0.05,0.0,0.45,0.27,0.45,-0.47,0.8,0.15,0.0,0.0,0.12,4.74,512.43,-0.11,0.0,0.0,0.3,-0.11,2.22,2090.64,0.01,0.53,0.15,0.0,-0.03,0.0,13.13,0.41,2.2,11.55,0.0,-0.24,0.21,2.37,4.3,0.19,0.0,-0.06,716.46,0.48,0.0,9.08,1.67,0.18,1.27,0.0,-0.64
t2,23.59,0.11,9.02,2.58,0.17,9.43,12.36,41.63,1.09,2.23,528.64,0.0,3.55,394.23,323.39,15.15,-0.27,3.39,8.74,797.0,-60.62,0.12,1.34,-0.03,1.67,12.38,95.99,253.33,9.41,-0.37,15.07,2.8,27.5,1.35,19.63,98.46,2.71,0.47,2.46,-0.06,0.0,1.52,4262.58,4.6,18.58,130.57,6.57,0.6,55.02,157.81,0.0,0.0,0.0,3.75,1.76,23.14,11013.64,0.02,43.18,8.13,3356.84,5.57,3.82,3.37,3.5,1.49,5.16,27.46,0.08,532.1,4170.39,4.68,5.08,43.65,19.84,4.63,13.29,0.0,2416.54,1.32,10.02,6.43,9.33,613.19,0.82,4.87,0.05,0.06,13.88,35.42,105.01,13.83,24.76,231.86,12.06,1.33,3.0,-1.1,0.05,22.43,12093.38,2.47,29.73,0.1,789.01,1.44,73.33,79.37,11.26,1.0,48.74,24.12,6.91,14.76,10.62,185.0,73.84,0.03,2.4,0.91,6.22,-1.55,60.65,0.05,1.22,341.01,2.25,2.3,425.64,8.4,0.0,0.0,-0.07,2.22,0.0,1.29,6.45,0.0,12.33,-2.41,23.88,-0.93,12.11,66.98,6.97,196.35,2.63,1.58,1.3,24.96,0.0,55.73,5.91,0.13,27.62,0.0,1.13,4.54,0.07,1.73,19.51,14.03,13.27,1.75,10.44,60.49,0.49,2.07,9.0,1201.61,53.01,-0.02,0.63,-1.94,54.16,2.54,-0.03,21.15,1.32,9.37,18.94,27.36,4.22,207.27,15.14,9.54,23.9,905.66,2.68,14.84,1133.84,0.72,0.03,3.12,7.09,0.49,2.16,5.53,415.42,0.96,9.59,3.18,1.75,35.29,2.03,1.82,0.37,1.53,-0.12,8.17,0.2,40.29,1.91,10.41,0.74,0.0,0.0,1.42,19.46,4619.44,21.76,0.03,-0.14,0.0,13.83,2.6,7737.14,5.08,6.24,6.79,0.0,0.67,-0.39,74.4,9.84,25.36,132.97,3.76,24.59,29.75,41.48,5.8,5.31,2.02,-0.75,3899.49,16.43,0.1,108.39,26.08,0.0,3.45,-0.22,7.82
t3,99.98,19.63,20.66,11.07,3.39,4.97,56.14,114.18,21.1,10.73,487.12,0.77,23.65,1495.01,1246.13,32.8,0.08,27.47,59.88,2006.12,39.31,4.53,1.59,2.6,9.03,58.77,153.74,247.65,13.04,17.8,128.62,11.29,15.73,6.92,21.54,209.4,24.92,2.51,6.55,0.98,0.54,4.45,7081.21,3.34,44.11,320.6,9.8,0.6,181.8,679.06,-0.34,-1.23,0.2,3.87,0.2,47.44,15456.33,11.96,67.19,16.69,6255.99,17.14,0.84,6.93,5.71,10.67,3.28,101.02,-0.44,1017.47,1955.47,16.69,48.34,130.48,35.93,2.72,28.99,0.05,4760.86,14.69,32.64,14.28,62.86,1459.92,6.12,11.08,0.03,1.75,45.78,48.23,346.14,55.91,121.53,601.65,39.01,1.03,5.93,10.77,0.72,85.22,20592.44,40.25,45.23,0.74,909.68,11.72,261.74,512.64,82.79,24.87,180.92,79.9,19.17,14.19,9.62,428.85,56.54,0.33,21.88,12.55,26.15,0.88,214.49,2.26,15.35,1071.28,26.37,11.38,761.78,24.06,0.07,0.0,5.35,-0.17,-0.02,0.89,16.82,0.0,46.26,17.15,78.36,9.56,16.48,74.63,25.11,428.43,25.47,2.61,2.4,38.38,0.0,207.76,1.94,0.47,201.97,0.0,21.07,13.43,3.46,4.48,105.16,33.19,47.03,0.9,102.06,107.74,3.74,2.77,52.07,2776.2,96.33,13.81,-0.51,13.54,157.21,20.23,1.24,94.4,12.18,0.3,67.12,85.75,11.04,635.58,32.35,57.43,91.39,152.23,5.77,36.07,231.98,0.81,1.69,4.93,31.64,1.06,11.55,69.69,613.97,4.17,48.57,2.32,4.05,105.99,53.88,10.16,0.08,1.87,0.17,18.49,7.49,186.41,16.52,81.9,3.63,2.14,0.0,2.35,24.7,11237.62,54.98,0.06,-2.43,2.94,43.55,23.76,5416.54,16.65,22.19,31.24,1.35,-0.82,7.68,183.67,37.91,188.21,241.52,10.81,58.96,172.25,139.76,10.38,42.22,10.48,5.79,3401.51,41.96,2.2,331.35,40.43,8.32,9.9,-0.19,24.32
t4,197.57,59.24,98.74,15.09,14.85,0.61,181.03,125.59,28.65,35.74,169.07,2.76,53.61,1797.31,3643.55,23.86,-0.4,58.19,117.07,1625.86,726.24,7.57,1.16,14.98,20.62,138.92,106.72,81.18,43.63,26.39,657.89,35.65,6.63,36.82,19.55,141.18,83.24,10.09,10.75,5.46,0.01,5.3,3366.06,4.5,31.77,352.54,20.18,9.44,166.84,643.73,1.15,11.05,-0.49,12.62,0.8,25.54,8493.44,20.4,53.01,13.78,3082.33,30.46,0.08,28.07,5.68,24.08,5.78,286.75,-0.06,694.82,545.05,90.08,66.68,130.22,35.99,3.08,12.43,1.05,2704.93,43.28,56.41,53.79,112.61,1256.44,4.68,18.33,0.03,6.96,69.38,40.75,403.95,198.53,169.55,601.38,87.59,0.63,24.38,15.61,3.72,238.35,15495.17,140.97,15.24,0.78,247.51,11.38,237.39,2093.5,104.51,88.13,174.84,136.3,27.97,33.55,3.51,328.22,38.77,0.07,23.88,22.85,57.66,0.6,537.6,7.55,71.52,848.07,47.58,40.11,416.57,73.11,2.2,0.0,14.13,-0.09,0.35,2.64,41.53,0.0,78.86,38.91,123.16,49.61,29.79,38.65,52.44,358.43,58.38,4.38,11.51,39.69,0.0,568.17,10.95,4.87,537.16,0.09,76.28,19.36,16.53,3.78,141.17,78.72,126.54,2.76,221.25,65.81,11.41,3.12,57.76,2212.63,55.62,28.83,-0.07,36.17,156.15,40.36,10.01,349.21,33.74,0.87,215.3,106.66,20.55,650.79,31.38,60.79,116.19,24.24,6.18,30.61,40.76,-0.11,1.72,18.5,37.74,6.07,3.78,120.6,310.29,5.52,122.69,14.87,18.78,116.1,155.91,9.29,2.72,1.84,4.15,29.49,10.88,411.23,46.54,220.26,23.28,6.78,0.05,10.15,10.1,8521.98,126.57,3.25,15.15,2.83,150.84,56.5,1698.74,69.02,61.37,75.42,5.76,23.96,24.4,157.1,106.26,365.26,149.17,26.16,93.59,804.57,130.91,17.17,109.9,3.68,46.35,1027.15,151.08,4.92,284.72,79.9,29.12,22.81,40.11,46.27
t5,164.53,54.49,237.89,42.13,23.34,0.0,218.66,44.72,28.27,61.81,33.35,3.64,111.85,726.04,5598.6,11.12,0.44,60.8,169.41,647.99,193.86,20.12,1.49,21.04,39.81,40.81,42.31,16.69,68.24,30.3,1409.18,60.47,3.1,42.33,11.87,74.6,119.9,5.73,39.2,12.88,1.76,8.46,867.9,0.33,38.72,293.23,17.39,20.66,78.29,199.56,5.19,23.51,-0.18,24.83,1.06,13.7,2753.06,46.29,13.54,6.0,726.55,39.81,6.94,34.88,6.4,59.33,28.81,526.97,-0.04,167.49,143.53,74.75,67.78,55.63,29.69,1.51,8.92,0.55,796.24,35.74,50.29,62.67,43.02,557.27,37.29,16.2,4.27,2.65,56.87,18.08,206.99,387.54,76.67,336.32,111.26,0.26,15.51,7.44,1.77,172.73,6079.26,208.96,5.76,7.63,56.39,12.16,135.76,3762.2,82.19,90.41,88.17,71.61,48.87,75.9,3.56,130.79,17.18,-0.75,9.99,46.23,114.18,3.83,758.4,12.89,155.69,214.36,54.91,50.27,126.33,90.44,7.78,-0.03,26.42,-0.26,0.0,6.41,125.67,0.93,75.62,26.82,53.9,32.24,26.04,12.21,45.91,148.1,70.76,1.71,20.69,16.72,0.0,789.99,17.27,9.99,649.28,0.03,64.04,26.62,18.13,0.75,102.31,189.51,194.92,4.48,412.66,43.89,9.81,22.15,34.78,801.09,10.49,38.64,1.02,188.34,98.22,86.12,17.14,740.87,30.78,0.18,333.84,42.5,53.75,252.55,27.54,35.33,92.52,4.45,-0.28,18.13,8.75,0.06,3.77,22.1,33.53,12.17,1.63,63.89,91.77,15.76,207.53,11.55,18.47,53.77,241.02,7.22,8.07,5.01,8.76,62.56,7.87,486.24,14.53,334.94,24.21,1.04,0.3,4.51,10.57,2920.26,258.09,1.2,48.55,4.57,127.62,97.19,402.51,29.06,61.3,138.94,22.1,35.61,66.86,91.88,233.1,165.26,34.56,46.71,53.66,1311.25,83.08,5.88,226.18,8.36,130.33,199.15,228.65,23.53,102.05,44.87,21.49,21.39,69.55,35.76
t6,103.85,34.88,254.18,60.07,22.65,0.0,124.99,23.55,24.04,58.28,8.57,3.8,102.05,216.8,4482.06,5.08,2.45,15.4,170.11,195.59,23.5,14.97,0.22,25.5,58.11,5.81,18.43,4.27,44.61,16.35,1363.22,24.23,0.47,50.57,5.25,23.76,86.04,5.22,44.17,11.1,3.49,9.13,212.18,0.0,9.09,197.59,11.79,36.6,24.54,42.08,0.45,10.06,-0.33,12.81,3.65,1.31,690.11,26.18,2.41,1.15,155.47,31.45,7.73,28.53,4.93,30.78,27.95,446.17,0.33,39.38,49.19,31.14,38.85,14.88,11.16,5.26,8.44,-0.06,230.56,16.68,20.85,42.34,13.48,165.27,25.43,8.28,2.91,15.83,20.25,8.39,71.75,372.73,12.66,225.6,75.79,0.39,6.59,9.07,0.21,141.32,1894.6,234.76,1.05,10.82,29.46,7.51,70.44,2117.91,49.05,43.43,14.97,19.84,39.48,75.65,0.0,24.53,5.96,2.96,8.02,38.04,93.56,1.63,654.14,28.28,174.1,61.88,74.69,40.88,25.15,78.76,0.75,0.33,30.89,1.41,0.36,7.84,47.37,1.08,77.23,13.88,19.35,8.92,28.1,-0.18,28.95,49.93,48.43,3.04,34.22,3.88,0.0,487.3,15.14,8.14,384.68,1.23,18.82,15.04,9.2,-0.19,29.99,117.34,105.92,0.82,383.57,10.54,2.4,32.65,4.51,260.9,2.91,19.33,2.93,126.19,35.72,27.74,44.98,888.13,7.5,0.05,238.15,12.94,39.21,62.5,11.36,26.42,49.04,1.68,5.65,3.57,6.72,4.42,3.64,17.38,15.25,24.74,0.6,6.38,9.75,23.17,203.53,9.45,15.34,13.7,229.79,1.15,12.03,34.81,10.96,53.89,8.02,422.34,7.45,145.75,15.83,2.38,4.51,5.27,3.86,751.16,220.72,0.05,68.17,1.74,56.65,194.18,116.48,10.67,41.12,126.96,8.32,42.58,93.58,39.04,244.69,36.09,7.59,28.42,22.65,658.99,41.91,2.57,308.57,4.6,79.94,57.95,111.01,17.17,26.21,51.42,14.16,6.59,34.81,11.95
t7,55.23,12.89,139.0,22.73,5.41,0.07,48.25,9.85,6.36,34.88,6.68,2.54,48.88,51.69,1963.67,5.07,0.56,9.11,124.37,54.08,6.88,12.79,1.53,8.4,51.64,0.99,4.82,1.54,25.39,20.69,527.25,10.44,0.47,28.56,1.67,6.96,31.93,19.35,25.25,5.43,3.97,10.32,78.31,0.03,3.95,84.94,16.49,12.78,4.11,13.75,-0.4,1.26,5.54,8.48,4.15,0.0,154.93,11.22,-0.06,0.95,49.61,9.52,1.73,9.76,0.43,7.06,13.04,175.59,0.0,19.94,12.95,10.86,7.04,5.34,0.26,6.3,4.18,0.34,51.86,1.71,19.86,29.72,6.1,39.58,8.86,9.9,3.05,8.13,8.56,0.0,40.65,191.77,3.43,84.54,21.51,1.0,1.68,8.17,1.22,88.87,544.01,131.37,0.0,10.84,10.44,2.04,33.17,644.2,11.28,12.52,2.94,5.42,29.5,50.18,0.92,9.21,0.08,2.49,2.01,35.45,47.22,0.66,302.3,5.95,82.24,26.94,58.14,10.64,5.96,48.86,0.61,-0.57,31.58,1.01,0.86,2.45,21.93,4.22,35.8,16.3,1.93,0.39,10.56,0.56,9.9,16.2,28.1,0.56,30.01,1.89,0.0,195.33,5.72,4.33,147.78,2.69,6.28,13.85,2.95,-0.53,10.63,35.94,50.3,1.64,256.24,3.71,4.59,16.66,2.49,84.91,-0.18,10.32,0.06,46.26,17.65,14.97,26.26,630.98,7.87,0.0,89.76,7.89,31.79,8.74,0.72,3.96,22.82,1.64,4.84,4.75,2.03,24.24,0.22,11.77,5.15,8.58,0.93,0.15,3.06,6.44,114.5,3.26,6.42,8.64,120.76,0.17,13.25,38.38,7.49,33.83,1.02,209.47,2.33,29.41,5.87,0.0,1.72,9.12,3.02,185.73,176.72,0.46,21.03,2.84,25.12,193.76,33.63,3.61,29.84,72.87,8.43,43.89,111.6,21.06,153.46,16.52,6.28,11.14,6.75,166.91,22.44,1.33,200.38,8.25,20.16,17.38,47.22,4.24,5.51,29.87,9.41,8.71,8.84,4.39
t8,23.9,8.44,50.89,17.64,2.82,0.0,15.67,0.67,1.72,11.93,2.15,2.15,22.88,5.86,712.05,2.9,0.1,2.67,73.13,9.19,1.69,6.94,0.43,2.83,20.12,0.05,0.68,1.38,4.09,18.87,145.63,3.43,-0.03,25.08,0.67,4.52,26.14,3.82,12.52,0.2,3.25,4.77,15.16,0.07,0.31,32.32,0.48,6.37,-0.15,2.92,0.0,0.85,0.56,3.71,0.0,0.0,37.27,7.75,0.51,0.27,5.48,3.0,0.05,1.59,0.34,8.11,6.53,61.55,-0.08,3.33,2.31,3.41,2.29,0.85,0.37,5.23,0.06,1.28,13.84,3.86,10.46,3.7,2.62,16.44,5.81,6.46,0.28,3.74,3.02,1.63,6.95,84.25,-0.09,19.8,7.9,-0.3,0.19,0.72,1.6,43.27,155.77,33.43,0.0,3.46,7.81,0.0,4.56,158.7,0.67,5.11,2.5,1.11,13.44,18.17,0.0,1.67,0.0,2.23,1.48,12.65,22.47,2.67,135.01,1.16,16.09,2.5,16.86,6.89,1.8,14.1,0.0,-0.03,25.47,2.28,0.0,0.22,10.1,1.72,15.87,4.23,1.12,0.62,1.23,0.05,2.5,11.54,5.06,-0.15,9.67,0.05,0.0,62.65,0.74,5.71,37.6,0.1,0.48,5.97,0.31,0.0,0.83,5.51,11.66,0.45,118.42,0.87,2.31,4.94,0.07,14.1,0.0,12.67,0.0,9.19,9.12,0.61,21.31,249.46,3.97,0.0,27.68,0.15,18.39,1.63,0.04,18.36,9.1,-0.14,0.95,-0.06,0.0,15.87,5.62,5.35,5.65,12.61,4.93,1.07,0.68,2.54,22.1,8.69,6.23,0.82,39.37,0.15,6.96,27.68,9.98,21.49,0.0,109.45,-0.15,12.88,9.21,0.0,1.16,3.75,1.49,49.33,116.85,0.3,0.88,0.54,5.22,144.51,22.57,1.13,10.42,25.07,4.72,21.73,68.07,3.93,49.04,6.0,1.51,1.43,1.04,40.74,3.62,0.05,78.8,13.32,6.65,6.97,23.98,0.11,1.2,16.05,9.46,2.43,1.08,1.52
t9,24.61,0.94,10.17,2.94,0.85,0.0,3.58,0.66,0.0,7.24,0.0,2.74,19.78,2.47,220.62,0.0,0.05,2.31,36.72,-0.31,0.19,4.64,0.0,-0.21,6.12,0.0,0.35,0.74,-0.53,11.01,45.3,0.73,0.0,11.56,0.02,1.01,16.02,5.74,2.06,0.0,0.54,3.57,3.74,0.0,0.0,9.56,-0.61,0.19,0.0,1.3,0.0,0.0,0.22,-0.79,0.0,0.0,9.43,0.72,0.55,0.0,0.3,0.99,0.29,3.36,2.08,0.73,0.93,26.44,2.02,-0.02,1.66,0.0,0.2,3.58,0.0,3.94,0.0,1.96,5.62,1.17,1.44,0.02,0.65,1.56,1.92,6.03,1.58,1.43,-0.04,0.0,0.55,28.69,0.0,9.68,1.1,-0.22,0.0,2.79,1.29,8.77,60.07,3.94,0.0,1.69,1.53,0.0,4.57,35.7,-0.06,1.04,-0.03,6.0,3.3,11.71,0.0,3.44,0.0,0.24,-0.03,9.61,8.56,1.16,38.02,0.0,4.06,2.21,4.67,8.37,0.76,3.16,0.0,0.0,7.89,0.18,0.0,-0.03,1.84,0.36,1.37,0.0,0.0,0.0,0.06,0.0,0.4,-0.25,1.81,0.0,4.34,0.01,0.0,12.54,0.35,4.11,10.0,0.0,0.0,0.75,0.94,0.0,1.18,2.85,0.52,0.0,35.61,-0.18,0.0,1.7,0.0,4.47,0.0,2.0,0.0,-0.86,-0.66,1.41,19.28,90.19,3.18,0.0,8.55,0.25,6.0,0.0,0.0,5.61,1.45,0.35,1.83,0.0,0.12,12.14,5.72,1.57,4.59,3.81,1.45,1.58,3.32,3.1,2.82,4.53,2.77,0.3,11.34,0.0,-0.13,33.38,4.31,4.89,0.0,33.18,0.0,0.82,12.04,0.0,0.29,0.1,0.0,2.04,41.6,0.0,0.0,0.0,0.92,62.25,5.85,-0.47,0.88,9.39,0.41,1.28,17.69,2.83,20.52,-0.06,-0.03,-0.57,0.0,3.0,1.78,0.0,26.16,16.68,0.89,1.47,6.2,-0.25,0.0,9.79,0.35,-0.19,0.0,1.27
t10,10.5,0.18,12.87,0.42,1.06,0.0,0.76,0.0,0.0,0.13,0.0,-0.04,4.36,0.01,77.02,0.0,0.0,0.25,11.25,0.04,0.0,1.7,0.0,0.0,0.44,0.0,0.0,0.0,0.03,-0.05,4.65,0.0,0.0,8.98,0.0,0.0,4.99,1.15,1.04,0.0,0.0,1.04,6.63,0.0,0.76,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,3.5,0.0,0.2,0.0,0.1,0.28,8.08,0.99,1.53,1.37,0.0,0.02,-0.36,0.0,0.2,0.0,0.73,0.05,-0.03,0.0,0.5,0.0,0.6,0.28,7.44,2.98,0.0,0.1,0.0,0.0,8.32,0.0,6.07,1.08,0.25,0.0,0.42,1.25,2.8,17.89,3.74,0.0,-0.09,0.81,0.0,0.93,9.53,0.88,0.88,0.0,2.01,0.85,2.13,0.0,0.0,0.0,0.1,0.0,0.13,5.52,0.0,10.1,0.0,2.15,1.48,2.52,2.21,0.0,0.22,0.0,0.0,2.76,0.0,0.0,-0.06,-0.7,4.08,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.63,1.54,0.0,1.71,0.0,0.0,1.99,-0.12,0.0,1.7,0.0,0.0,-0.69,0.0,0.0,0.15,0.53,-0.01,0.0,13.08,0.0,0.0,-0.07,-0.12,1.27,0.0,0.2,0.0,2.46,-1.06,0.03,6.93,34.19,-0.03,0.0,4.87,0.1,6.07,0.05,0.0,0.42,0.09,0.0,7.73,0.0,0.0,2.06,4.06,0.18,0.44,1.64,0.0,0.64,0.18,0.5,2.88,0.44,0.7,0.18,2.84,0.0,0.0,8.47,0.84,1.09,0.0,10.29,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.85,10.92,0.0,0.0,0.0,0.0,21.75,2.74,0.03,0.1,3.18,0.0,1.29,20.97,0.68,9.85,0.0,0.05,-0.72,0.0,0.45,0.27,0.0,12.48,18.54,0.15,0.37,2.18,0.0,0.0,4.31,0.0,1.14,0.0,0.0
