t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,33.0,3.0,77.0,4.0,0.0,269.0,91.0,271.0,92.0,50.0,5562.0,0.0,39.0,2147.0,2015.0,69.0,0.0,70.0,10.0,4806.0,457.0,27.0,33.0,0.0,14.0,94.0,1062.0,2892.0,29.0,2.0,124.0,2.0,967.0,46.0,228.0,1008.0,70.0,1.0,12.0,0.0,0.0,0.0,29023.0,3.0,80.0,777.0,17.0,0.0,212.0,533.0,8.0,0.0,0.0,0.0,0.0,202.0,199567.0,3.0,908.0,52.0,21899.0,16.0,14.0,13.0,327.0,6.0,1.0,25.0,0.0,4433.0,192491.0,28.0,50.0,176.0,176.0,4.0,31.0,0.0,16619.0,3.0,39.0,5.0,50.0,4158.0,22.0,53.0,0.0,7.0,122.0,648.0,529.0,18.0,124.0,1091.0,313.0,132.0,13.0,100.0,0.0,114.0,215621.0,58.0,50.0,0.0,11972.0,3.0,633.0,292.0,100.0,0.0,196.0,74.0,13.0,22.0,115.0,1233.0,922.0,0.0,43.0,4.0,12.0,3.0,245.0,0.0,10.0,1351.0,1.0,85.0,3526.0,25.0,0.0,0.0,20.0,8.0,0.0,3.0,10.0,0.0,92.0,30.0,54.0,0.0,18.0,375.0,3.0,1352.0,66.0,14.0,0.0,269.0,0.0,262.0,3.0,34.0,364.0,0.0,12.0,8.0,0.0,5.0,86.0,55.0,15.0,0.0,135.0,442.0,0.0,38.0,29.0,9412.0,419.0,4.0,13.0,64.0,627.0,0.0,0.0,73.0,95.0,333.0,41.0,42.0,17.0,511.0,311.0,14.0,408.0,86546.0,11.0,145.0,45282.0,0.0,0.0,9.0,13.0,1.0,5.0,8.0,3125.0,0.0,17.0,28.0,7.0,264.0,5.0,12.0,18.0,0.0,0.0,1.0,37.0,236.0,31.0,30.0,0.0,0.0,0.0,0.0,352.0,28612.0,6.0,0.0,0.0,0.0,21.0,18.0,185934.0,30.0,27.0,36.0,0.0,0.0,2.0,569.0,60.0,321.0,1043.0,9.0,117.0,42.0,154.0,14.0,46.0,0.0,10.0,37714.0,18.0,1.0,560.0,167.0,1.0,18.0,0.0,75.0
t2,476.0,96.0,838.0,108.0,33.0,324.0,1094.0,2119.0,716.0,71.0,23897.0,0.0,501.0,22732.0,23308.0,1056.0,0.0,279.0,198.0,39782.0,12262.0,101.0,40.0,9.0,202.0,709.0,4705.0,13775.0,272.0,164.0,1343.0,72.0,2009.0,284.0,1160.0,5652.0,379.0,0.0,58.0,10.0,1.0,18.0,204539.0,41.0,480.0,6218.0,197.0,0.0,2915.0,8421.0,0.0,20.0,2.0,28.0,30.0,1230.0,537535.0,3.0,4842.0,307.0,180508.0,105.0,112.0,48.0,470.0,169.0,108.0,848.0,68.0,33407.0,235371.0,640.0,288.0,2711.0,1062.0,93.0,273.0,0.0,130116.0,90.0,504.0,133.0,313.0,31677.0,60.0,451.0,0.0,40.0,1445.0,2195.0,7363.0,498.0,1397.0,13457.0,2203.0,99.0,147.0,249.0,1.0,1121.0,639691.0,600.0,1254.0,9.0,66840.0,4.0,4618.0,4167.0,1139.0,59.0,2604.0,605.0,396.0,297.0,732.0,11265.0,2777.0,5.0,304.0,174.0,344.0,17.0,3638.0,0.0,291.0,16213.0,7.0,531.0,24392.0,221.0,0.0,0.0,147.0,60.0,0.0,27.0,57.0,6.0,827.0,746.0,913.0,7.0,358.0,2795.0,146.0,10787.0,299.0,255.0,15.0,667.0,0.0,1934.0,4.0,120.0,3522.0,0.0,623.0,66.0,45.0,51.0,1035.0,507.0,580.0,0.0,1196.0,2903.0,31.0,359.0,682.0,69958.0,2036.0,88.0,14.0,1355.0,3741.0,66.0,89.0,1005.0,702.0,846.0,897.0,818.0,165.0,10605.0,1453.0,79.0,2756.0,25173.0,130.0,1186.0,48660.0,0.0,0.0,91.0,33.0,52.0,31.0,411.0,22095.0,0.0,461.0,198.0,60.0,2891.0,328.0,108.0,38.0,118.0,8.0,81.0,350.0,1983.0,334.0,318.0,0.0,5.0,20.0,0.0,769.0,252203.0,319.0,0.0,28.0,0.0,420.0,241.0,322106.0,360.0,439.0,215.0,0.0,161.0,122.0,5118.0,451.0,4749.0,8869.0,311.0,910.0,1114.0,2373.0,115.0,351.0,0.0,34.0,163695.0,670.0,8.0,7302.0,970.0,110.0,179.0,21.0,808.0
t3,2736.0,325.0,3782.0,372.0,103.0,236.0,4493.0,6397.0,1172.0,667.0,19093.0,4.0,1711.0,77237.0,106311.0,1636.0,1.0,1917.0,634.0,89062.0,90270.0,38.0,92.0,53.0,883.0,3859.0,7689.0,11078.0,517.0,445.0,8352.0,828.0,1003.0,770.0,2179.0,10444.0,2149.0,173.0,347.0,129.0,2.0,63.0,293905.0,268.0,1794.0,16119.0,539.0,0.0,8715.0,30157.0,4.0,54.0,1.0,57.0,89.0,2290.0,639590.0,29.0,5004.0,808.0,274216.0,475.0,41.0,456.0,324.0,588.0,433.0,4328.0,100.0,55488.0,90892.0,3554.0,1225.0,7576.0,2320.0,163.0,527.0,0.0,226093.0,581.0,2015.0,1043.0,1378.0,71706.0,107.0,673.0,12.0,27.0,3852.0,2275.0,19974.0,3388.0,5954.0,33380.0,5307.0,32.0,769.0,606.0,77.0,4674.0,950339.0,1525.0,2331.0,54.0,50471.0,96.0,12133.0,27316.0,5757.0,593.0,8644.0,3217.0,770.0,1186.0,757.0,24522.0,3597.0,58.0,1282.0,806.0,1520.0,34.0,13753.0,62.0,1645.0,46780.0,319.0,1539.0,38096.0,1313.0,0.0,4.0,605.0,13.0,2.0,74.0,359.0,20.0,3348.0,1020.0,3746.0,249.0,1093.0,3710.0,980.0,24227.0,1752.0,487.0,310.0,1805.0,0.0,8021.0,38.0,211.0,18362.0,46.0,2770.0,531.0,304.0,123.0,5249.0,2466.0,3724.0,2.0,4841.0,5419.0,193.0,639.0,2977.0,137499.0,4288.0,482.0,21.0,6877.0,9849.0,1179.0,242.0,5474.0,1484.0,231.0,5251.0,4668.0,904.0,36429.0,2720.0,295.0,5467.0,3751.0,709.0,1836.0,8861.0,25.0,49.0,422.0,128.0,30.0,25.0,3234.0,28478.0,86.0,1460.0,455.0,238.0,7160.0,1814.0,381.0,14.0,173.0,8.0,722.0,676.0,9079.0,1492.0,2468.0,95.0,19.0,80.0,5.0,1302.0,551262.0,2321.0,20.0,261.0,66.0,2106.0,1827.0,202014.0,1530.0,1519.0,1045.0,14.0,1693.0,1104.0,11267.0,1768.0,19226.0,17358.0,568.0,3459.0,7884.0,8890.0,312.0,1325.0,17.0,483.0,118440.0,3335.0,43.0,18409.0,2590.0,426.0,503.0,233.0,3214.0
t4,6564.0,1206.0,9838.0,1055.0,390.0,22.0,9851.0,6102.0,1267.0,1984.0,6423.0,23.0,3438.0,79290.0,258958.0,1452.0,8.0,2805.0,1706.0,65518.0,78621.0,528.0,104.0,176.0,1916.0,4491.0,5092.0,2847.0,1370.0,765.0,37133.0,2212.0,241.0,1352.0,1043.0,6904.0,5587.0,395.0,911.0,198.0,30.0,214.0,123587.0,306.0,2483.0,18646.0,1328.0,33.0,7250.0,25573.0,21.0,528.0,0.0,208.0,50.0,1140.0,311820.0,112.0,2218.0,644.0,111104.0,1487.0,169.0,1914.0,290.0,2066.0,1009.0,15010.0,186.0,25723.0,20529.0,8874.0,3574.0,5897.0,2001.0,253.0,791.0,2.0,110177.0,1261.0,2996.0,3001.0,4423.0,57489.0,217.0,720.0,8.0,258.0,2991.0,1094.0,18816.0,11629.0,8046.0,29264.0,6306.0,122.0,954.0,640.0,218.0,8632.0,620677.0,6670.0,1567.0,138.0,13891.0,76.0,13056.0,119061.0,6513.0,2573.0,8525.0,4768.0,2451.0,2566.0,192.0,14525.0,1945.0,231.0,2423.0,1692.0,4314.0,45.0,31519.0,699.0,4388.0,36301.0,1281.0,1784.0,16160.0,4162.0,2.0,18.0,953.0,50.0,3.0,82.0,2480.0,2.0,4991.0,1095.0,4228.0,1462.0,1486.0,2276.0,2153.0,15714.0,3799.0,814.0,788.0,1199.0,2.0,27295.0,284.0,171.0,43437.0,132.0,4253.0,817.0,734.0,180.0,8860.0,10821.0,10133.0,58.0,12750.0,4146.0,607.0,1055.0,3386.0,90531.0,3978.0,1438.0,39.0,15472.0,9254.0,2343.0,453.0,16536.0,1865.0,31.0,14218.0,5831.0,2193.0,30034.0,1757.0,393.0,5638.0,686.0,573.0,1470.0,1822.0,302.0,98.0,1094.0,530.0,341.0,32.0,5339.0,11677.0,294.0,4028.0,715.0,361.0,5796.0,5918.0,558.0,66.0,149.0,28.0,1824.0,410.0,22794.0,1366.0,13189.0,702.0,79.0,64.0,78.0,881.0,358873.0,7120.0,1.0,1256.0,154.0,4723.0,4262.0,65933.0,2273.0,2452.0,3995.0,51.0,3875.0,3828.0,8864.0,4218.0,19267.0,8189.0,1044.0,5724.0,39949.0,7784.0,373.0,5350.0,110.0,2299.0,33844.0,8788.0,267.0,12838.0,4291.0,1153.0,1254.0,1482.0,2901.0
t5,8541.0,3167.0,13776.0,1642.0,1382.0,6.0,9459.0,2174.0,881.0,2536.0,2099.0,27.0,4999.0,31978.0,316459.0,796.0,39.0,1855.0,4567.0,22871.0,13938.0,729.0,97.0,655.0,2268.0,2020.0,2492.0,779.0,2138.0,1209.0,93427.0,2835.0,115.0,2291.0,321.0,2432.0,9393.0,494.0,1288.0,349.0,105.0,216.0,30105.0,96.0,2030.0,14062.0,1610.0,77.0,2914.0,8274.0,19.0,804.0,132.0,612.0,1.0,377.0,90231.0,546.0,933.0,534.0,24861.0,2511.0,212.0,2306.0,25.0,2664.0,1340.0,28362.0,134.0,6635.0,4991.0,7875.0,2950.0,2699.0,1263.0,281.0,845.0,6.0,31283.0,1502.0,1833.0,3830.0,5147.0,22628.0,582.0,437.0,266.0,774.0,1366.0,393.0,10398.0,21914.0,3131.0,15548.0,4219.0,181.0,995.0,231.0,148.0,11186.0,228724.0,11291.0,158.0,230.0,3089.0,106.0,6955.0,224199.0,2854.0,5127.0,3168.0,4046.0,2471.0,3368.0,17.0,5177.0,960.0,201.0,1780.0,1514.0,5932.0,9.0,40870.0,1131.0,5958.0,12755.0,2558.0,2226.0,4626.0,6536.0,10.0,83.0,1407.0,26.0,96.0,228.0,6619.0,7.0,4920.0,1430.0,2427.0,1970.0,1347.0,616.0,1520.0,5388.0,2870.0,190.0,1288.0,537.0,9.0,54974.0,747.0,373.0,39801.0,37.0,1702.0,1088.0,1133.0,97.0,5046.0,15138.0,9497.0,72.0,21390.0,1156.0,478.0,1751.0,2047.0,30453.0,2776.0,2058.0,96.0,14110.0,3679.0,3074.0,1390.0,34542.0,1071.0,0.0,16045.0,2496.0,3161.0,8418.0,652.0,1341.0,3089.0,318.0,238.0,622.0,474.0,974.0,156.0,840.0,1564.0,1082.0,0.0,1534.0,2938.0,441.0,8645.0,901.0,566.0,2300.0,11304.0,460.0,715.0,319.0,317.0,3631.0,51.0,30958.0,1004.0,19557.0,1352.0,124.0,0.0,202.0,191.0,114431.0,15934.0,0.0,2006.0,117.0,5989.0,8015.0,17191.0,1025.0,2780.0,8171.0,52.0,3833.0,8201.0,3802.0,6551.0,7347.0,2658.0,1330.0,3799.0,77393.0,2984.0,402.0,11896.0,367.0,5838.0,8526.0,8637.0,890.0,4158.0,4087.0,914.0,1339.0,4019.0,1556.0
t6,5475.0,3593.0,9089.0,2225.0,1920.0,2.0,5756.0,533.0,447.0,2204.0,527.0,182.0,4929.0,9584.0,192218.0,219.0,213.0,706.0,8008.0,6842.0,1605.0,395.0,19.0,1028.0,2079.0,557.0,888.0,335.0,2602.0,1720.0,87136.0,1893.0,42.0,2716.0,104.0,969.0,6490.0,504.0,1421.0,724.0,314.0,227.0,6993.0,30.0,766.0,6765.0,1016.0,130.0,649.0,2177.0,112.0,581.0,212.0,960.0,1.0,52.0,22629.0,1421.0,158.0,288.0,5334.0,1633.0,238.0,1152.0,22.0,1468.0,1074.0,24134.0,5.0,1572.0,1399.0,3073.0,2008.0,894.0,671.0,133.0,426.0,62.0,8865.0,1211.0,981.0,2130.0,2291.0,6288.0,885.0,225.0,195.0,764.0,519.0,135.0,3175.0,18105.0,516.0,6943.0,2162.0,208.0,311.0,130.0,109.0,6925.0,66356.0,9956.0,0.0,239.0,1116.0,191.0,2761.0,145291.0,713.0,4951.0,1448.0,2323.0,1895.0,3116.0,0.0,1267.0,304.0,181.0,475.0,1023.0,4137.0,16.0,27500.0,371.0,5504.0,2553.0,3855.0,1254.0,1206.0,4473.0,59.0,109.0,1861.0,32.0,102.0,205.0,7024.0,5.0,4131.0,1443.0,939.0,907.0,623.0,159.0,1210.0,1924.0,1494.0,120.0,2268.0,140.0,0.0,52182.0,1105.0,517.0,19019.0,4.0,250.0,846.0,880.0,38.0,1241.0,7920.0,5956.0,52.0,19491.0,392.0,137.0,921.0,613.0,8028.0,824.0,1262.0,49.0,5648.0,977.0,2182.0,2393.0,48723.0,490.0,0.0,9627.0,1155.0,2794.0,2164.0,48.0,1407.0,1624.0,190.0,128.0,191.0,150.0,577.0,235.0,444.0,2150.0,955.0,6.0,222.0,488.0,1281.0,8534.0,785.0,506.0,578.0,13524.0,309.0,1001.0,553.0,692.0,3720.0,12.0,22862.0,565.0,8150.0,1234.0,26.0,3.0,347.0,134.0,28783.0,19418.0,0.0,1902.0,175.0,3638.0,11351.0,4671.0,702.0,2293.0,6567.0,214.0,2499.0,7072.0,1063.0,7887.0,1390.0,504.0,1502.0,1100.0,46543.0,910.0,154.0,17949.0,703.0,4563.0,1868.0,5323.0,1328.0,957.0,2595.0,548.0,954.0,3246.0,520.0
t7,1712.0,1392.0,4030.0,1564.0,1459.0,0.0,1928.0,233.0,145.0,1137.0,163.0,95.0,2902.0,2261.0,78820.0,103.0,110.0,173.0,8367.0,1671.0,164.0,97.0,3.0,841.0,2375.0,115.0,454.0,143.0,1398.0,1462.0,35573.0,550.0,3.0,2567.0,11.0,330.0,2419.0,437.0,1413.0,603.0,463.0,373.0,1286.0,6.0,286.0,2788.0,349.0,109.0,143.0,334.0,17.0,124.0,212.0,739.0,1.0,0.0,5395.0,2844.0,4.0,50.0,1073.0,1117.0,181.0,275.0,0.0,659.0,862.0,11544.0,1.0,290.0,430.0,979.0,616.0,75.0,403.0,174.0,97.0,50.0,2765.0,674.0,519.0,1131.0,765.0,1974.0,1105.0,147.0,31.0,785.0,199.0,185.0,899.0,8665.0,35.0,2996.0,943.0,16.0,165.0,80.0,165.0,2517.0,18308.0,4992.0,0.0,401.0,372.0,369.0,1133.0,44197.0,428.0,2227.0,357.0,623.0,740.0,1833.0,0.0,383.0,107.0,100.0,153.0,830.0,2185.0,5.0,13253.0,281.0,3688.0,474.0,3649.0,503.0,217.0,1511.0,17.0,37.0,1797.0,5.0,16.0,176.0,3785.0,238.0,2115.0,980.0,156.0,241.0,407.0,100.0,638.0,350.0,474.0,103.0,815.0,276.0,3.0,24211.0,396.0,543.0,6455.0,0.0,79.0,483.0,406.0,17.0,496.0,2253.0,2243.0,44.0,10429.0,52.0,169.0,434.0,117.0,2144.0,190.0,914.0,21.0,1916.0,290.0,554.0,1914.0,37080.0,172.0,0.0,3705.0,454.0,1366.0,495.0,0.0,703.0,701.0,79.0,161.0,99.0,51.0,216.0,105.0,344.0,1998.0,639.0,0.0,97.0,40.0,1183.0,3968.0,274.0,237.0,230.0,7745.0,45.0,378.0,545.0,557.0,1986.0,0.0,10769.0,176.0,1914.0,739.0,1.0,0.0,480.0,50.0,6232.0,15062.0,0.0,1181.0,60.0,1287.0,10309.0,1679.0,347.0,1093.0,2952.0,650.0,685.0,3021.0,862.0,6623.0,295.0,145.0,971.0,166.0,13574.0,257.0,219.0,15475.0,856.0,2255.0,561.0,2032.0,1362.0,413.0,1287.0,211.0,836.0,1219.0,116.0
t8,487.0,289.0,1769.0,563.0,406.0,0.0,523.0,114.0,83.0,619.0,139.0,156.0,1286.0,734.0,27995.0,52.0,61.0,45.0,5037.0,485.0,7.0,9.0,0.0,270.0,1524.0,0.0,135.0,65.0,670.0,788.0,10283.0,137.0,0.0,1048.0,0.0,274.0,965.0,321.0,929.0,106.0,330.0,210.0,354.0,11.0,105.0,635.0,82.0,74.0,38.0,160.0,13.0,87.0,245.0,447.0,0.0,0.0,1345.0,1525.0,14.0,2.0,454.0,922.0,215.0,2.0,0.0,278.0,737.0,3724.0,3.0,135.0,73.0,170.0,194.0,47.0,172.0,182.0,38.0,13.0,663.0,323.0,145.0,315.0,153.0,689.0,728.0,129.0,100.0,171.0,24.0,329.0,303.0,3207.0,9.0,1179.0,421.0,2.0,121.0,58.0,186.0,1029.0,5897.0,1672.0,0.0,346.0,164.0,256.0,672.0,11200.0,236.0,588.0,27.0,88.0,159.0,799.0,0.0,100.0,0.0,121.0,76.0,365.0,509.0,0.0,5615.0,66.0,1412.0,42.0,1787.0,223.0,20.0,283.0,1.0,0.0,1366.0,3.0,0.0,113.0,1598.0,175.0,730.0,189.0,14.0,25.0,363.0,15.0,154.0,138.0,254.0,20.0,136.0,45.0,0.0,6922.0,260.0,405.0,2322.0,0.0,91.0,423.0,94.0,27.0,67.0,383.0,440.0,0.0,4557.0,8.0,53.0,103.0,60.0,439.0,35.0,267.0,0.0,597.0,137.0,166.0,909.0,18103.0,17.0,0.0,1224.0,239.0,610.0,226.0,0.0,451.0,391.0,7.0,82.0,14.0,11.0,160.0,19.0,134.0,854.0,76.0,11.0,34.0,25.0,239.0,1968.0,143.0,223.0,14.0,2954.0,14.0,120.0,900.0,232.0,358.0,0.0,4362.0,15.0,260.0,235.0,0.0,11.0,447.0,0.0,1322.0,6606.0,0.0,546.0,28.0,549.0,6741.0,501.0,64.0,402.0,1101.0,350.0,267.0,1677.0,724.0,4200.0,76.0,34.0,404.0,8.0,3237.0,40.0,60.0,7641.0,643.0,630.0,146.0,948.0,640.0,138.0,635.0,144.0,750.0,418.0,102.0
t9,242.0,47.0,857.0,182.0,149.0,0.0,83.0,37.0,19.0,166.0,36.0,284.0,305.0,170.0,9601.0,32.0,15.0,35.0,2368.0,39.0,2.0,5.0,10.0,82.0,585.0,0.0,27.0,37.0,189.0,198.0,2284.0,20.0,0.0,638.0,0.0,37.0,455.0,218.0,196.0,27.0,95.0,154.0,52.0,5.0,30.0,138.0,10.0,168.0,10.0,24.0,4.0,53.0,318.0,178.0,0.0,0.0,175.0,607.0,19.0,0.0,38.0,277.0,23.0,0.0,0.0,114.0,107.0,812.0,0.0,23.0,3.0,38.0,109.0,97.0,9.0,145.0,0.0,6.0,140.0,127.0,20.0,128.0,1.0,124.0,252.0,78.0,67.0,89.0,0.0,176.0,23.0,940.0,0.0,406.0,152.0,3.0,93.0,57.0,124.0,546.0,1895.0,547.0,0.0,219.0,30.0,12.0,147.0,2269.0,129.0,150.0,5.0,38.0,135.0,116.0,0.0,29.0,0.0,86.0,36.0,160.0,78.0,0.0,1708.0,58.0,497.0,1.0,548.0,131.0,0.0,94.0,101.0,2.0,1375.0,0.0,0.0,3.0,462.0,17.0,60.0,17.0,0.0,7.0,140.0,0.0,0.0,14.0,46.0,0.0,104.0,78.0,0.0,1802.0,47.0,273.0,718.0,0.0,0.0,130.0,57.0,0.0,3.0,48.0,125.0,0.0,1371.0,0.0,0.0,93.0,0.0,161.0,0.0,206.0,0.0,275.0,8.0,54.0,455.0,6543.0,1.0,0.0,382.0,60.0,95.0,26.0,0.0,300.0,158.0,0.0,0.0,0.0,29.0,43.0,0.0,89.0,306.0,2.0,42.0,0.0,0.0,50.0,453.0,32.0,83.0,16.0,946.0,0.0,40.0,472.0,24.0,22.0,7.0,1685.0,0.0,87.0,57.0,1.0,6.0,120.0,0.0,429.0,3264.0,0.0,155.0,4.0,220.0,4318.0,150.0,11.0,70.0,153.0,140.0,240.0,863.0,197.0,2231.0,1.0,19.0,157.0,26.0,649.0,3.0,10.0,3702.0,593.0,81.0,122.0,209.0,121.0,36.0,108.0,78.0,266.0,19.0,23.0
t10,77.0,6.0,186.0,98.0,22.0,0.0,59.0,0.0,0.0,4.0,8.0,73.0,99.0,69.0,3175.0,6.0,2.0,13.0,1509.0,36.0,0.0,0.0,0.0,20.0,114.0,0.0,0.0,15.0,58.0,108.0,517.0,17.0,0.0,284.0,0.0,0.0,76.0,229.0,154.0,11.0,99.0,39.0,29.0,6.0,0.0,64.0,4.0,40.0,39.0,10.0,0.0,7.0,247.0,62.0,0.0,0.0,36.0,120.0,0.0,0.0,26.0,60.0,0.0,0.0,0.0,12.0,5.0,86.0,0.0,10.0,0.0,0.0,23.0,20.0,0.0,59.0,0.0,2.0,42.0,121.0,21.0,13.0,10.0,18.0,76.0,80.0,0.0,41.0,0.0,109.0,0.0,170.0,0.0,60.0,169.0,0.0,23.0,48.0,48.0,182.0,467.0,75.0,0.0,195.0,25.0,0.0,58.0,536.0,0.0,74.0,0.0,0.0,52.0,49.0,0.0,0.0,0.0,61.0,0.0,30.0,44.0,0.0,494.0,0.0,240.0,0.0,212.0,49.0,0.0,43.0,6.0,0.0,596.0,0.0,0.0,4.0,149.0,12.0,8.0,0.0,0.0,0.0,101.0,0.0,0.0,3.0,2.0,0.0,41.0,51.0,0.0,448.0,0.0,127.0,160.0,0.0,0.0,37.0,0.0,0.0,6.0,4.0,18.0,0.0,409.0,0.0,0.0,7.0,1.0,46.0,0.0,157.0,0.0,17.0,0.0,3.0,220.0,2056.0,0.0,0.0,101.0,6.0,0.0,0.0,0.0,102.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,67.0,223.0,0.0,0.0,0.0,0.0,90.0,252.0,0.0,29.0,4.0,197.0,16.0,7.0,633.0,0.0,2.0,0.0,433.0,0.0,34.0,0.0,0.0,0.0,30.0,0.0,38.0,1197.0,0.0,74.0,17.0,62.0,1733.0,32.0,10.0,4.0,62.0,66.0,30.0,379.0,140.0,577.0,0.0,5.0,42.0,4.0,66.0,0.0,33.0,1652.0,264.0,0.0,39.0,123.0,5.0,3.0,3.0,0.0,145.0,22.0,33.0
