t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,0.35,0.0,2.0,0.0,-0.03,13.63,0.78,3.53,1.32,0.33,99.01,0.0,1.46,30.59,37.36,1.58,0.0,-0.13,0.28,91.74,-3.51,0.0,0.85,0.9,-0.05,0.72,14.73,29.47,3.51,0.47,1.08,0.59,10.93,0.04,0.19,19.57,3.13,0.29,0.05,0.0,0.0,-0.08,600.21,-0.07,0.39,6.19,0.06,0.0,4.79,9.79,0.5,0.0,0.0,0.0,0.2,0.37,2002.71,0.35,13.77,0.0,385.21,0.52,0.1,0.0,5.08,0.0,-0.09,0.03,-0.12,63.08,1056.38,0.2,0.79,2.52,2.4,0.25,0.12,0.0,327.68,-1.5,0.91,0.93,0.23,69.21,0.18,2.61,0.0,0.0,0.3,13.96,10.55,-0.93,4.07,19.39,0.65,1.7,0.52,0.64,0.03,0.61,2014.12,0.25,1.33,0.05,122.3,1.53,16.25,6.6,1.71,-0.11,2.34,2.47,0.63,1.03,1.82,18.42,14.51,0.0,0.82,0.42,-0.03,0.09,2.06,0.0,0.21,20.33,0.0,2.74,64.55,0.4,0.0,0.0,-0.21,0.49,0.0,0.36,2.13,0.0,2.13,3.11,3.87,0.14,0.25,5.75,0.4,26.99,1.29,1.99,0.15,2.03,0.0,0.09,0.54,0.06,0.05,0.0,1.54,2.19,0.0,0.06,-0.51,2.1,-0.39,0.1,-0.34,6.74,0.1,0.0,0.41,163.57,9.34,2.24,0.0,0.85,0.37,0.0,0.0,0.87,2.31,0.16,-0.38,3.28,0.0,14.54,0.93,-0.1,5.17,974.52,0.05,3.37,835.34,0.0,0.66,0.0,-0.03,-0.09,0.39,-0.48,44.92,0.0,1.77,-0.11,0.24,0.71,0.49,0.0,0.0,0.0,0.16,-0.45,6.44,2.73,0.2,-0.28,0.67,0.0,-0.06,0.08,3.46,511.62,0.14,0.0,1.62,0.0,-0.12,0.49,2054.14,0.18,1.1,0.0,0.0,0.27,0.75,7.62,-1.31,6.02,-0.37,0.0,0.88,2.11,5.91,-0.5,0.0,0.09,-0.14,792.4,1.23,0.0,7.66,1.41,0.29,1.49,0.0,4.12
t2,9.56,1.29,5.3,1.55,1.04,6.15,3.8,30.64,12.0,2.46,461.03,0.0,7.99,425.14,373.91,24.5,0.0,5.73,7.56,733.86,-27.02,0.03,1.14,-0.1,-0.26,16.53,108.24,249.1,8.32,1.45,24.16,4.28,29.59,2.28,22.94,116.22,6.2,6.7,0.68,0.25,-0.21,-0.51,4461.98,-0.13,4.18,120.05,2.39,0.0,67.86,140.58,-0.15,0.0,0.0,1.28,2.26,13.6,11034.86,0.93,74.77,4.31,3637.49,5.07,0.39,0.28,13.24,2.2,1.71,2.42,-0.44,539.91,4325.31,4.11,11.77,46.29,20.56,0.66,0.28,0.0,2470.25,18.87,12.96,6.49,6.34,549.99,0.15,11.65,0.15,0.25,31.98,59.13,108.42,13.58,41.85,227.01,9.46,6.65,1.07,3.95,-0.15,10.84,12072.98,9.98,17.79,0.1,787.76,11.14,114.83,28.47,31.0,10.01,49.86,24.28,10.9,3.24,18.71,170.06,43.22,-0.1,11.4,7.82,5.5,0.3,34.97,0.0,0.23,338.79,1.67,6.0,463.01,7.21,0.0,0.0,3.82,2.96,-0.06,0.33,4.36,0.0,16.21,6.09,21.66,-1.1,3.4,40.45,4.67,184.65,9.07,1.95,0.96,17.87,0.0,18.81,3.28,0.18,67.37,0.01,18.48,2.61,1.07,0.09,30.59,12.67,11.08,0.01,12.61,45.53,0.45,0.3,6.11,1286.49,35.39,0.17,0.15,3.4,61.2,2.37,0.71,33.79,3.58,6.36,10.17,21.23,6.76,179.7,17.53,2.13,23.61,866.08,-0.09,10.48,1060.34,0.0,0.0,3.31,0.14,1.4,2.41,8.0,405.89,0.05,6.5,5.33,-0.57,45.94,8.39,0.26,0.0,1.31,1.25,2.55,7.67,34.3,4.95,4.86,1.23,0.08,0.17,0.0,5.01,4456.45,5.23,0.0,0.12,0.0,4.82,7.21,7547.91,5.85,2.71,3.92,0.0,1.23,11.96,75.15,11.74,40.54,131.53,1.16,12.93,17.23,46.22,4.24,4.8,-0.13,8.42,3815.36,21.15,-0.07,114.98,16.19,-1.14,5.02,0.25,6.42
t3,52.62,7.48,38.89,4.21,5.28,1.06,33.31,112.42,20.75,12.13,442.78,1.57,35.74,1419.8,1573.19,44.68,0.0,29.38,36.97,1959.95,102.21,0.43,0.09,1.35,12.79,74.22,163.04,239.81,20.36,3.18,158.43,22.44,14.46,12.79,28.58,227.11,33.24,10.05,7.63,1.91,-0.27,7.15,7093.43,0.56,37.38,297.43,15.47,0.77,193.89,672.18,1.1,2.47,2.14,1.01,0.29,26.49,14966.05,1.1,101.54,13.81,6058.04,11.16,0.87,13.57,8.03,8.03,13.04,52.05,-0.09,1028.19,2216.81,46.16,46.09,151.06,48.36,0.86,1.77,0.0,4698.59,20.22,41.73,20.63,4.01,1297.68,0.08,18.56,1.71,3.37,50.9,76.09,358.17,55.28,119.46,604.02,31.94,6.73,10.73,8.48,0.66,65.12,20405.38,31.25,52.37,-0.19,773.3,11.36,251.74,225.35,106.31,21.45,157.66,100.5,30.7,6.56,22.59,420.4,46.61,-0.82,33.61,13.23,10.66,-0.34,191.77,0.06,20.2,1007.74,8.14,10.31,801.9,25.8,0.23,0.0,10.79,7.21,0.06,2.1,17.54,0.0,28.55,11.28,76.75,3.39,17.62,63.69,24.09,466.39,34.63,9.21,3.5,39.12,0.0,66.54,12.66,3.14,235.9,0.06,50.16,6.32,-0.08,0.23,128.8,37.92,63.11,0.3,80.47,131.44,1.31,2.75,59.7,2845.72,33.44,9.2,0.46,26.56,155.77,7.42,3.75,133.14,28.09,4.07,56.72,79.49,10.68,691.81,43.84,7.13,82.77,133.09,-0.26,35.33,230.84,-0.63,-0.03,9.42,3.88,6.57,1.71,54.13,786.12,1.47,41.49,3.24,0.87,115.11,34.39,10.97,0.13,6.05,0.75,7.64,9.28,162.41,26.9,46.94,0.78,3.51,0.0,0.94,2.77,11271.31,25.14,0.0,1.97,0.0,35.57,20.84,5048.74,18.92,19.24,29.39,0.51,11.11,32.2,216.99,46.36,177.54,268.42,0.03,71.63,133.36,109.43,2.82,24.31,4.27,26.99,3091.8,54.13,-0.03,349.79,53.33,11.71,23.72,1.02,49.99
t4,188.07,14.39,94.87,18.14,20.6,0.55,119.01,137.12,25.07,27.84,169.34,0.85,71.72,1680.06,4044.58,20.23,0.0,60.73,70.86,1679.48,626.13,1.84,0.18,2.6,24.72,121.38,80.96,63.56,34.56,22.99,595.9,52.21,12.81,34.95,21.96,160.44,128.37,15.06,18.7,2.25,1.9,8.61,3242.6,-0.12,53.61,423.4,17.67,8.35,166.67,669.46,3.75,10.86,3.17,16.54,1.88,23.53,8223.82,16.59,53.43,11.76,2936.87,15.69,0.95,43.86,0.22,15.84,18.21,187.4,0.11,641.4,579.86,104.24,92.91,151.82,52.23,0.59,2.91,0.0,2729.49,39.72,79.86,50.25,41.36,1454.61,20.54,11.38,0.92,15.42,49.97,43.53,354.28,142.86,140.78,647.81,110.71,1.56,23.9,15.4,5.06,143.31,15380.67,83.24,46.27,3.27,230.33,10.72,225.37,1662.57,152.43,21.8,187.99,150.58,41.19,21.31,8.59,320.71,25.96,4.37,57.08,19.96,65.08,0.81,462.43,-0.52,50.03,823.92,25.67,22.45,395.31,63.49,1.87,0.82,14.07,-0.01,0.42,3.17,46.87,0.03,60.49,36.0,93.14,16.95,23.34,29.16,65.93,373.85,63.86,13.82,20.21,22.18,0.46,383.53,11.35,3.06,541.88,0.03,65.49,8.68,0.51,0.22,105.63,165.87,114.97,1.5,218.91,78.27,-1.18,4.6,60.94,2205.42,72.28,27.73,0.05,96.54,149.02,22.7,12.98,366.86,44.65,-0.16,148.48,164.17,30.66,740.44,42.26,24.14,103.77,38.53,2.13,58.33,41.45,0.76,0.69,17.54,16.16,9.57,2.06,94.53,314.65,2.44,123.14,9.88,14.01,116.81,78.25,15.14,1.06,11.08,5.16,45.99,3.28,349.36,40.76,186.36,21.03,1.88,0.03,4.13,5.67,8914.14,77.05,0.02,10.07,0.45,109.98,56.82,1666.29,42.36,34.86,48.22,0.53,36.26,98.63,179.03,86.32,333.9,171.65,11.34,74.28,612.77,141.08,1.39,64.93,6.54,52.39,935.34,145.21,0.13,313.88,66.63,28.9,37.04,3.19,56.06
t5,189.55,52.72,218.54,35.52,24.18,0.0,218.84,85.69,13.68,73.25,29.89,1.31,68.6,794.23,5626.33,10.03,1.79,38.41,112.62,749.63,219.45,2.49,4.51,3.81,42.15,30.63,38.49,12.5,56.39,37.33,1509.31,40.46,2.81,77.92,12.29,57.54,184.31,8.16,19.45,9.04,1.12,8.93,858.35,6.65,42.35,303.95,38.31,4.3,50.98,195.81,-0.05,16.19,3.35,19.72,2.3,7.44,2619.21,30.52,16.67,8.94,730.06,34.08,1.59,37.86,0.94,32.13,24.56,474.32,6.24,220.4,112.67,113.15,59.46,46.49,14.72,5.89,13.35,1.28,880.83,34.44,82.45,36.64,74.7,636.54,31.96,11.46,7.05,21.97,34.83,19.28,205.9,370.87,59.74,346.87,149.78,2.0,13.52,8.99,3.86,261.87,6302.57,228.08,14.23,9.34,67.43,1.37,135.42,3641.63,70.42,86.28,99.26,77.52,53.95,42.94,0.17,123.81,33.21,2.27,30.72,29.72,95.28,1.41,700.52,18.97,98.32,287.35,67.27,54.38,94.52,121.51,4.89,0.0,23.45,1.1,0.46,5.52,143.46,1.34,95.24,62.09,45.19,37.57,33.46,14.12,29.5,122.67,77.87,12.45,31.03,14.81,0.0,747.89,13.21,5.87,556.58,0.6,38.63,22.08,5.05,0.59,68.53,190.71,167.94,1.93,422.37,33.58,7.51,24.46,34.19,781.05,55.28,46.86,2.23,162.85,56.18,44.28,20.62,650.14,35.67,-0.38,264.71,62.61,49.73,235.2,21.58,34.06,75.93,4.3,5.74,27.91,9.06,2.17,12.08,24.37,31.16,3.59,0.0,37.07,59.95,3.67,191.94,10.81,17.18,73.43,184.34,13.45,1.29,26.44,10.96,55.71,0.4,439.05,24.11,305.32,19.53,0.73,0.0,8.37,11.25,3151.9,191.19,0.0,38.27,-0.65,131.58,146.87,461.7,43.69,57.73,134.3,4.74,61.03,148.87,104.18,182.15,205.74,36.52,25.3,46.3,1306.52,78.7,8.1,157.37,10.95,80.38,212.02,179.51,4.45,88.44,57.82,36.76,31.41,41.13,27.75
t6,133.42,91.89,250.53,49.18,18.77,0.2,109.55,23.33,8.7,56.05,8.21,5.53,94.39,195.31,4041.3,8.6,4.41,26.09,189.0,215.55,37.09,2.33,0.27,9.42,33.81,4.25,15.97,9.06,43.47,35.26,1379.35,24.17,0.93,48.99,1.19,11.37,97.97,3.25,20.78,8.52,11.16,8.77,232.28,1.73,26.19,192.83,15.66,7.38,13.38,67.87,0.0,20.84,1.34,12.89,1.52,4.43,643.05,47.33,10.29,1.15,155.71,33.15,1.06,12.86,-0.03,35.71,14.33,516.32,8.49,52.76,22.2,29.18,24.31,8.64,3.16,7.34,8.65,2.67,227.63,7.92,50.57,41.29,57.13,188.13,18.06,3.49,5.6,19.06,17.23,8.44,93.13,419.84,18.03,189.7,66.32,3.02,4.98,6.79,2.64,199.43,1990.25,270.16,2.69,7.66,19.22,0.24,70.11,2705.68,20.03,68.85,36.59,31.81,32.53,42.91,2.03,24.59,9.86,1.89,8.3,40.42,106.94,0.27,677.26,24.36,147.81,82.4,84.05,51.75,17.25,81.47,0.74,0.0,34.46,-0.11,0.0,1.39,102.13,3.23,44.71,24.06,7.96,7.52,21.59,10.08,23.78,43.81,45.82,0.18,32.71,4.13,0.0,589.37,15.46,7.3,292.66,1.73,23.62,30.94,16.54,0.0,31.01,120.26,148.67,0.4,426.22,9.55,2.39,25.53,13.45,225.73,21.84,49.91,3.66,101.65,29.89,49.83,25.03,862.87,15.91,0.0,316.66,19.83,63.61,54.92,9.06,36.54,46.12,0.37,11.56,4.46,3.06,11.96,2.58,11.97,39.8,9.41,0.1,13.44,20.87,11.4,177.19,10.28,29.35,33.02,222.57,8.25,7.56,21.77,11.98,72.22,1.33,376.72,11.46,142.73,30.86,0.44,0.64,9.91,11.46,728.98,288.14,0.34,54.23,0.44,78.36,161.15,92.03,17.45,64.97,122.16,18.89,59.31,124.22,40.8,204.39,53.7,16.23,39.06,19.82,781.88,18.46,0.49,223.57,1.52,54.64,62.39,131.1,11.25,28.17,33.96,29.84,9.36,82.42,3.51
t7,85.54,35.2,163.35,52.34,11.51,0.0,49.95,4.89,1.47,27.19,1.99,3.51,63.68,59.77,1910.24,5.88,4.35,13.27,125.23,43.5,6.0,1.57,0.33,21.69,31.51,1.6,1.5,4.63,21.21,28.05,458.08,4.94,0.15,51.77,0.31,7.3,48.48,2.71,25.96,8.74,14.17,14.14,42.56,2.21,9.05,79.73,7.23,21.89,6.45,15.72,0.06,3.37,4.43,16.25,0.0,1.12,158.68,37.55,0.09,0.27,44.76,34.77,2.0,5.95,0.0,18.43,11.75,254.14,3.62,23.97,10.41,8.89,7.07,7.97,0.31,3.17,5.47,0.24,43.25,4.14,7.51,31.73,30.54,41.84,7.73,10.67,0.24,12.83,5.26,0.12,34.83,215.63,0.82,81.85,32.34,0.39,0.78,9.07,10.63,81.19,531.21,131.23,1.04,8.78,7.48,-0.03,40.82,847.11,10.26,26.92,5.25,12.02,5.42,54.07,1.0,8.27,1.99,1.49,0.36,17.5,47.6,0.02,382.71,12.66,72.95,11.29,57.44,33.78,11.52,33.49,0.27,0.4,17.58,-0.03,0.18,0.95,31.43,2.32,27.64,21.0,-0.35,3.4,14.12,1.02,6.96,12.92,11.84,0.0,21.03,3.84,0.1,215.16,15.4,12.83,109.34,2.08,8.93,13.04,14.1,0.38,13.18,16.04,41.84,3.2,310.64,2.81,3.29,20.02,5.9,64.36,8.2,11.23,2.61,28.77,8.06,25.64,11.48,630.71,16.58,0.0,139.12,3.49,45.97,13.38,0.13,38.53,25.07,2.31,7.75,2.11,0.34,2.09,2.63,10.24,34.04,21.75,0.0,0.69,5.4,16.67,108.29,12.41,18.43,9.85,137.53,12.65,3.56,22.31,4.44,36.4,0.0,245.73,-0.01,34.72,8.2,-0.1,2.87,3.98,8.51,194.84,298.48,1.42,16.99,0.35,33.59,186.68,48.29,10.59,43.26,81.24,4.62,23.55,64.38,13.56,130.18,11.17,5.24,9.5,2.12,273.89,13.76,1.31,249.29,21.45,23.43,20.34,39.85,8.26,16.12,21.36,10.88,5.29,50.49,-0.16
t8,28.97,13.37,69.75,23.42,8.59,0.0,13.0,0.28,1.66,10.96,0.69,2.74,34.36,14.34,597.01,0.18,0.96,6.15,77.4,9.52,0.09,4.3,0.06,6.35,25.94,0.15,0.5,0.09,13.69,13.81,152.28,3.46,0.0,22.02,0.3,6.34,13.18,0.06,12.55,1.56,4.77,6.95,16.17,0.07,3.26,41.94,2.27,8.57,0.3,4.3,0.0,6.8,1.09,3.16,0.0,0.0,63.59,20.74,0.37,2.28,7.56,14.66,1.18,0.58,0.0,10.84,1.25,104.93,2.03,6.1,5.3,1.68,3.05,6.86,-0.26,1.91,8.44,-0.48,9.47,8.25,1.72,6.34,10.45,13.21,3.74,-0.34,0.64,8.19,-0.18,1.51,15.69,99.95,1.48,25.35,8.59,0.15,1.02,0.0,3.62,45.75,155.65,52.16,0.0,8.2,2.69,0.0,6.27,157.38,6.6,6.82,2.9,4.84,12.05,49.52,0.3,-1.04,3.55,0.43,0.69,10.94,16.25,-0.21,157.11,0.69,31.41,5.66,39.59,12.73,0.35,12.82,0.0,0.12,21.91,0.0,0.0,5.03,7.27,7.75,16.39,2.2,0.12,0.05,8.76,0.05,0.05,5.76,4.68,0.0,8.96,1.11,0.0,75.87,6.63,12.13,45.34,1.43,0.2,7.77,2.52,-1.07,13.55,4.66,15.95,-0.11,113.55,0.44,0.72,21.36,0.06,13.39,1.1,4.8,0.24,6.08,9.06,10.16,15.43,329.3,0.0,0.0,51.33,0.21,31.27,1.7,0.0,23.09,15.52,1.17,3.84,0.6,0.4,-0.66,-0.03,4.04,27.72,2.48,0.0,0.03,0.86,6.13,36.86,2.1,6.1,1.62,78.2,0.9,0.58,25.27,6.14,14.33,1.13,109.67,0.0,6.09,3.22,2.85,10.57,1.47,3.84,33.17,132.2,4.49,12.24,0.09,9.0,144.29,9.36,2.83,14.62,49.71,6.58,10.9,15.73,5.94,46.13,0.45,2.21,4.6,-0.27,54.69,3.9,0.18,124.72,34.91,4.41,9.18,20.11,16.41,3.08,13.01,3.4,8.65,13.12,0.83
t9,35.73,1.81,34.84,8.32,4.14,0.0,5.87,0.0,0.21,1.93,0.52,1.92,12.98,9.27,170.08,0.0,0.0,2.97,30.24,3.15,0.12,5.8,0.3,2.58,6.99,0.0,0.24,0.15,4.17,13.42,31.27,0.03,0.0,5.63,0.0,1.72,9.89,-0.95,7.27,0.0,5.47,3.34,1.77,0.0,2.43,5.3,1.04,2.76,0.0,1.33,0.15,5.94,0.35,1.65,0.0,0.0,22.79,2.32,0.0,0.2,5.6,7.11,1.11,0.85,0.0,2.0,0.05,29.38,0.32,2.6,-2.11,-0.12,0.95,4.67,0.45,-0.5,6.85,0.16,1.49,1.53,2.12,-0.14,1.71,0.87,0.4,0.07,0.0,0.8,0.87,0.22,-0.28,27.82,0.0,4.68,-0.6,0.0,0.51,0.0,2.1,8.5,47.01,15.19,0.0,4.3,-0.06,0.0,5.44,51.28,0.24,0.9,2.17,2.94,3.76,20.23,0.0,0.24,0.65,0.87,0.0,3.97,10.01,0.83,48.65,0.67,11.14,0.4,22.87,5.43,0.0,3.91,0.0,0.0,6.8,0.0,0.0,6.09,6.24,4.8,6.17,0.65,0.0,-0.24,1.46,0.0,-0.02,2.85,0.8,0.0,5.44,0.98,0.0,28.48,0.34,5.08,14.37,0.09,0.0,3.08,3.63,1.68,8.33,2.3,3.86,0.2,23.11,0.0,1.33,15.86,0.09,4.27,0.47,0.0,0.0,0.06,2.78,2.25,9.75,112.56,0.0,0.0,7.74,0.0,15.85,0.44,0.0,7.66,8.29,0.35,4.79,0.05,0.35,0.52,0.18,1.93,9.01,0.15,0.0,0.0,0.0,14.04,18.73,0.37,0.94,0.21,22.9,0.0,0.51,23.46,1.05,10.42,0.24,29.24,0.22,1.36,0.33,-0.06,1.8,-0.15,2.13,8.0,43.41,0.98,1.17,0.73,1.7,66.54,2.53,1.77,3.94,11.99,1.2,2.39,0.07,0.44,8.29,-0.11,0.25,1.0,0.5,21.47,1.09,0.0,77.29,18.41,0.38,1.8,6.42,3.84,0.09,12.32,0.07,4.79,-0.21,0.62
t10,23.52,1.34,8.82,0.83,-0.62,0.0,0.94,0.0,0.0,0.0,0.0,1.9,5.29,-0.3,77.8,0.0,0.0,1.34,9.18,3.33,0.48,0.32,0.0,0.0,8.26,0.0,0.0,0.0,1.82,0.13,3.95,-0.81,0.0,4.38,0.0,-0.09,5.9,0.0,0.27,0.0,6.09,1.06,0.11,0.0,0.16,0.45,0.18,0.03,0.0,1.04,0.0,3.64,1.82,0.0,0.0,0.0,5.56,0.92,0.0,1.34,1.29,6.02,0.0,0.0,0.0,0.77,-0.02,3.92,0.0,1.29,5.8,0.0,0.09,1.14,0.0,0.78,1.05,0.93,3.07,-0.18,1.45,0.0,1.24,1.46,0.18,0.0,0.0,0.48,0.9,0.06,-0.45,8.56,0.0,0.4,1.48,0.0,0.0,0.0,0.3,3.16,13.86,2.12,0.0,5.11,0.03,0.0,0.1,11.6,0.05,0.25,0.0,6.02,-0.16,8.93,0.0,0.0,0.0,0.0,0.0,5.49,1.24,0.4,17.17,0.0,3.41,0.0,2.85,0.76,1.59,-0.03,0.0,0.0,2.97,0.0,0.0,5.13,2.23,2.79,-0.04,-0.03,0.0,0.05,4.24,0.0,0.0,0.2,2.4,0.0,1.99,0.15,0.0,16.73,0.0,1.65,1.61,0.0,0.0,0.15,1.06,0.85,0.79,0.08,0.22,0.0,9.25,0.0,0.01,4.13,0.0,5.06,-0.12,-0.06,1.2,0.0,0.0,2.03,3.14,50.73,0.0,0.0,-0.43,0.0,3.14,0.06,0.0,5.04,0.89,0.05,7.17,0.0,0.0,0.05,4.24,2.03,5.7,0.0,0.0,0.0,0.0,11.03,2.81,0.66,0.0,0.74,6.49,0.0,0.51,22.06,0.0,0.91,0.0,5.94,0.0,0.35,0.0,-0.09,0.0,4.35,0.1,0.4,12.16,0.0,0.0,0.0,2.75,37.92,-0.17,1.92,6.51,3.04,-0.63,-0.06,2.23,-0.1,7.39,0.0,0.0,5.52,0.0,4.38,0.61,0.0,39.45,13.35,0.0,1.29,0.75,11.56,0.0,-0.03,0.33,4.74,0.0,0.0
