t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,2.48,-1.29,0.5,0.0,-0.15,10.58,0.03,4.91,-0.06,0.36,113.4,0.0,0.09,25.93,31.84,4.27,0.0,0.88,1.11,96.58,-0.77,0.0,0.06,0.55,0.0,2.42,12.16,31.66,0.93,0.24,1.67,-0.21,19.48,0.09,1.56,11.18,1.71,0.81,-0.27,0.0,0.0,0.27,561.78,0.75,6.27,9.28,0.76,0.0,8.23,8.21,0.0,0.0,0.0,0.2,0.03,0.03,2202.0,-0.04,7.55,0.96,408.59,0.25,0.0,0.0,2.48,0.18,-0.01,1.61,0.0,47.97,991.25,1.64,0.57,5.09,3.42,0.18,-0.18,0.0,285.06,0.49,1.37,0.74,2.11,62.29,0.0,1.1,0.0,0.0,4.82,20.52,9.82,0.39,1.48,19.7,5.85,4.4,-0.06,0.45,-0.06,1.55,2135.5,0.3,1.62,0.0,107.73,0.0,10.19,4.2,0.58,2.31,4.83,1.8,2.32,2.02,2.35,21.93,16.01,0.0,0.35,0.0,-0.85,-0.03,6.14,0.0,1.01,17.82,-0.06,0.0,56.46,-0.18,0.0,0.0,0.82,-0.24,0.0,0.0,0.04,0.0,1.26,5.2,1.27,-0.2,1.0,9.72,-1.0,21.09,-0.03,2.51,0.1,2.63,0.0,7.84,-0.03,0.25,6.53,0.0,2.15,0.32,0.0,-0.39,1.32,0.32,0.07,0.0,1.95,3.55,0.0,0.0,0.36,187.62,10.98,0.75,0.0,0.17,7.7,0.53,0.0,3.7,0.78,7.81,0.45,0.44,0.65,13.99,2.23,0.29,1.13,964.54,-0.33,5.19,845.35,0.0,0.0,0.14,-0.18,-0.39,1.44,0.56,44.2,0.0,0.27,-0.72,-0.07,9.61,0.86,0.0,0.0,0.0,0.0,0.05,0.57,1.6,-0.36,-0.12,-0.04,0.0,0.0,0.0,4.15,531.73,1.03,0.0,0.0,0.0,0.64,3.06,2143.85,0.61,0.42,-0.09,0.0,0.0,0.05,12.64,0.41,1.92,10.92,-0.26,3.83,-0.25,-0.19,0.03,-0.04,0.0,0.0,695.65,1.01,0.0,8.94,5.38,0.0,0.05,0.45,0.61
t2,19.29,4.8,7.43,1.54,1.11,10.42,5.37,45.58,4.44,0.27,518.19,-0.03,4.58,346.15,381.87,21.09,0.12,3.67,6.37,836.1,-24.73,0.99,1.2,6.4,1.82,9.11,83.5,208.53,7.58,1.58,19.7,2.98,40.62,0.24,31.39,81.66,2.73,-0.17,0.91,0.0,-0.13,0.14,4508.85,0.55,23.45,111.61,3.43,0.0,42.58,138.66,-0.03,0.15,0.0,1.31,0.07,9.5,11836.27,3.77,67.64,5.33,3670.83,5.0,0.1,0.72,13.49,0.5,6.85,18.21,0.0,529.58,4144.82,-0.77,5.56,56.96,30.53,1.15,1.28,0.0,2308.25,7.4,5.99,4.28,9.08,644.0,-0.06,8.63,0.0,0.09,15.57,50.94,129.37,19.42,20.29,161.86,21.25,9.53,2.01,3.93,0.0,15.69,12346.34,8.28,29.34,0.0,867.31,0.51,91.7,73.17,19.69,2.5,47.74,13.08,9.03,4.49,11.5,165.96,74.28,1.39,2.9,1.19,2.96,1.67,30.82,0.0,4.66,344.02,1.6,0.67,475.03,4.22,0.0,0.3,3.67,0.23,0.0,0.2,6.26,0.34,12.39,8.62,16.71,4.54,5.57,74.09,9.65,208.7,3.1,2.13,-0.08,22.74,0.0,52.2,0.44,3.35,47.1,0.0,2.4,5.84,0.03,0.09,14.47,1.35,4.79,0.14,23.31,26.83,0.3,-0.18,16.14,1241.85,59.34,5.43,0.0,2.5,50.84,4.9,0.88,31.79,0.49,8.38,7.4,13.41,0.02,232.26,21.47,0.9,27.59,892.83,1.33,22.33,1075.26,0.0,0.63,4.0,0.75,0.47,1.06,14.3,433.94,0.0,6.61,5.28,1.81,50.0,7.18,0.01,0.0,-1.62,-0.18,2.39,4.57,33.38,7.03,8.95,2.48,0.05,0.0,0.0,11.37,4755.74,7.32,0.1,3.1,0.0,3.96,11.97,7901.8,7.29,1.5,5.75,0.63,2.88,1.62,95.39,9.26,64.01,149.13,1.54,24.58,8.67,32.76,5.28,2.76,0.24,1.48,3988.15,15.66,0.17,125.44,15.64,0.51,6.02,5.36,22.78
t3,76.27,15.9,26.79,7.95,1.7,4.63,46.52,131.6,11.21,11.98,488.33,0.1,24.72,1368.08,1568.2,36.12,0.83,29.87,28.29,1832.04,62.3,1.88,1.16,9.45,6.64,71.01,191.07,245.44,22.67,2.76,111.28,21.88,10.4,13.37,46.56,228.38,27.71,3.36,8.47,4.98,2.63,0.35,7033.99,0.4,40.0,326.38,15.47,1.77,130.58,527.83,0.68,0.34,0.81,4.73,0.56,33.1,15513.99,3.9,97.61,14.79,6250.72,11.92,2.91,11.32,5.53,2.03,19.56,54.86,1.6,1119.99,2083.9,34.6,36.51,143.26,54.52,6.52,1.84,0.62,4502.62,22.24,26.32,47.47,4.24,1500.33,0.26,12.74,0.05,0.36,44.94,46.45,359.58,54.7,107.05,568.75,53.12,0.08,9.63,26.05,1.29,112.49,20494.38,19.36,62.43,0.0,908.85,11.41,249.89,397.89,65.86,12.82,139.2,69.66,29.24,11.07,4.21,454.49,53.34,1.07,13.92,7.25,26.84,0.5,205.71,2.87,27.59,1054.79,8.05,7.5,850.61,20.82,-0.03,-0.27,7.93,0.21,0.41,0.09,44.33,1.12,30.47,11.34,71.22,8.65,12.0,79.99,22.67,459.72,43.86,0.51,6.18,29.62,0.0,139.71,7.09,3.14,163.56,0.2,36.1,6.51,0.31,2.69,86.68,16.81,38.87,0.94,83.6,80.71,1.26,2.62,67.13,2813.54,108.02,9.95,0.65,16.97,159.94,13.98,7.03,140.61,5.14,6.24,63.85,85.62,7.9,705.48,23.51,14.24,117.18,124.17,8.57,50.75,195.88,0.0,-0.06,13.75,7.14,0.54,-0.44,51.99,734.6,2.47,30.27,7.08,9.92,143.65,51.59,0.95,2.95,5.58,1.04,15.99,11.62,139.06,35.26,58.2,4.63,0.0,0.0,0.56,39.61,11816.85,40.11,0.0,5.04,0.0,28.21,32.06,5410.89,35.24,37.3,42.56,0.84,22.31,7.44,205.84,30.23,260.95,276.61,1.64,94.05,220.48,99.47,10.74,27.63,0.5,11.04,3186.14,92.03,3.33,336.75,45.91,10.76,9.94,25.27,57.96
t4,147.49,38.74,106.56,22.74,8.32,1.08,132.45,125.29,18.71,51.08,142.95,1.43,84.15,1753.77,4021.62,22.86,1.02,36.96,70.48,1613.8,614.72,3.33,0.05,15.52,11.49,109.11,101.43,80.46,56.55,30.44,430.79,25.87,3.82,27.29,28.95,165.33,62.88,4.66,9.87,6.61,1.31,3.57,3241.59,0.28,41.17,317.05,40.91,1.76,153.46,672.82,-0.03,-0.5,0.64,16.1,0.32,45.18,8001.19,25.22,47.12,16.16,2702.43,16.02,5.09,26.39,10.26,12.33,22.26,297.37,1.32,593.71,531.61,69.37,65.19,122.28,52.29,4.24,4.78,-0.41,2660.21,32.69,82.05,87.35,75.4,1262.34,2.02,13.19,-0.03,7.44,77.07,33.14,368.35,176.22,139.38,609.37,89.64,0.11,22.4,10.8,1.2,226.23,15022.03,130.88,53.82,0.92,273.68,6.9,285.57,1793.39,105.95,73.76,214.3,123.55,32.52,18.05,1.64,333.31,46.09,3.6,39.6,25.34,76.22,2.43,548.9,6.78,63.93,860.22,34.41,40.92,391.27,74.97,0.34,0.88,21.94,-0.64,2.98,1.07,93.71,0.18,60.9,24.34,114.39,9.84,23.88,24.02,52.21,342.73,69.11,2.88,13.57,19.37,0.17,504.83,11.13,0.52,532.77,6.96,88.76,15.01,2.99,1.83,109.73,66.17,127.52,3.97,275.78,73.18,1.76,8.58,66.51,2123.49,86.5,25.58,1.33,13.76,136.52,39.72,13.58,464.39,4.86,1.15,208.94,87.44,21.05,650.58,37.86,40.32,141.07,25.43,11.76,45.57,29.4,6.47,1.63,19.51,24.62,2.1,5.8,107.08,290.95,13.2,94.58,18.96,12.17,88.21,185.32,7.8,7.03,32.53,1.15,53.15,4.48,377.95,29.91,203.57,10.96,0.15,0.33,3.14,31.01,8632.15,166.74,0.0,25.49,0.15,93.16,100.76,1725.93,52.12,64.02,97.09,11.04,43.08,37.16,165.83,92.76,289.2,136.15,16.46,109.3,863.54,159.5,15.26,97.22,2.63,30.26,938.47,187.04,30.86,297.77,80.86,45.13,35.96,59.01,50.53
t5,154.14,27.13,183.53,46.95,33.34,0.06,200.16,52.04,49.0,66.26,29.72,9.29,155.76,821.54,5744.28,9.68,0.45,37.16,96.19,657.94,194.27,4.35,1.71,19.65,28.9,40.94,39.03,18.51,62.77,43.75,1311.62,36.51,1.41,47.61,7.14,47.98,107.12,14.1,26.53,22.19,1.46,10.18,857.2,0.29,42.91,270.76,27.96,12.25,58.26,244.47,0.06,9.89,-0.4,21.84,0.04,15.04,2372.41,33.16,18.81,4.67,631.34,30.43,2.07,31.61,7.52,30.85,31.88,514.99,2.01,176.48,120.18,76.86,62.28,42.91,36.59,1.44,7.12,6.43,938.34,40.84,58.49,86.55,102.02,554.04,20.22,11.84,2.1,20.44,42.42,18.35,190.05,414.98,71.11,385.88,110.04,2.62,16.64,12.35,4.25,278.82,6048.62,185.78,21.47,3.0,70.0,6.35,133.47,3496.23,88.32,94.27,102.91,81.33,52.63,41.21,0.82,114.04,23.91,6.8,18.03,51.63,87.25,0.9,754.06,29.82,161.24,264.12,73.91,96.17,106.7,100.28,0.44,0.54,22.43,0.27,-0.75,2.54,100.99,0.17,66.03,61.39,57.36,23.45,34.39,4.57,23.6,124.16,73.98,12.25,31.57,14.0,0.03,761.39,26.33,2.34,602.09,0.58,41.12,23.45,15.39,1.07,117.94,247.86,184.66,-0.05,443.51,33.84,6.67,14.35,46.88,818.12,32.98,32.74,-0.61,156.55,90.9,62.39,31.38,881.79,11.71,-0.12,319.59,71.93,57.87,185.23,29.7,75.94,119.27,7.99,6.48,20.22,12.13,16.16,2.31,23.98,26.9,7.93,0.55,48.46,72.37,17.45,216.76,17.03,16.32,29.02,277.5,12.59,11.18,28.5,6.17,61.25,12.35,541.15,22.62,245.37,9.81,1.86,-0.22,-2.42,8.48,2775.84,266.38,-0.11,65.96,0.38,108.29,158.9,454.5,27.95,71.16,156.44,6.4,53.75,109.96,89.29,180.28,131.35,41.6,17.57,55.08,1357.3,81.05,12.8,250.85,5.9,121.25,228.35,222.93,22.28,119.87,94.49,50.1,58.23,56.9,9.51
t6,151.69,55.7,249.79,43.43,25.68,0.0,152.64,13.73,27.37,38.32,8.34,0.1,89.08,220.75,4019.95,4.72,1.32,10.28,124.0,218.78,27.01,6.21,1.98,12.62,28.09,8.61,18.48,3.04,38.38,44.7,1457.43,29.31,0.06,57.24,1.32,20.76,159.39,16.16,23.16,5.84,4.16,14.84,196.55,0.07,18.77,159.81,13.68,23.28,15.29,55.57,0.7,24.65,3.17,25.32,0.0,7.98,648.4,30.55,5.2,3.46,156.06,23.13,9.52,15.11,0.26,24.63,16.98,447.38,0.62,30.23,25.69,45.45,29.92,25.95,13.83,3.3,6.26,0.66,207.41,12.39,36.48,29.69,41.29,176.87,41.62,12.58,2.95,19.26,32.31,9.41,52.1,395.86,17.77,185.53,68.7,0.51,5.73,5.73,7.81,148.29,1792.3,162.07,7.43,9.21,22.87,7.99,50.09,2590.92,32.0,67.26,32.0,40.83,43.71,68.67,0.83,27.96,7.68,2.55,9.15,22.45,85.41,-0.09,559.38,20.79,126.06,64.84,119.37,47.23,43.78,89.44,1.49,0.0,27.8,0.21,0.27,4.71,49.32,0.93,50.89,32.82,15.96,13.26,13.53,5.28,16.9,46.16,48.03,7.74,41.61,5.8,0.0,565.67,28.13,3.04,343.17,-0.83,7.26,22.39,14.94,0.61,51.06,161.62,91.96,0.83,350.12,17.2,5.72,19.38,18.94,243.37,6.29,30.71,1.8,136.07,32.65,63.36,43.89,853.19,16.76,0.3,226.42,18.38,74.52,32.68,5.64,37.03,59.5,1.08,9.61,5.39,2.18,12.53,3.36,21.83,53.3,9.34,1.2,7.77,29.98,23.1,207.8,10.0,6.62,18.39,195.78,4.1,10.99,17.3,10.75,58.79,3.75,383.76,5.29,160.65,17.56,3.47,2.23,-2.47,4.09,714.67,341.77,0.27,54.09,0.7,58.74,158.38,115.16,12.01,45.45,116.59,2.62,44.69,168.32,36.31,183.88,25.92,9.16,39.77,24.81,626.81,20.79,3.05,285.76,19.66,96.33,53.58,104.48,16.61,27.99,72.07,35.77,25.56,28.72,4.01
t7,91.66,17.91,164.52,16.2,24.03,0.0,58.01,11.36,11.1,21.41,-0.1,0.42,42.65,51.29,1781.99,1.71,0.87,4.47,86.62,47.43,3.12,2.53,-0.03,5.76,46.09,0.46,8.77,2.41,14.25,14.6,643.05,5.57,0.35,29.38,0.43,5.33,59.04,2.81,15.34,0.55,1.12,11.76,41.44,-0.27,8.29,51.98,5.5,16.84,4.2,5.43,0.57,23.83,2.58,11.63,0.0,0.31,132.77,26.13,0.38,0.47,36.01,20.93,2.76,5.66,-0.15,26.97,10.91,235.13,2.66,11.41,6.98,15.95,13.62,6.8,3.35,3.95,8.95,0.12,62.66,11.13,10.34,3.2,19.16,33.65,11.07,2.34,3.36,6.81,16.31,3.35,5.49,208.41,3.52,87.3,13.11,1.26,2.19,1.66,-0.61,34.72,548.14,115.08,0.62,13.17,9.21,5.75,30.06,893.99,18.09,20.52,12.96,19.41,22.35,54.33,0.05,7.75,1.88,2.01,4.66,29.94,34.16,0.21,263.21,7.36,50.81,17.0,71.03,17.99,17.27,41.19,3.84,0.7,25.68,-1.32,0.0,5.5,10.05,0.77,23.18,3.53,5.47,2.42,6.12,2.7,4.86,13.12,26.79,1.25,16.57,4.73,0.0,208.26,7.39,3.72,121.0,0.65,2.02,28.6,0.25,0.65,27.35,47.99,50.34,2.13,227.28,3.39,13.13,15.91,13.63,65.7,1.23,20.14,0.45,41.2,10.65,27.8,33.0,502.76,32.13,0.0,80.64,5.69,50.87,15.55,0.04,14.24,25.5,1.35,20.99,0.84,1.63,9.26,3.99,20.34,22.96,16.01,0.0,1.11,4.13,12.12,131.66,5.78,2.13,5.84,75.41,2.85,3.43,44.54,2.63,44.58,-0.09,196.27,0.78,38.92,12.6,2.22,2.64,7.3,1.56,156.43,189.3,0.07,24.77,0.88,44.29,119.76,37.46,12.64,10.9,74.65,3.42,24.87,74.34,18.38,107.14,11.07,0.39,16.04,8.67,139.9,17.62,0.93,249.3,18.08,35.69,27.77,43.09,16.89,1.53,21.37,8.63,8.45,3.97,3.78
t8,19.66,7.16,57.83,9.27,21.28,0.0,20.89,4.51,6.14,6.47,0.26,1.53,19.08,14.62,613.47,4.26,0.06,0.56,66.04,9.34,0.56,2.42,0.06,2.57,50.33,0.15,1.03,1.45,6.36,13.86,184.4,5.86,0.0,18.15,-0.18,2.45,27.46,10.55,11.64,0.0,1.42,5.63,7.36,0.81,0.17,39.54,2.99,8.84,1.01,2.42,0.0,12.89,0.48,2.58,0.0,0.0,32.16,13.07,1.0,0.06,8.11,10.89,-0.47,0.0,0.1,9.83,7.3,87.94,0.81,5.51,0.67,1.71,2.93,8.01,4.06,-0.74,7.1,0.17,13.66,4.25,1.46,6.18,-0.19,13.7,0.31,4.25,2.45,6.17,3.72,2.57,1.01,68.23,-0.44,27.98,5.74,-0.06,0.57,0.28,1.52,23.18,152.01,57.48,0.0,3.85,9.14,10.69,4.62,189.62,5.3,3.79,4.91,8.27,6.29,27.79,0.0,7.72,-0.27,1.47,0.92,13.37,22.05,0.02,77.22,3.63,21.64,4.9,17.96,8.42,5.2,16.72,-0.36,0.18,24.54,3.6,0.0,0.09,5.39,0.15,15.37,0.0,0.31,0.35,7.99,1.48,3.52,7.58,11.5,0.78,3.08,0.52,-0.05,58.54,0.06,2.46,11.62,0.18,0.0,17.71,1.23,0.0,4.83,11.03,16.27,-0.07,99.51,3.72,3.43,7.47,2.72,16.08,0.0,3.93,0.0,20.64,5.98,5.77,15.54,229.41,14.6,0.0,22.01,0.96,36.73,1.26,0.43,7.85,10.18,0.53,10.88,3.68,-0.13,4.66,-0.03,4.1,14.86,4.6,0.0,-0.12,-0.23,2.7,50.99,1.26,2.01,0.78,22.92,0.06,3.41,11.64,3.71,15.34,0.0,81.38,0.61,1.15,7.85,2.03,2.82,11.06,0.5,33.11,85.04,4.96,4.94,1.8,12.11,84.58,10.75,3.22,6.1,25.92,-0.27,3.99,34.76,0.76,46.43,2.31,1.03,9.2,1.91,28.69,3.06,0.41,113.44,36.0,6.06,9.61,18.28,5.25,1.33,9.85,2.25,2.35,0.85,0.46
t9,12.65,2.14,11.72,1.83,6.09,0.0,7.41,0.83,0.18,7.67,-0.06,2.95,10.49,-1.2,191.39,0.37,0.0,0.16,40.33,3.15,0.0,16.19,0.0,-0.24,34.65,-0.03,-0.04,1.54,3.82,0.16,34.27,0.26,0.0,6.22,0.0,1.18,11.21,7.17,3.38,0.0,0.16,4.27,1.78,5.14,3.45,6.59,1.62,5.99,0.21,0.82,0.0,1.51,4.86,0.91,0.0,0.0,10.8,5.63,0.0,0.0,1.98,1.97,0.0,0.35,0.0,4.25,2.45,27.33,1.31,3.95,0.88,2.53,0.26,0.3,11.33,0.21,7.8,0.1,0.43,2.86,1.7,3.03,1.28,8.7,0.0,5.2,-0.21,1.09,-0.07,0.06,0.38,28.42,0.0,6.9,-0.25,-0.18,-0.08,0.73,1.81,7.37,33.09,20.94,0.0,1.86,0.37,3.51,4.89,44.27,0.12,-0.48,0.7,1.84,5.19,27.54,0.0,0.9,0.14,2.23,1.2,2.39,2.81,0.45,43.72,1.65,11.53,1.27,0.78,-0.1,0.84,5.33,0.0,0.02,11.35,3.36,0.0,0.0,2.6,0.8,9.86,0.1,0.0,0.37,8.83,-0.31,0.03,4.3,4.15,0.01,-0.04,0.0,0.0,27.41,0.0,-0.86,5.29,0.0,0.0,9.52,0.0,0.64,3.06,6.59,4.32,0.0,24.53,0.69,0.13,9.76,0.5,5.5,0.0,0.55,0.0,4.44,0.91,0.02,3.55,47.8,1.71,0.0,14.48,-0.06,3.18,0.07,0.0,1.42,4.01,0.94,0.55,1.13,0.09,0.73,-0.57,0.73,4.76,3.75,0.0,0.0,0.0,1.1,21.34,7.54,3.05,0.61,19.52,1.99,0.47,4.08,0.01,2.96,0.0,46.29,0.0,0.35,1.12,4.29,0.16,3.66,0.4,5.62,14.38,0.76,-0.03,0.0,1.13,53.74,3.26,0.21,1.68,8.35,0.0,3.35,8.38,1.22,29.66,0.43,0.0,10.13,0.0,11.49,3.41,0.03,35.66,15.31,0.73,3.86,0.25,2.92,1.31,-0.37,0.57,4.66,1.51,0.0
t10,12.76,-1.7,1.37,0.65,1.88,0.0,-0.02,0.09,0.0,-0.97,0.05,6.08,0.68,3.51,62.71,0.0,-0.12,0.25,22.03,0.47,0.0,7.99,0.0,0.0,12.56,0.0,0.0,0.0,0.72,0.1,4.09,0.0,0.0,9.17,0.0,0.16,3.61,1.79,2.52,0.0,-0.21,1.24,0.12,0.19,2.03,4.9,1.08,3.13,0.0,0.0,0.0,0.0,1.54,-0.05,0.0,0.0,3.61,1.81,0.0,0.0,0.45,-0.2,0.0,-0.02,0.0,1.86,0.29,9.1,0.0,-0.03,0.1,0.2,0.0,0.0,2.64,0.0,7.47,0.0,0.32,0.0,0.0,1.06,1.88,0.47,0.0,1.41,0.0,0.0,0.0,0.0,0.29,10.94,0.1,7.36,1.63,0.0,0.13,0.0,7.52,0.14,11.94,13.57,0.0,2.34,0.05,0.12,3.95,10.18,0.0,0.0,1.84,0.0,0.33,11.65,0.0,0.0,0.0,0.05,0.0,0.3,5.46,-0.04,9.45,0.0,3.37,0.0,0.45,0.0,0.06,0.32,0.0,0.0,5.05,2.0,0.0,0.0,0.17,3.15,0.39,0.0,0.0,0.0,1.76,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.4,4.07,0.0,0.0,-0.16,-0.13,2.46,1.56,0.11,3.45,0.0,19.48,0.0,0.95,1.43,0.0,2.3,0.0,0.42,0.0,1.2,-0.09,0.2,2.27,20.17,0.0,0.0,4.07,0.0,3.81,0.0,0.0,0.7,0.14,0.09,0.0,0.1,0.0,-0.37,0.11,0.05,0.94,0.41,0.0,0.0,-0.03,0.0,10.87,1.37,0.0,0.0,6.94,0.29,0.0,0.68,0.0,-0.16,0.0,17.53,0.0,0.15,0.03,-0.07,0.0,0.36,0.0,3.18,7.82,0.0,0.0,0.0,0.38,9.35,-0.02,-0.03,0.23,2.91,0.0,-1.86,0.57,0.63,10.4,0.0,0.0,1.57,0.0,3.95,0.54,0.0,10.54,8.31,0.0,0.01,0.24,1.01,1.34,1.09,0.0,1.1,0.05,0.0
t11,0.37,-0.28,0.74,0.3,0.35,0.0,2.0,0.0,0.0,0.0,0.0,0.06,0.0,1.11,19.78,0.0,0.0,0.0,6.28,0.0,0.0,2.98,0.0,0.0,6.61,0.0,0.0,0.15,0.17,0.0,0.05,0.0,0.0,1.14,0.0,0.0,0.83,5.62,0.2,0.0,0.03,0.0,0.0,1.01,0.2,0.14,0.67,0.15,0.0,0.0,0.0,0.0,8.2,0.0,-0.03,0.0,0.14,0.0,0.0,0.0,1.75,0.3,0.0,0.0,0.0,0.0,0.04,1.77,0.3,0.0,0.24,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,2.27,0.0,3.08,1.14,0.0,0.54,0.0,1.98,0.24,1.73,6.21,0.0,3.21,0.0,0.0,0.0,0.56,0.0,0.27,-0.47,0.0,0.16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.09,2.73,8.08,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.72,0.0,0.0,0.0,3.15,0.0,0.2,0.0,0.0,3.88,0.23,0.0,0.27,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.6,0.0,0.0,0.0,1.44,0.18,0.0,0.0,0.0,-0.24,0.0,13.73,0.0,0.27,0.81,0.0,0.21,0.0,0.61,0.0,0.0,0.0,0.0,0.0,8.01,0.0,0.0,3.34,0.0,2.84,0.0,0.0,1.23,0.5,0.0,0.04,0.0,0.3,0.0,6.99,0.0,0.67,0.0,0.0,0.0,0.0,0.0,1.87,1.11,0.0,0.0,1.6,5.64,0.3,2.92,0.0,-0.03,0.0,1.84,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,5.6,-1.02,0.0,0.0,0.0,0.01,6.46,2.85,0.0,-0.36,0.0,-0.27,1.92,0.0,0.0,1.01,0.0,0.0,0.58,0.0,1.79,0.0,0.0,7.86,0.4,0.0,0.12,0.33,4.54,0.0,0.06,0.0,0.06,0.0,0.35
t12,0.0,0.43,-0.38,0.0,0.0,0.0,6.63,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,4.26,0.0,0.0,0.0,2.04,0.0,0.0,2.46,0.0,0.0,2.68,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.06,0.0,0.0,0.0,0.0,0.09,0.0,0.49,0.0,-0.38,0.0,0.81,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.38,0.13,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,-0.18,0.13,0.0,0.0,0.0,0.27,-0.12,1.82,1.88,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,-0.06,0.0,0.0,0.0,0.0,0.0,1.66,0.59,1.8,0.0,0.0,0.0,0.9,0.0,0.0,-0.06,0.0,0.0,-0.05,2.18,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,3.72,0.0,0.0,0.0,3.1,0.0,0.39,0.0,0.05,0.6,0.0,6.56,0.0,0.0,3.0,1.24,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.72,0.0,4.19,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,-0.7,2.0,0.0,-0.26,0.0,-0.15,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.71,0.0,0.0,0.0,0.98,0.83,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,-0.09,0.06,0.0,1.21,-0.06,0.49,0.0,0.0,0.0,0.0,0.0,0.0
